condition,family,schedule,feedback,half_life,seed,target_frames,checkpoint_frames,checkpoint,run_dir,label_suffix,unit,spatial_information_bits,active_fraction,connected_components_half_peak,field_eligible,mono_field,mono_score,field_components_30pct,field_components_50pct,field_components_70pct,dominant_component_mass_30pct,dominant_component_mass_50pct,dominant_component_mass_70pct,field_spread
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,0,0.05350283373799033,0.0423957604239576,11,True,False,0.579298198223114,7,7,4,0.6331693530082703,0.5825033783912659,0.579298198223114,0.420701801776886
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,1,0.09151117412049459,0.0332966703329667,3,True,False,0.2582186460494995,11,8,4,0.2582186460494995,0.33836838603019714,0.4271017014980316,0.7417813539505005
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,2,0.05776832552806916,0.032896710328967106,3,True,False,0.32090944051742554,9,3,1,0.32090944051742554,0.5204852223396301,1.0,0.6790905594825745
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,3,0.06709717131848794,0.024197580241975804,4,True,False,0.28137660026550293,6,7,6,0.28207966685295105,0.2830262780189514,0.28137660026550293,0.7186233997344971
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,4,0.049272171968268,0.0306969303069693,3,True,False,0.4822942912578583,9,4,4,0.4822942912578583,0.6763015985488892,0.518136739730835,0.5177057087421417
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,5,0.13269605224552344,0.032896710328967106,6,True,False,0.44938740134239197,5,4,2,0.6511415839195251,0.44938740134239197,0.5715475082397461,0.550612598657608
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,6,0.05953982039152678,0.032596740325967405,5,True,False,0.37534764409065247,9,3,1,0.37534764409065247,0.5459523797035217,1.0,0.6246523559093475
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,7,0.22491067581084073,0.0020997900209979003,3,True,True,1.0,1,1,1,1.0,1.0,1.0,0.0
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,8,0.04696268103598451,0.028097190280971903,4,True,False,0.2671380937099457,8,7,4,0.3481578528881073,0.2671380937099457,0.40459543466567993,0.7328619062900543
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,9,0.1426979153822555,0.0187981201879812,2,True,False,0.2895370125770569,8,2,1,0.2895370125770569,0.5175072550773621,1.0,0.7104629874229431
