condition,family,schedule,feedback,half_life,seed,target_frames,checkpoint_frames,checkpoint,run_dir,label_suffix,label,frames,visited_cells,visited_cell_fraction,mean_spatial_information_bits,median_spatial_information_bits,max_spatial_information_bits,units_si_over_0_5_bits,mean_active_fraction,silent_units,map_cosine_mean,map_cosine_min,map_cosine_max,unique_peak_bins,mean_pre_threshold_logit,mean_pre_threshold_logit_std,mean_pre_threshold_above_fraction,active_units,active_unit_mean_si_bits,active_map_cosine_mean,active_unique_peak_bins,active_peak_bin_entropy,active_pairwise_peak_distance_bins,prethreshold_map_cosine_mean,prethreshold_unique_peak_bins,prethreshold_peak_bin_entropy,prethreshold_pairwise_peak_distance_bins
c01_flat_ctrl,flat,sim,encourage,none,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C01_FLAT_CTRL_S8_/00_CCR_C01_FLAT_CTRL_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C01_FLAT_CTRL_S8_/00_CCR_C01_FLAT_CTRL_S8,c01_flat_ctrl__s8__100m,CCR_C01_FLAT_CTRL_S8__00_CCR_C01_FLAT_CTRL_S8__c01_flat_ctrl__s8__100m,10001,220,0.6094182825484764,0.16974183808210855,0.17581198357847705,0.27665034274045686,0,0.027684731526847313,0,0.08944995087227034,0.00019731100998179253,0.5842398037117219,14,-0.0011556320823729038,1.010722279548645,0.027715978402159783,16,0.16974183808210855,0.08944995087227034,14,0.9257048827786958,9.653177846573643,-0.025966794722038222,15,0.9687500000000001,9.615243542776216
c01_flat_ctrl,flat,sim,encourage,none,99,5000000,3309568,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C01_FLAT_CTRL_S99_/00_CCR_C01_FLAT_CTRL_S99/checkpoint_p0/milestones/checkpoint_000000202_3309568.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C01_FLAT_CTRL_S99_/00_CCR_C01_FLAT_CTRL_S99,c01_flat_ctrl__s99__003m,CCR_C01_FLAT_CTRL_S99__00_CCR_C01_FLAT_CTRL_S99__c01_flat_ctrl__s99__003m,10001,317,0.8781163434903048,0.08636818149169309,0.08373023266776786,0.13445750445869373,0,0.03174682531746825,0,0.17280513322266053,0.010300717347919439,0.7164124758840701,16,0.020796479657292366,1.008066177368164,0.03179057094290571,16,0.08636818149169309,0.17280513322266053,16,1.0,11.669187973998017,-0.0025755694044508133,15,0.9687500000000001,11.095285004878152
c01_flat_ctrl,flat,sim,encourage,none,99,25000000,24576000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C01_FLAT_CTRL_S99_/00_CCR_C01_FLAT_CTRL_S99/checkpoint_p0/milestones/checkpoint_000001500_24576000.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C01_FLAT_CTRL_S99_/00_CCR_C01_FLAT_CTRL_S99,c01_flat_ctrl__s99__024m,CCR_C01_FLAT_CTRL_S99__00_CCR_C01_FLAT_CTRL_S99__c01_flat_ctrl__s99__024m,10001,316,0.8753462603878116,0.1304522713646521,0.1236867474725511,0.2614909562300416,0,0.02894085591440856,0,0.12760276746199667,0.002219853492250515,0.5606151579760215,15,0.006932835094630718,0.9841215014457703,0.028997100289971003,16,0.1304522713646521,0.12760276746199664,15,0.9687500000000001,9.965090832435557,-0.024324988895905716,14,0.9375,10.706654771418183
c01_flat_ctrl,flat,sim,encourage,none,99,50000000,49545216,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C01_FLAT_CTRL_S99_/00_CCR_C01_FLAT_CTRL_S99/checkpoint_p0/milestones/checkpoint_000003024_49545216.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C01_FLAT_CTRL_S99_/00_CCR_C01_FLAT_CTRL_S99,c01_flat_ctrl__s99__049m,CCR_C01_FLAT_CTRL_S99__00_CCR_C01_FLAT_CTRL_S99__c01_flat_ctrl__s99__049m,10001,304,0.8421052631578947,0.1577970745749792,0.15614230408496224,0.24630717895128967,0,0.028028447155284474,0,0.08959099962023617,0.0002426595344291902,0.5363121546876751,16,0.03268063813447952,1.0548295974731445,0.02805969403059694,16,0.1577970745749792,0.08959099962023617,16,1.0,11.582120618049514,-0.03723918987573015,16,1.0,10.203439257787922
c01_flat_ctrl,flat,sim,encourage,none,99,75000000,74514432,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C01_FLAT_CTRL_S99_/00_CCR_C01_FLAT_CTRL_S99/checkpoint_p0/milestones/checkpoint_000004548_74514432.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C01_FLAT_CTRL_S99_/00_CCR_C01_FLAT_CTRL_S99,c01_flat_ctrl__s99__074m,CCR_C01_FLAT_CTRL_S99__00_CCR_C01_FLAT_CTRL_S99__c01_flat_ctrl__s99__074m,10001,263,0.7285318559556787,0.1694482135323261,0.16835781995303378,0.2671922802396467,0,0.026122387761223876,0,0.06408344407440994,2.1557160845821858e-05,0.4099988626287991,16,0.0025592949241399765,1.0401406288146973,0.02617238276172383,16,0.1694482135323261,0.06408344407440994,16,1.0,10.921370842877355,-0.012210340620113478,16,1.0,10.829708802745197
c01_flat_ctrl,flat,sim,encourage,none,99,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C01_FLAT_CTRL_S99_/00_CCR_C01_FLAT_CTRL_S99/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C01_FLAT_CTRL_S99_/00_CCR_C01_FLAT_CTRL_S99,c01_flat_ctrl__s99__100m,CCR_C01_FLAT_CTRL_S99__00_CCR_C01_FLAT_CTRL_S99__c01_flat_ctrl__s99__100m,10001,264,0.7313019390581718,0.1814536033963135,0.16180150937018728,0.35032956728930564,0,0.02534746525347465,0,0.05232561381818853,0.0,0.3379900808364914,16,0.005302094388753176,1.0257781744003296,0.02535996400359964,16,0.1814536033963135,0.05232561381818853,16,1.0,10.915927088799037,-0.01980595635121242,16,1.0,9.081994219080839
c01_flat_ctrl,flat,sim,encourage,none,123,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C01_FLAT_CTRL_S123_/00_CCR_C01_FLAT_CTRL_S123/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C01_FLAT_CTRL_S123_/00_CCR_C01_FLAT_CTRL_S123,c01_flat_ctrl__s123__100m,CCR_C01_FLAT_CTRL_S123__00_CCR_C01_FLAT_CTRL_S123__c01_flat_ctrl__s123__100m,10001,196,0.5429362880886427,0.1944526999606105,0.19082146356780028,0.30870465300273,0,0.025378712128787118,0,0.04457779253385096,0.0,0.4270169466706903,15,0.021683232858777046,0.9762054085731506,0.025409959004099588,16,0.1944526999606105,0.04457779253385096,15,0.9687500000000001,10.49080953640519,-0.029692666472919675,15,0.9687499999999999,9.679117345340158
c02_direct_delayed_ctrl,direct_hrl,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C02_DIRECT_DELAYED_CTRL_S8_/00_CCR_C02_DIRECT_DELAYED_CTRL_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C02_DIRECT_DELAYED_CTRL_S8_/00_CCR_C02_DIRECT_DELAYED_CTRL_S8,c02_direct_delayed_ctrl__s8__100m,CCR_C02_DIRECT_DELAYED_CTRL_S8__00_CCR_C02_DIRECT_DELAYED_CTRL_S8__c02_direct_delayed_ctrl__s8__100m,10001,285,0.7894736842105263,0.15391309371401585,0.153578188011736,0.24322676268246646,0,0.024141335866413358,0,0.06671659768759267,0.0,0.3794976996528774,14,-0.0060085090808570385,1.015750527381897,0.024141335866413358,16,0.15391309371401585,0.06671659768759267,14,0.9375,10.054788283052043,-0.022850019536972757,15,0.9687500000000001,10.356926540056765
c02_direct_delayed_ctrl,direct_hrl,sim,encourage,10000,99,5000000,6422528,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C02_DIRECT_DELAYED_CTRL_S99_/00_CCR_C02_DIRECT_DELAYED_CTRL_S99/checkpoint_p0/milestones/checkpoint_000000392_6422528.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C02_DIRECT_DELAYED_CTRL_S99_/00_CCR_C02_DIRECT_DELAYED_CTRL_S99,c02_direct_delayed_ctrl__s99__006m,CCR_C02_DIRECT_DELAYED_CTRL_S99__00_CCR_C02_DIRECT_DELAYED_CTRL_S99__c02_direct_delayed_ctrl__s99__006m,10001,311,0.8614958448753463,0.10327243419204482,0.10151577336332557,0.15893379164347216,0,0.03220927907209279,0,0.13553164304376628,0.01231753303396131,0.7196635331911738,16,0.003519665449857712,1.008446455001831,0.03220927907209279,16,0.10327243419204482,0.13553164304376628,16,1.0,11.083325927524763,-0.039517944731478225,16,1.0,12.33152215322431
c02_direct_delayed_ctrl,direct_hrl,sim,encourage,10000,99,25000000,23822336,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C02_DIRECT_DELAYED_CTRL_S99_/00_CCR_C02_DIRECT_DELAYED_CTRL_S99/checkpoint_p0/milestones/checkpoint_000001454_23822336.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C02_DIRECT_DELAYED_CTRL_S99_/00_CCR_C02_DIRECT_DELAYED_CTRL_S99,c02_direct_delayed_ctrl__s99__023m,CCR_C02_DIRECT_DELAYED_CTRL_S99__00_CCR_C02_DIRECT_DELAYED_CTRL_S99__c02_direct_delayed_ctrl__s99__023m,10001,199,0.5512465373961218,0.1632911521879929,0.16557470297524887,0.25932930045377073,0,0.027565993400659933,0,0.07108783467218022,4.042976820267188e-05,0.6512962155695419,16,0.006100236903876066,0.9868795871734619,0.027565993400659933,16,0.1632911521879929,0.07108783467218022,16,1.0,8.36534674439621,-0.03532737149801445,16,1.0,8.837029675264358
