condition,family,schedule,feedback,half_life,seed,target_frames,checkpoint_frames,checkpoint,run_dir,label_suffix,label,frames,visited_cells,visited_cell_fraction,mean_spatial_information_bits,median_spatial_information_bits,max_spatial_information_bits,units_si_over_0_5_bits,mean_active_fraction,silent_units,map_cosine_mean,map_cosine_min,map_cosine_max,unique_peak_bins,mean_pre_threshold_logit,mean_pre_threshold_logit_std,mean_pre_threshold_above_fraction,active_units,active_unit_mean_si_bits,active_map_cosine_mean,active_unique_peak_bins,active_peak_bin_entropy,active_pairwise_peak_distance_bins,prethreshold_map_cosine_mean,prethreshold_unique_peak_bins,prethreshold_peak_bin_entropy,prethreshold_pairwise_peak_distance_bins
flat_t243_g001_r100_x0_o0,fixed_flat,simultaneous,encourage,none,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/FSD_F16_L64_T2p43_G001_R100_X0_O0_S8_/00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/FSD_F16_L64_T2p43_G001_R100_X0_O0_S8_/00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S8,flat_g001_r100_x0_o0_S8__100M,FSD_F16_L64_T2p43_G001_R100_X0_O0_S8__00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S8__flat_g001_r100_x0_o0_S8__100M,10001,313,0.8670360110803325,0.35955018478163836,0.3818312512811451,0.40767365440282527,0,0.02041045895410459,0,0.8555908626352978,0.022667599655408634,0.9999104254052029,2,-0.040700048208236694,1.1816306114196777,0.020504199580041994,16,0.35955018478163836,0.8555908626352978,2,0.08432251665425347,1.8582585934148133,0.7787666740034825,2,0.08432251665425347,1.8582585934148133
flat_t243_g001_r100_x0_o0,fixed_flat,simultaneous,encourage,none,99,5000000,6356992,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/FSD_F16_L64_T2p43_G001_R100_X0_O0_S99_/00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99/checkpoint_p0/milestones/checkpoint_000000388_6356992.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/FSD_F16_L64_T2p43_G001_R100_X0_O0_S99_/00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99,flat_g001_r100_x0_o0_S99__006M,FSD_F16_L64_T2p43_G001_R100_X0_O0_S99__00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99__flat_g001_r100_x0_o0_S99__006M,10001,291,0.8060941828254847,1.1254269182091585,1.5880350727960444,1.658209625690765,11,0.03550894910508949,1,0.48214912596984427,0.0,0.9998601155984844,6,0.29058706760406494,2.3120217323303223,0.035596440355964404,15,1.2004553794231028,0.551027572536965,5,0.35065585834791463,5.685655421361745,0.4707828524067324,6,0.4054101905467145,7.394214144548414
flat_t243_g001_r100_x0_o0,fixed_flat,simultaneous,encourage,none,99,25000000,23855104,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/FSD_F16_L64_T2p43_G001_R100_X0_O0_S99_/00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99/checkpoint_p0/milestones/checkpoint_000001456_23855104.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/FSD_F16_L64_T2p43_G001_R100_X0_O0_S99_/00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99,flat_g001_r100_x0_o0_S99__023M,FSD_F16_L64_T2p43_G001_R100_X0_O0_S99__00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99__flat_g001_r100_x0_o0_S99__023M,10001,308,0.853185595567867,0.2536476032299355,0.3067638902012618,0.316897710762623,0,0.024078842115788424,0,0.5747348733017591,0.010513738920595206,0.9999641396959,5,0.0815468281507492,0.9129168391227722,0.024153834616538347,16,0.2536476032299355,0.5747348733017591,5,0.32781953111478324,5.4013385521913495,0.5379407734984799,5,0.32781953111478324,6.545405525522044
flat_t243_g001_r100_x0_o0,fixed_flat,simultaneous,encourage,none,99,50000000,48431104,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/FSD_F16_L64_T2p43_G001_R100_X0_O0_S99_/00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99/checkpoint_p0/milestones/checkpoint_000002956_48431104.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/FSD_F16_L64_T2p43_G001_R100_X0_O0_S99_/00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99,flat_g001_r100_x0_o0_S99__048M,FSD_F16_L64_T2p43_G001_R100_X0_O0_S99__00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99__flat_g001_r100_x0_o0_S99__048M,10001,312,0.8642659279778393,0.38088805035404477,0.4589165302826083,0.4991180223092031,0,0.02251024897510249,0,0.5668131940822799,0.010297771685042083,0.9999888133988017,5,-0.09518067538738251,1.131371259689331,0.02259149085091491,16,0.38088805035404477,0.5668131940822799,5,0.32781953111478324,4.067348013253468,0.6264873013921283,5,0.32781953111478324,4.651101762168705
flat_t243_g001_r100_x0_o0,fixed_flat,simultaneous,encourage,none,99,75000000,76480512,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/FSD_F16_L64_T2p43_G001_R100_X0_O0_S99_/00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99/checkpoint_p0/milestones/checkpoint_000004668_76480512.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/FSD_F16_L64_T2p43_G001_R100_X0_O0_S99_/00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99,flat_g001_r100_x0_o0_S99__076M,FSD_F16_L64_T2p43_G001_R100_X0_O0_S99__00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99__flat_g001_r100_x0_o0_S99__076M,10001,314,0.8698060941828255,0.11506588669322268,0.12202920390767417,0.12388513929575429,0,0.014686031396860314,0,0.5833154039605174,0.008140507535677721,0.9999582607025259,4,-0.09459512680768967,0.7090492248535156,0.014692280771922809,16,0.11506588669322268,0.5833154039605175,4,0.29656953111478324,4.955551092204151,0.6301731730877147,4,0.29656953111478324,4.592326123642505
flat_t243_g001_r100_x0_o0,fixed_flat,simultaneous,encourage,none,99,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/FSD_F16_L64_T2p43_G001_R100_X0_O0_S99_/00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/FSD_F16_L64_T2p43_G001_R100_X0_O0_S99_/00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99,flat_g001_r100_x0_o0_S99__100M,FSD_F16_L64_T2p43_G001_R100_X0_O0_S99__00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S99__flat_g001_r100_x0_o0_S99__100M,10001,312,0.8642659279778393,0.07731257204436963,0.0439955850709583,0.2736607532251314,0,0.012355014498550145,0,0.5728956076041779,0.0,0.9999511817782921,4,-0.195590078830719,0.5895836353302002,0.012373762623737627,16,0.07731257204436963,0.5728956076041779,4,0.29656953111478324,6.679798757912522,0.6117793969699206,4,0.29656953111478324,6.681885635792469
flat_t243_g001_r100_x0_o0,fixed_flat,simultaneous,encourage,none,123,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/FSD_F16_L64_T2p43_G001_R100_X0_O0_S123_/00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S123/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/FSD_F16_L64_T2p43_G001_R100_X0_O0_S123_/00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S123,flat_g001_r100_x0_o0_S123__100M,FSD_F16_L64_T2p43_G001_R100_X0_O0_S123__00_FSD_F16_L64_T2p43_G001_R100_X0_O0_S123__flat_g001_r100_x0_o0_S123__100M,10001,293,0.8116343490304709,0.11784619120160127,0.09229479713059247,0.5001016219193188,1,0.018910608939106087,2,0.3480909852192564,0.0,1.0,5,-0.04352202266454697,0.7426662445068359,0.018973102689731028,14,0.13468136137325862,0.45902107941000847,4,0.4180521152260062,7.9521270644977875,0.2007694319691856,8,0.6326597655573916,9.062502493347015
global_t243_ctrl_x0_o1_short,global_hrl,simultaneous,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/GSD_F16_L64_T2p43_CTRL_X0_O1_S8_/00_GSD_F16_L64_T2p43_CTRL_X0_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/GSD_F16_L64_T2p43_CTRL_X0_O1_S8_/00_GSD_F16_L64_T2p43_CTRL_X0_O1_S8,global_ctrl_x0_o1_short_S8__100M,GSD_F16_L64_T2p43_CTRL_X0_O1_S8__00_GSD_F16_L64_T2p43_CTRL_X0_O1_S8__global_ctrl_x0_o1_short_S8__100M,10001,242,0.6703601108033241,0.14006253219423248,0.1582547582635246,0.20066496149147253,0,0.03080941905809419,0,0.15168918981858057,0.0,0.9999991410841002,12,0.002230537123978138,1.014715552330017,0.03080941905809419,16,0.14006253219423248,0.15168918981858054,12,0.8185993675869249,10.97613109613746,0.06578867804550342,13,0.875,10.68848243221665
global_t243_ctrl_x0_o1_short,global_hrl,simultaneous,encourage,10000,99,5000000,6324224,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/GSD_F16_L64_T2p43_CTRL_X0_O1_S99_/00_GSD_F16_L64_T2p43_CTRL_X0_O1_S99/checkpoint_p0/milestones/checkpoint_000000386_6324224.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/GSD_F16_L64_T2p43_CTRL_X0_O1_S99_/00_GSD_F16_L64_T2p43_CTRL_X0_O1_S99,global_ctrl_x0_o1_short_S99__006M,GSD_F16_L64_T2p43_CTRL_X0_O1_S99__00_GSD_F16_L64_T2p43_CTRL_X0_O1_S99__global_ctrl_x0_o1_short_S99__006M,10001,310,0.8587257617728532,0.12836472466867033,0.11492280467434698,0.2426889287240378,0,0.030753174682531748,2,0.09808732995974047,0.0,0.997533479420308,12,-0.016365882009267807,1.024078607559204,0.030753174682531748,14,0.14670254247848039,0.1293459296172402,11,0.8732737098805868,7.624383153557527,-0.01808031471222702,13,0.8944548827786959,9.71954767412526
global_t243_ctrl_x0_o1_short,global_hrl,simultaneous,encourage,10000,99,25000000,23625728,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/GSD_F16_L64_T2p43_CTRL_X0_O1_S99_/00_GSD_F16_L64_T2p43_CTRL_X0_O1_S99/checkpoint_p0/milestones/checkpoint_000001442_23625728.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_dg_structural_diversity_20260826/GSD_F16_L64_T2p43_CTRL_X0_O1_S99_/00_GSD_F16_L64_T2p43_CTRL_X0_O1_S99,global_ctrl_x0_o1_short_S99__023M,GSD_F16_L64_T2p43_CTRL_X0_O1_S99__00_GSD_F16_L64_T2p43_CTRL_X0_O1_S99__global_ctrl_x0_o1_short_S99__023M,10001,217,0.6011080332409973,0.20860651400211944,0.14932258613260713,0.5375231861248518,1,0.03144685531446856,1,0.08674523130823347,0.0,0.999951883093415,10,-0.00452394038438797,1.0640432834625244,0.03144685531446856,15,0.22251361493559405,0.09913740720940971,10,0.8035987149258061,8.499024516355423,0.03579304020955423,12,0.8514097655573916,9.001991864300475
