condition,family,schedule,feedback,half_life,seed,target_frames,checkpoint_frames,checkpoint,run_dir,label_suffix,label,frames,visited_cells,visited_cell_fraction,mean_spatial_information_bits,median_spatial_information_bits,max_spatial_information_bits,units_si_over_0_5_bits,mean_active_fraction,silent_units,map_cosine_mean,map_cosine_min,map_cosine_max,unique_peak_bins,mean_pre_threshold_logit,mean_pre_threshold_logit_std,mean_pre_threshold_above_fraction,active_units,active_unit_mean_si_bits,active_map_cosine_mean,active_unique_peak_bins,active_peak_bin_entropy,active_pairwise_peak_distance_bins,prethreshold_map_cosine_mean,prethreshold_unique_peak_bins,prethreshold_peak_bin_entropy,prethreshold_pairwise_peak_distance_bins
gsr_c05_d4_h10k,direct_hrl,sim,encourage,10000,8,75000000,74088448,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H10K_S8_/00_GSR_C05_D4_H10K_S8/checkpoint_p0/milestones/checkpoint_000004522_74088448.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H10K_S8_/00_GSR_C05_D4_H10K_S8,gsr_c05_d4_h10k__s8__f74088448,GSR_C05_D4_H10K_S8__00_GSR_C05_D4_H10K_S8__gsr_c05_d4_h10k__s8__f74088448,10001,214,0.592797783933518,0.07845867676992496,0.037965469815426776,0.24088664371967217,0,0.026053644635536447,0,0.23261502456074573,0.0,0.7647787384131296,16,-0.02055475488305092,0.9975937008857727,0.026053644635536447,16,0.07845867676992496,0.2326150245607457,16,1.0,10.90041749399709,0.01445228595263613,15,0.9687500000000001,11.216330038051403
gsr_c05_d4_h10k,direct_hrl,sim,encourage,10000,99,75000000,74842112,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H10K_S99_/00_GSR_C05_D4_H10K_S99/checkpoint_p0/milestones/checkpoint_000004568_74842112.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H10K_S99_/00_GSR_C05_D4_H10K_S99,gsr_c05_d4_h10k__s99__f74842112,GSR_C05_D4_H10K_S99__00_GSR_C05_D4_H10K_S99__gsr_c05_d4_h10k__s99__f74842112,10001,224,0.6204986149584487,0.10640772196539985,0.09788918177584799,0.24607989861000168,0,0.028497150284971504,0,0.08096456400881316,0.0,0.5194012526498808,15,0.007760646753013134,0.9484107494354248,0.028497150284971504,16,0.10640772196539985,0.08096456400881318,15,0.9687499999999999,11.251329358057225,-0.018405619254179276,16,1.0,10.226878185030822
gsr_c05_d4_h10k,direct_hrl,sim,encourage,10000,123,75000000,73891840,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H10K_S123_/00_GSR_C05_D4_H10K_S123/checkpoint_p0/milestones/checkpoint_000004510_73891840.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H10K_S123_/00_GSR_C05_D4_H10K_S123,gsr_c05_d4_h10k__s123__f73891840,GSR_C05_D4_H10K_S123__00_GSR_C05_D4_H10K_S123__gsr_c05_d4_h10k__s123__f73891840,10001,277,0.7673130193905817,0.11870677727118845,0.13079073198151334,0.1862910124873728,0,0.02242900709929007,0,0.09921467816607947,0.0,0.6946456720946816,16,-0.0034824050962924957,1.0022660493850708,0.02242900709929007,16,0.11870677727118845,0.09921467816607947,16,1.0,11.908752232104481,0.047461060500634714,16,1.0,9.436250395533712
gsr_c05_d4_h5k,direct_hrl,sim,encourage,5000,8,75000000,76120064,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H5K_S8_/00_GSR_C05_D4_H5K_S8/checkpoint_p0/milestones/checkpoint_000004646_76120064.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H5K_S8_/00_GSR_C05_D4_H5K_S8,gsr_c05_d4_h5k__s8__f76120064,GSR_C05_D4_H5K_S8__00_GSR_C05_D4_H5K_S8__gsr_c05_d4_h5k__s8__f76120064,10001,284,0.7867036011080333,0.13675420357972687,0.11684031428248617,0.3254133812907432,0,0.029190830916908307,0,0.1178634923952065,0.0004170065372248806,0.6655381063580716,16,-0.015839405357837677,1.0453797578811646,0.029190830916908307,16,0.13675420357972687,0.11786349239520652,16,1.0,9.550625213285786,-0.007239959366897192,15,0.9687499999999999,10.436830239725868
gsr_c05_d4_h5k,direct_hrl,sim,encourage,5000,99,75000000,73170944,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H5K_S99_/00_GSR_C05_D4_H5K_S99/checkpoint_p0/milestones/checkpoint_000004466_73170944.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H5K_S99_/00_GSR_C05_D4_H5K_S99,gsr_c05_d4_h5k__s99__f73170944,GSR_C05_D4_H5K_S99__00_GSR_C05_D4_H5K_S99__gsr_c05_d4_h5k__s99__f73170944,10001,271,0.7506925207756233,0.09526550775490672,0.045842095583662965,0.31216797009578123,0,0.02724102589741026,0,0.15973412367945544,4.876324960162473e-05,0.530158918346948,16,0.0047618914395570755,1.0302865505218506,0.02724102589741026,16,0.09526550775490672,0.15973412367945544,16,1.0,9.671368427258432,0.013318968981281838,16,1.0,9.979846516307985
gsr_c05_d4_h5k,direct_hrl,sim,encourage,5000,123,75000000,73662464,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H5K_S123_/00_GSR_C05_D4_H5K_S123/checkpoint_p0/milestones/checkpoint_000004496_73662464.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H5K_S123_/00_GSR_C05_D4_H5K_S123,gsr_c05_d4_h5k__s123__f73662464,GSR_C05_D4_H5K_S123__00_GSR_C05_D4_H5K_S123__gsr_c05_d4_h5k__s123__f73662464,10001,244,0.6759002770083102,0.08696074775035488,0.0634525162617547,0.21911374049310442,0,0.024785021497850213,0,0.14676464659199304,0.0,0.6582786717998009,16,-0.02384628914296627,0.9321666955947876,0.024785021497850213,16,0.08696074775035488,0.14676464659199304,16,1.0,9.797528378309929,0.015293203102485371,15,0.9687499999999999,10.312990936879487
gsr_c05_d8_h10k,direct_hrl,sim,encourage,10000,8,75000000,74219520,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H10K_S8_/00_GSR_C05_D8_H10K_S8/checkpoint_p0/milestones/checkpoint_000004530_74219520.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H10K_S8_/00_GSR_C05_D8_H10K_S8,gsr_c05_d8_h10k__s8__f74219520,GSR_C05_D8_H10K_S8__00_GSR_C05_D8_H10K_S8__gsr_c05_d8_h10k__s8__f74219520,10001,272,0.7534626038781164,0.110565026983181,0.08715062676194775,0.3134205850511693,0,0.02935331466853315,0,0.09464738109904157,0.0,0.42966490782541017,16,-0.005238104611635208,1.0327670574188232,0.02935331466853315,16,0.110565026983181,0.09464738109904156,16,1.0,10.183049643108477,0.022075167970834936,16,1.0,10.515044699808337
gsr_c05_d8_h10k,direct_hrl,sim,encourage,10000,99,75000000,77004800,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H10K_S99_/00_GSR_C05_D8_H10K_S99/checkpoint_p0/milestones/checkpoint_000004700_77004800.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H10K_S99_/00_GSR_C05_D8_H10K_S99,gsr_c05_d8_h10k__s99__f77004800,GSR_C05_D8_H10K_S99__00_GSR_C05_D8_H10K_S99__gsr_c05_d8_h10k__s99__f77004800,10001,307,0.850415512465374,0.10240677343978265,0.07406133493656494,0.21727253693725646,0,0.027147285271472855,0,0.13106084989125907,0.000842314811887129,0.429641813853834,16,0.016556791961193085,1.0053398609161377,0.027147285271472855,16,0.10240677343978265,0.1310608498912591,16,1.0,10.605074077269315,-0.03241911049012378,16,1.0,10.690280393831104
gsr_c05_d8_h10k,direct_hrl,sim,encourage,10000,123,75000000,75038720,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H10K_S123_/00_GSR_C05_D8_H10K_S123/checkpoint_p0/milestones/checkpoint_000004580_75038720.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H10K_S123_/00_GSR_C05_D8_H10K_S123,gsr_c05_d8_h10k__s123__f75038720,GSR_C05_D8_H10K_S123__00_GSR_C05_D8_H10K_S123__gsr_c05_d8_h10k__s123__f75038720,10001,286,0.7922437673130194,0.20597862284711582,0.19784278428953864,0.3682078655573726,0,0.026572342765723428,0,0.049940088831684264,3.996827350833355e-05,0.6427173845464592,15,-0.011252153664827347,1.0016117095947266,0.026572342765723428,16,0.20597862284711582,0.049940088831684264,15,0.9687499999999999,10.11276058544001,-0.042018001067331175,16,1.0,10.307712355572493
gsr_c05_d8_h5k,direct_hrl,sim,encourage,5000,8,75000000,74252288,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H5K_S8_/00_GSR_C05_D8_H5K_S8/checkpoint_p0/milestones/checkpoint_000004532_74252288.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H5K_S8_/00_GSR_C05_D8_H5K_S8,gsr_c05_d8_h5k__s8__f74252288,GSR_C05_D8_H5K_S8__00_GSR_C05_D8_H5K_S8__gsr_c05_d8_h5k__s8__f74252288,10001,249,0.6897506925207756,0.091299061670928,0.04460104664076372,0.30455133119849487,0,0.03002824717528247,0,0.16358271148938158,2.993887560663517e-05,0.6607298521574364,15,-0.012178112752735615,1.0265796184539795,0.03002824717528247,16,0.091299061670928,0.16358271148938158,15,0.9687500000000001,10.096371204932192,0.0134247789572853,16,1.0,10.189168795844937
