label,frames,visited_cells,visited_cell_fraction,mean_spatial_information_bits,median_spatial_information_bits,max_spatial_information_bits,units_si_over_0_5_bits,mean_active_fraction,silent_units,map_cosine_mean,map_cosine_min,map_cosine_max,unique_peak_bins,mean_pre_threshold_logit,mean_pre_threshold_logit_std,mean_pre_threshold_above_fraction
GSR_C05_D4_H10K_S123__00_GSR_C05_D4_H10K_S123__gsr_c05_d4_h10k__s123__f73891840,10001,277,0.7673130193905817,0.11870677727118845,0.13079073198151334,0.1862910124873728,0,0.02242900709929007,0,0.09921467816607947,0.0,0.6946456720946816,16,-0.0034824050962924957,1.0022660493850708,0.02242900709929007
GSR_C05_D4_H10K_S8__00_GSR_C05_D4_H10K_S8__gsr_c05_d4_h10k__s8__f74088448,10001,214,0.592797783933518,0.07845867676992496,0.037965469815426776,0.24088664371967217,0,0.026053644635536447,0,0.23261502456074573,0.0,0.7647787384131296,16,-0.02055475488305092,0.9975937008857727,0.026053644635536447
GSR_C05_D4_H10K_S99__00_GSR_C05_D4_H10K_S99__gsr_c05_d4_h10k__s99__f74842112,10001,224,0.6204986149584487,0.10640772196539985,0.09788918177584799,0.24607989861000168,0,0.028497150284971504,0,0.08096456400881316,0.0,0.5194012526498808,15,0.007760646753013134,0.9484107494354248,0.028497150284971504
GSR_C05_D4_H5K_S123__00_GSR_C05_D4_H5K_S123__gsr_c05_d4_h5k__s123__f73662464,10001,244,0.6759002770083102,0.08696074775035488,0.0634525162617547,0.21911374049310442,0,0.024785021497850213,0,0.14676464659199304,0.0,0.6582786717998009,16,-0.02384628914296627,0.9321666955947876,0.024785021497850213
GSR_C05_D4_H5K_S8__00_GSR_C05_D4_H5K_S8__gsr_c05_d4_h5k__s8__f76120064,10001,284,0.7867036011080333,0.13675420357972687,0.11684031428248617,0.3254133812907432,0,0.029190830916908307,0,0.1178634923952065,0.0004170065372248806,0.6655381063580716,16,-0.015839405357837677,1.0453797578811646,0.029190830916908307
GSR_C05_D4_H5K_S99__00_GSR_C05_D4_H5K_S99__gsr_c05_d4_h5k__s99__f73170944,10001,271,0.7506925207756233,0.09526550775490672,0.045842095583662965,0.31216797009578123,0,0.02724102589741026,0,0.15973412367945544,4.876324960162473e-05,0.530158918346948,16,0.0047618914395570755,1.0302865505218506,0.02724102589741026
GSR_C05_D8_H10K_S123__00_GSR_C05_D8_H10K_S123__gsr_c05_d8_h10k__s123__f75038720,10001,286,0.7922437673130194,0.20597862284711582,0.19784278428953864,0.3682078655573726,0,0.026572342765723428,0,0.049940088831684264,3.996827350833355e-05,0.6427173845464592,15,-0.011252153664827347,1.0016117095947266,0.026572342765723428
GSR_C05_D8_H10K_S8__00_GSR_C05_D8_H10K_S8__gsr_c05_d8_h10k__s8__f74219520,10001,272,0.7534626038781164,0.110565026983181,0.08715062676194775,0.3134205850511693,0,0.02935331466853315,0,0.09464738109904157,0.0,0.42966490782541017,16,-0.005238104611635208,1.0327670574188232,0.02935331466853315
GSR_C05_D8_H10K_S99__00_GSR_C05_D8_H10K_S99__gsr_c05_d8_h10k__s99__f77004800,10001,307,0.850415512465374,0.10240677343978265,0.07406133493656494,0.21727253693725646,0,0.027147285271472855,0,0.13106084989125907,0.000842314811887129,0.429641813853834,16,0.016556791961193085,1.0053398609161377,0.027147285271472855
GSR_C05_D8_H5K_S123__00_GSR_C05_D8_H5K_S123__gsr_c05_d8_h5k__s123__f73924608,10001,227,0.628808864265928,0.10462858738780667,0.09992502999127534,0.29676021142534836,0,0.024872512748725126,0,0.17996418444545892,0.0,0.7424076263303925,11,-0.056660838425159454,1.0160353183746338,0.024872512748725126
