condition,family,schedule,feedback,half_life,seed,target_frames,checkpoint_frames,checkpoint,run_dir,label_suffix,label,frames,visited_cells,visited_cell_fraction,mean_spatial_information_bits,median_spatial_information_bits,max_spatial_information_bits,units_si_over_0_5_bits,mean_active_fraction,silent_units,map_cosine_mean,map_cosine_min,map_cosine_max,unique_peak_bins,mean_pre_threshold_logit,mean_pre_threshold_logit_std,mean_pre_threshold_above_fraction,active_units,active_unit_mean_si_bits,active_map_cosine_mean,active_unique_peak_bins,active_peak_bin_entropy,active_pairwise_peak_distance_bins,prethreshold_map_cosine_mean,prethreshold_unique_peak_bins,prethreshold_peak_bin_entropy,prethreshold_pairwise_peak_distance_bins
gsr_c05_d4_h10k,direct_hrl,sim,encourage,10000,99,75000000,74842112,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H10K_S99_/00_GSR_C05_D4_H10K_S99/checkpoint_p0/milestones/checkpoint_000004568_74842112.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H10K_S99_/00_GSR_C05_D4_H10K_S99,gsr_c05_d4_h10k__s99__f74842112,GSR_C05_D4_H10K_S99__00_GSR_C05_D4_H10K_S99__gsr_c05_d4_h10k__s99__f74842112,10001,224,0.6204986149584487,0.10640772196539985,0.09788918177584799,0.24607989861000168,0,0.028497150284971504,0,0.08096456400881316,0.0,0.5194012526498808,15,0.007760646753013134,0.9484107494354248,0.028497150284971504,16,0.10640772196539985,0.08096456400881318,15,0.9687499999999999,11.251329358057225,-0.018405619254179276,16,1.0,10.226878185030822
gsr_c05_d4_h5k,direct_hrl,sim,encourage,5000,99,75000000,73170944,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H5K_S99_/00_GSR_C05_D4_H5K_S99/checkpoint_p0/milestones/checkpoint_000004466_73170944.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H5K_S99_/00_GSR_C05_D4_H5K_S99,gsr_c05_d4_h5k__s99__f73170944,GSR_C05_D4_H5K_S99__00_GSR_C05_D4_H5K_S99__gsr_c05_d4_h5k__s99__f73170944,10001,271,0.7506925207756233,0.09526550775490672,0.045842095583662965,0.31216797009578123,0,0.02724102589741026,0,0.15973412367945544,4.876324960162473e-05,0.530158918346948,16,0.0047618914395570755,1.0302865505218506,0.02724102589741026,16,0.09526550775490672,0.15973412367945544,16,1.0,9.671368427258432,0.013318968981281838,16,1.0,9.979846516307985
gsr_c05_d8_h10k,direct_hrl,sim,encourage,10000,99,75000000,77004800,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H10K_S99_/00_GSR_C05_D8_H10K_S99/checkpoint_p0/milestones/checkpoint_000004700_77004800.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H10K_S99_/00_GSR_C05_D8_H10K_S99,gsr_c05_d8_h10k__s99__f77004800,GSR_C05_D8_H10K_S99__00_GSR_C05_D8_H10K_S99__gsr_c05_d8_h10k__s99__f77004800,10001,307,0.850415512465374,0.10240677343978265,0.07406133493656494,0.21727253693725646,0,0.027147285271472855,0,0.13106084989125907,0.000842314811887129,0.429641813853834,16,0.016556791961193085,1.0053398609161377,0.027147285271472855,16,0.10240677343978265,0.1310608498912591,16,1.0,10.605074077269315,-0.03241911049012378,16,1.0,10.690280393831104
gsr_c05_d8_h5k,direct_hrl,sim,encourage,5000,99,75000000,73662464,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H5K_S99_/00_GSR_C05_D8_H5K_S99/checkpoint_p0/milestones/checkpoint_000004496_73662464.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H5K_S99_/00_GSR_C05_D8_H5K_S99,gsr_c05_d8_h5k__s99__f73662464,GSR_C05_D8_H5K_S99__00_GSR_C05_D8_H5K_S99__gsr_c05_d8_h5k__s99__f73662464,10001,313,0.8670360110803325,0.14392178831368008,0.13897317781117946,0.2238073837704287,0,0.02332891710828917,0,0.08654238624648973,0.0,0.8934310579128841,16,0.005140111781656742,0.9460703730583191,0.02332891710828917,16,0.14392178831368008,0.08654238624648973,16,1.0,10.563820585287774,-0.017324429528135985,15,0.9687500000000001,9.512052744850967
gsr_c13_d4_h10k,direct_hrl,sim,encourage,10000,99,75000000,73859072,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D4_H10K_S99_/00_GSR_C13_D4_H10K_S99/checkpoint_p0/milestones/checkpoint_000004508_73859072.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D4_H10K_S99_/00_GSR_C13_D4_H10K_S99,gsr_c13_d4_h10k__s99__f73859072,GSR_C13_D4_H10K_S99__00_GSR_C13_D4_H10K_S99__gsr_c13_d4_h10k__s99__f73859072,10001,179,0.49584487534626037,0.17726540199754584,0.24394929817700556,0.31199133028461257,0,0.02574117588241176,0,0.05145045969025313,0.0,0.5104160319647049,16,-0.012995736673474312,0.8624563217163086,0.02574117588241176,16,0.17726540199754584,0.05145045969025312,16,1.0,7.459665818995741,-0.04098600230314833,16,1.0,6.793443574666633
gsr_c13_d4_h5k,direct_hrl,sim,encourage,5000,99,75000000,74579968,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D4_H5K_S99_/00_GSR_C13_D4_H5K_S99/checkpoint_p0/milestones/checkpoint_000004552_74579968.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D4_H5K_S99_/00_GSR_C13_D4_H5K_S99,gsr_c13_d4_h5k__s99__f74579968,GSR_C13_D4_H5K_S99__00_GSR_C13_D4_H5K_S99__gsr_c13_d4_h5k__s99__f74579968,10001,280,0.775623268698061,0.13157801077433556,0.12657644998592862,0.21931756258571958,0,0.024935006499350064,0,0.10142334153078268,0.008144865422819088,0.4122220859864631,16,0.0011280998587608337,0.9953375458717346,0.024935006499350064,16,0.13157801077433556,0.10142334153078268,16,1.0,9.349248569239613,-0.019072302449521718,16,1.0,8.320080831396455
gsr_c13_d8_h10k,direct_hrl,sim,encourage,10000,99,75000000,74973184,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D8_H10K_S99_/00_GSR_C13_D8_H10K_S99/checkpoint_p0/milestones/checkpoint_000004576_74973184.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D8_H10K_S99_/00_GSR_C13_D8_H10K_S99,gsr_c13_d8_h10k__s99__f74973184,GSR_C13_D8_H10K_S99__00_GSR_C13_D8_H10K_S99__gsr_c13_d8_h10k__s99__f74973184,10001,223,0.6177285318559557,0.17600839147933378,0.16365747409357764,0.24997428660647864,0,0.026634836516348365,0,0.06476273117559991,0.0,0.3557723550494758,16,0.022906411439180374,1.0292158126831055,0.026634836516348365,16,0.17600839147933378,0.06476273117559991,16,1.0,10.106864517605276,-0.05039885842691856,16,1.0,10.138368498297545
gsr_c13_d8_h5k,direct_hrl,sim,encourage,5000,99,75000000,73662464,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D8_H5K_S99_/00_GSR_C13_D8_H5K_S99/checkpoint_p0/milestones/checkpoint_000004496_73662464.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D8_H5K_S99_/00_GSR_C13_D8_H5K_S99,gsr_c13_d8_h5k__s99__f73662464,GSR_C13_D8_H5K_S99__00_GSR_C13_D8_H5K_S99__gsr_c13_d8_h5k__s99__f73662464,10001,187,0.518005540166205,0.20842761725024403,0.2157938127948884,0.3424208032439848,0,0.024766273372662732,0,0.04520956099676857,0.0,0.38776813065603516,16,-0.0033665820956230164,0.9857772588729858,0.024766273372662732,16,0.20842761725024403,0.04520956099676858,16,1.0,11.593964306109449,-0.03569459292751682,16,1.0,11.75120510404257
gsr_c15_d4_h10k,topology,sim,encourage,10000,99,75000000,75792384,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C15_D4_H10K_S99_/00_GSR_C15_D4_H10K_S99/checkpoint_p0/milestones/checkpoint_000004626_75792384.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C15_D4_H10K_S99_/00_GSR_C15_D4_H10K_S99,gsr_c15_d4_h10k__s99__f75792384,GSR_C15_D4_H10K_S99__00_GSR_C15_D4_H10K_S99__gsr_c15_d4_h10k__s99__f75792384,10001,228,0.631578947368421,0.14651834931551486,0.14707936623763346,0.2208789904935571,0,0.02672232776722328,0,0.06869323910258762,0.000458616045190536,0.5698446346409033,16,0.027665602043271065,1.0223643779754639,0.02672232776722328,16,0.14651834931551486,0.06869323910258764,16,1.0,10.40777424821312,-0.03729750063678035,16,1.0,9.77212230695119
gsr_c15_d4_h5k,topology,sim,encourage,5000,99,75000000,76939264,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C15_D4_H5K_S99_/00_GSR_C15_D4_H5K_S99/checkpoint_p0/milestones/checkpoint_000004696_76939264.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C15_D4_H5K_S99_/00_GSR_C15_D4_H5K_S99,gsr_c15_d4_h5k__s99__f76939264,GSR_C15_D4_H5K_S99__00_GSR_C15_D4_H5K_S99__gsr_c15_d4_h5k__s99__f76939264,10001,304,0.8421052631578947,0.13210903693056641,0.1279174038178162,0.19743405679215315,0,0.028697130286971302,0,0.14107359617127688,0.021894864999699018,0.5470413937521543,15,-0.02157117798924446,1.030081033706665,0.028697130286971302,16,0.13210903693056641,0.14107359617127688,15,0.9687500000000001,11.386713170053929,-0.03178765576228762,15,0.9687500000000001,9.949300160897856
