,visited_cells,visited_cells,mean_spatial_information_bits,mean_spatial_information_bits,active_unit_mean_si_bits,active_unit_mean_si_bits,mean_active_fraction,mean_active_fraction,silent_units,silent_units,active_map_cosine_mean,active_map_cosine_mean,active_unique_peak_bins,active_unique_peak_bins,active_peak_bin_entropy,active_peak_bin_entropy,active_pairwise_peak_distance_bins,active_pairwise_peak_distance_bins,prethreshold_map_cosine_mean,prethreshold_map_cosine_mean,prethreshold_unique_peak_bins,prethreshold_unique_peak_bins,prethreshold_peak_bin_entropy,prethreshold_peak_bin_entropy,prethreshold_pairwise_peak_distance_bins,prethreshold_pairwise_peak_distance_bins
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
condition,,,,,,,,,,,,,,,,,,,,,,,,,,
gsr_c05_d4_h10k,238.33333333333334,33.85754470326124,0.10119105866883775,0.020624926192649155,0.10119105866883775,0.020624926192649155,0.02565993400659934,0.0030531699060135082,0.0,0.0,0.13759808891187944,0.0827914863483191,15.666666666666666,0.5773502691896258,0.9895833333333334,0.01804219591217587,11.353499694719597,0.5118728546121607,0.014502575733030522,0.03293336867490653,15.666666666666666,0.5773502691896258,0.9895833333333334,0.018042195912175773,10.293152872871978,0.8918885211240297
gsr_c05_d4_h5k,266.3333333333333,20.40424792373718,0.10632681969499615,0.026676047818874494,0.10632681969499615,0.026676047818874494,0.027072292770722928,0.002207745979567513,0.0,0.0,0.14145408755555167,0.021434527496425677,16.0,0.0,1.0,0.0,9.673174006284716,0.1234614851338254,0.007124070905623339,0.012478718858270097,15.333333333333334,0.5773502691896258,0.9791666666666666,0.018042195912175863,10.243222564304446,0.23634561604998122
gsr_c05_d8_h10k,288.3333333333333,17.61628034896508,0.1396501410900265,0.05758680312684489,0.1396501410900265,0.05758680312684489,0.02769098090190981,0.0014680445786730931,0.0,0.0,0.09188277327399497,0.040630982772274775,15.666666666666666,0.5773502691896255,0.9895833333333334,0.018042195912175853,10.300294768605935,0.266276093836785,-0.017453981195540008,0.03456804739121724,16.0,0.0,1.0,0.0,10.504345816403978,0.19150829108379522
gsr_c05_d8_h5k,263.0,44.67661580737735,0.11328314579080491,0.027358067835514865,0.11328314579080491,0.027358067835514865,0.026076559010765592,0.0035082119929503,0.0,0.0,0.14336309406044342,0.04988519611479638,14.0,2.6457513110645907,0.9335682942595653,0.08937619744420415,10.32608361524044,0.23382798371443694,0.017536495432712556,0.03708811859626161,14.333333333333334,2.081665999466133,0.943984960926232,0.07168128342978755,9.914623154817969,0.35625032312270044
gsr_c13_d4_h10k,186.66666666666666,10.785793124908956,0.19995522065554303,0.028880866646087338,0.19995522065554303,0.028880866646087338,0.02752224777522248,0.003047100692482239,0.0,0.0,0.05149405084152667,0.0024302817281129244,16.0,0.0,1.0,0.0,8.670668788204624,1.3208928021046662,-0.03990228625831075,0.0033077883799240053,16.0,0.0,1.0,0.0,8.766115623935967,1.811705053485181
gsr_c13_d4_h5k,242.0,37.04051835490427,0.15219369684988546,0.023380498329588596,0.15219369684988546,0.023380498329588596,0.025364130253641304,0.00044442387294388146,0.0,0.0,0.08648997475692798,0.014060481887135264,16.0,0.0,1.0,0.0,10.224229388920639,0.8348624230394481,-0.026875918422277618,0.010687956989791476,16.0,0.0,1.0,0.0,9.0567277500663,0.658771059029367
gsr_c13_d8_h10k,216.33333333333334,6.110100926607787,0.1765775742684638,0.02692970518757686,0.1765775742684638,0.02692970518757686,0.0262307102623071,0.0006837951089378844,0.0,0.0,0.0590575105069868,0.018738390125303636,15.666666666666666,0.5773502691896255,0.9895833333333334,0.01804219591217574,9.284568580895922,1.0888784814767192,-0.03886667715384401,0.011528112284806913,16.0,0.0,1.0,0.0,9.337186407765856,1.378306749893823
gsr_c13_d8_h5k,230.66666666666666,41.669333248005465,0.18899003509532364,0.01696510423770707,0.18899003509532364,0.01696510423770707,0.02536621337866213,0.0005878400168135618,0.0,0.0,0.05771151298030707,0.015155170470711089,15.666666666666666,0.5773502691896258,0.9895833333333334,0.018042195912175773,10.500584052240887,1.0950035057797964,-0.035520077108809854,0.0038614118529174306,15.666666666666666,0.5773502691896255,0.9895833333333334,0.018042195912175853,10.604838105652838,1.4583433749715389
