label,run_name,retained_samples,trajectory_segments,mono_field_units,eligible_units,mean_spatial_information,active_only_map_cosine,unique_peak_bins,visited_cell_fraction,reliable_edges,reachable_pair_fraction,grounded_controllability
DGP focal,DGP_C15_HIT_JOINT_LEG_S123,100000,1686,5,16,0.172163188457489,0.10684772311596273,15,0.8753462603878116,166,1.0,0.05553240701556206
DGP FIRST,DGP_C15_FIRST_JOINT_LEG_S99,100000,1686,4,16,0.16598260402679443,0.1135727833786169,11,0.853185595567867,8,0.07083333283662796,0.23222501575946808
DGP late coverage,DGP_C15_FIRST_JOINT_LEG_S8,100000,1693,2,16,0.14554864168167114,0.1950560663288386,13,0.8808864265927978,5,0.02500000037252903,0.0
CPD temporal,CPD_C15_GATE_CA3_BPTT_S99,100000,1685,3,16,0.5409376621246338,0.17808473996430418,13,0.8808864265927978,12,0.17916665971279144,0.050846416503190994
CPD mono-field,CPD_C15_GATE_ACT_DIR_GOAL_S8,100000,1684,7,16,0.4095361828804016,0.2491866966017803,8,0.853185595567867,13,0.125,0.11051740497350693
CPD grounded,CPD_C15_GATE_ACT_DIR_S99,100000,1710,6,16,0.3159940242767334,0.2905946326105633,7,0.8808864265927978,4,0.02083333395421505,0.4883890748023987
SCR spatial,SCR_C15_ARR_DIRS_S123,100000,1685,11,16,0.24180075526237488,0.06046560499744334,13,0.8808864265927978,66,0.8833333253860474,0.39210912585258484
SAT spatial,SAT_C15_ARR_DIRO_FILM_S8,100000,1698,9,16,0.21206527948379517,0.1147397281104568,15,0.8808864265927978,78,1.0,0.17490042746067047
SAT low overlap,SAT_C15_ARR_MON_FILM_S123,100000,1687,6,16,0.23572184145450592,0.08774968708245687,15,0.8808864265927978,79,0.9375,0.08585982024669647
SAT exploration,SAT_C15_SRC_MON_FILM_S8,100000,1708,0,16,0.06137189641594887,0.5003810064808527,15,0.8808864265927978,98,1.0,0.0
