run_name,base,controller,seed,cadence,study_id
CPU2048D64_DIRECT_F16_DDQN_S8,DIRECT_F16,DDQN,8,64,controller_cpu_cadence64_20260914
CPU2048D64_DIRECT_F16_DDQN_S99,DIRECT_F16,DDQN,99,64,controller_cpu_cadence64_20260914
CPU2048D64_DIRECT_F16_DDQN_S123,DIRECT_F16,DDQN,123,64,controller_cpu_cadence64_20260914
CPU2048D64_DIRECT_F16_DDQN_HER_S8,DIRECT_F16,DDQN_HER,8,64,controller_cpu_cadence64_20260914
CPU2048D64_DIRECT_F16_DDQN_HER_S99,DIRECT_F16,DDQN_HER,99,64,controller_cpu_cadence64_20260914
CPU2048D64_DIRECT_F16_DDQN_HER_S123,DIRECT_F16,DDQN_HER,123,64,controller_cpu_cadence64_20260914
CPU2048D64_WAYPOINT_DECODER_F64_DDQN_S8,WAYPOINT_DECODER_F64,DDQN,8,64,controller_cpu_cadence64_20260914
CPU2048D64_WAYPOINT_DECODER_F64_DDQN_S99,WAYPOINT_DECODER_F64,DDQN,99,64,controller_cpu_cadence64_20260914
CPU2048D64_WAYPOINT_DECODER_F64_DDQN_S123,WAYPOINT_DECODER_F64,DDQN,123,64,controller_cpu_cadence64_20260914
CPU2048D64_WAYPOINT_DECODER_F64_DDQN_HER_S8,WAYPOINT_DECODER_F64,DDQN_HER,8,64,controller_cpu_cadence64_20260914
CPU2048D64_WAYPOINT_DECODER_F64_DDQN_HER_S99,WAYPOINT_DECODER_F64,DDQN_HER,99,64,controller_cpu_cadence64_20260914
CPU2048D64_WAYPOINT_DECODER_F64_DDQN_HER_S123,WAYPOINT_DECODER_F64,DDQN_HER,123,64,controller_cpu_cadence64_20260914
CPU2048_WAYPOINT_DECODER_F64_DDQN_S99,WAYPOINT_DECODER_F64,DDQN,99,2048,controller_cpu_f64_ddqn_20260914
CPU2048_WAYPOINT_DECODER_F64_DDQN_S8,WAYPOINT_DECODER_F64,DDQN,8,2048,controller_cpu_f64_ddqn_seeds_20260914
CPU2048_WAYPOINT_DECODER_F64_DDQN_S123,WAYPOINT_DECODER_F64,DDQN,123,2048,controller_cpu_f64_ddqn_seeds_20260914
CPU2048_WAYPOINT_DECODER_F64_DDQN_HER_S99,WAYPOINT_DECODER_F64,DDQN_HER,99,2048,controller_cpu_f64_her_20260914
CPU2048_WAYPOINT_DECODER_F64_DDQN_HER_S8,WAYPOINT_DECODER_F64,DDQN_HER,8,2048,controller_cpu_f64_her_seeds_20260914
CPU2048_WAYPOINT_DECODER_F64_DDQN_HER_S123,WAYPOINT_DECODER_F64,DDQN_HER,123,2048,controller_cpu_f64_her_seeds_20260914
CPU2048_DIRECT_F16_DDQN_S99,DIRECT_F16,DDQN,99,2048,controller_cpu_selected_ddqn_20260914
CPU2048_DIRECT_F16_DDQN_S8,DIRECT_F16,DDQN,8,2048,controller_cpu_selected_ddqn_seeds_20260914
CPU2048_DIRECT_F16_DDQN_S123,DIRECT_F16,DDQN,123,2048,controller_cpu_selected_ddqn_seeds_20260914
CPU2048_DIRECT_F16_DDQN_HER_S8,DIRECT_F16,DDQN_HER,8,2048,controller_cpu_selected_her_20260914
CPU2048_DIRECT_F16_DDQN_HER_S99,DIRECT_F16,DDQN_HER,99,2048,controller_cpu_selected_her_seeds_20260914
CPU2048_DIRECT_F16_DDQN_HER_S123,DIRECT_F16,DDQN_HER,123,2048,controller_cpu_selected_her_seeds_20260914
