,active_only_map_cosine,active_only_map_cosine,silent_unit_fraction,silent_unit_fraction,unique_active_peak_bins,unique_active_peak_bins,mono_field_unit_fraction,mono_field_unit_fraction,active_unit_mean_spatial_information,active_unit_mean_spatial_information,stationary_step_fraction,stationary_step_fraction,path_efficiency,path_efficiency,visited_cell_fraction,visited_cell_fraction,graph_prospective_success_fraction,graph_prospective_success_fraction,graph_reliable_global_efficiency,graph_reliable_global_efficiency,graph_grounded_controllability,graph_grounded_controllability,graph_reliable_edge_count,graph_reliable_edge_count
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
label,,,,,,,,,,,,,,,,,,,,,,,,
Direct F16 · DDQN · cadence 2048,0.4285921131254935,0.01962720823773611,0.0,0.0,15.0,0.0,0.0,0.0,0.05086011563738183,0.004523679642174834,0.08991334911598747,0.010249892710887961,0.40847731111323543,0.03919340082756308,0.8808864265927978,0.0,0.40754056970278424,0.0059287810165477225,0.47129960854848224,0.029743131042512402,0.0,0.0,54.333333333333336,11.372481406154654
Direct F16 · DDQN · cadence 64,0.4513812541998338,0.03448712263463296,0.0,0.0,16.0,0.0,0.0,0.0,0.0507468096911907,0.003322141892521075,0.12443627374477888,0.021445284911949095,0.3907844707973534,0.018664285321007428,0.8808864265927978,0.0,0.4344649215539296,0.020798835727961186,0.5555324057737986,0.07154261644761993,0.0,0.0,71.33333333333333,14.571661996262929
Direct F16 · DDQN+HER · cadence 2048,0.3637397986695159,0.0077751738896369065,0.0,0.0,15.0,0.0,0.0,0.0,0.05519681175549823,0.003032982146826768,0.1575288982761654,0.07299383043163696,0.41164567508865774,0.04918889448101147,0.8808864265927978,0.0,0.40473101536432904,0.0016631458134550134,0.5047916571299235,0.024516526011499666,0.0,0.0,61.0,9.16515138991168
Direct F16 · DDQN+HER · cadence 64,0.4413514909017935,0.02291932485584672,0.0,0.0,15.333333333333334,0.5773502691896258,0.020833333333333332,0.036084391824351615,0.05205761144558583,0.004794435259108851,0.1536571728772954,0.01564258378863941,0.3884001895334454,0.013136389702368481,0.8808864265927978,0.0,0.43375203013420105,0.00353451432394456,0.5579861203829447,0.01414267204735284,0.0,0.0,65.33333333333333,1.5275252316519485
Waypoint F64 · DDQN · cadence 2048,0.2614602634533421,0.05503021908537258,0.0625,0.10825317547305482,44.0,1.7320508075688772,0.07071360153256699,0.02130320473582697,0.039123684167861904,0.00437488651099243,0.11652356289573969,0.01635200910694222,0.4138590711935015,0.024697023043099117,0.8808864265927978,0.0,0.44479634364446,0.0550248194571716,0.006433256048088199,0.0037728683077697736,0.0,0.0,19.666666666666668,9.29157324317757
Waypoint F64 · DDQN · cadence 64,0.26302629569762487,0.030394808188269798,0.0,0.0,40.666666666666664,3.511884584284245,0.06820436507936507,0.024681006482136756,0.031216398502389567,0.0012356138235936562,0.15137310071636997,0.011191609328104467,0.4189623124776254,0.014012698694529844,0.8808864265927978,0.0,0.39391933878262836,0.0289131119256732,0.005373677394042366,0.00035798005628529645,0.0,0.0,20.0,1.0
Waypoint F64 · DDQN+HER · cadence 2048,0.22664494175724292,0.026477951416887906,0.0,0.0,45.0,0.0,0.0946327683615819,0.0704540410277794,0.0341022002200285,0.00014757933975784017,0.13270272670592356,0.02340771364800913,0.40907681180585587,0.033894106852009956,0.8808864265927978,0.0,0.4076288044452667,0.007456829731387853,0.004767416277900266,0.0014859886909155216,0.0,0.0,16.333333333333332,5.859465277082316
Waypoint F64 · DDQN+HER · cadence 64,0.21062979008969282,0.06432188842389237,0.036458333333333336,0.039322054350368486,44.333333333333336,2.5166114784235836,0.07203907203907203,0.10483381669097645,0.0327266237388054,0.004613704621213728,0.16527775642489131,0.04487577769890303,0.4402751913913176,0.01910795636897509,0.8808864265927978,0.0,0.40614505608876544,0.04281290722265177,0.005979938199743566,0.0024231252451104245,0.0,0.0,20.333333333333332,6.6583281184793925
