run_name,wandb_id,frames,stationary,movement,option_success,readout_logit_sensitivity,silent_fraction,coverage_auc
DGC_DIRECT_WORKER_F16_S8,00_DGC_DIRECT_WORKER_F16_S8_20260910_202752_518654,276709380.0,0.03801972,17.066114,0.1764706,0.009099746,0,42.08211
DGC_DIRECT_WORKER_F16_S123,00_DGC_DIRECT_WORKER_F16_S123_20260910_202756_343042,276037630.0,0.028658537,17.522045,0.42307693,0.018303199,0,40.4706
DGC_DIRECT_WORKER_F16_S99,00_DGC_DIRECT_WORKER_F16_S99_20260910_202756_343003,282640400.0,0.048485465,14.964973,0.55,0.018392632,0,42.34506
DGC_DIRECT_WORKER_F32_S123,00_DGC_DIRECT_WORKER_F32_S123_20260910_202800_436485,275726340.0,0.3845059,7.512466,0.25,0.0102046,0,25.20254
DGC_DIRECT_WORKER_F64_S8,00_DGC_DIRECT_WORKER_F64_S8_20260910_202800_436414,278102000.0,0.60902715,4.694362,0,0.00018887693,0.15625,26.784586
DGC_DIRECT_WORKER_F64_S99,00_DGC_DIRECT_WORKER_F64_S99_20260910_202800_435273,278233100.0,0.35811636,9.015852,0,0,0.1875,43.262394
DGC_DIRECT_WORKER_F32_S8,00_DGC_DIRECT_WORKER_F32_S8_20260910_202802_474658,279461900.0,0.04450767,15.4114895,0.29411766,0.027190674,0,41.99122
DGC_DIRECT_WORKER_F32_S99,00_DGC_DIRECT_WORKER_F32_S99_20260910_202802_537021,274366460.0,0.020932833,17.107233,0.35897437,0.011506891,0,35.512108
DGC_DIRECT_DG_F16_S99,00_DGC_DIRECT_DG_F16_S99_20260910_202804_762388,278134800.0,0.0054872474,15.884936,0.36666667,0.030215366,0,26.350105
DGC_DIRECT_WORKER_F64_S123,00_DGC_DIRECT_WORKER_F64_S123_20260910_202804_289567,274923520.0,0.093416095,14.341918,0.16666667,0.01468086,0.078125,76.55024
DGC_DIRECT_DG_F16_S123,00_DGC_DIRECT_DG_F16_S123_20260910_202806_603083,271925250.0,0.038836926,17.485338,0.61904764,0.016110336,0,46.361145
DGC_DIRECT_DG_F16_S8,00_DGC_DIRECT_DG_F16_S8_20260910_202806_049703,280199170.0,0.1415219,14.420315,0.048780486,0.00042988107,0,56.856255
DGC_DIRECT_DG_F32_S8,00_DGC_DIRECT_DG_F32_S8_20260910_202806_603177,279150600.0,0.026133822,16.890419,0.5151515,0.01703577,0,38.601833
DGC_DIRECT_DG_F32_S99,00_DGC_DIRECT_DG_F32_S99_20260910_202822_391307,278200320.0,0.0246085,16.587303,0.27272728,0.0046496913,0,35.895775
DGC_DIRECT_DG_F32_S123,00_DGC_DIRECT_DG_F32_S123_20260910_202835_807990,281313280.0,0.21916278,11.836443,0.1,0.008091379,0,31.004446
DGC_DIRECT_DG_F64_S123,00_DGC_DIRECT_DG_F64_S123_20260910_202836_360033,265453570.0,0.089254856,15.694426,0,0,0,43.59485
DGC_DIRECT_DG_F64_S8,00_DGC_DIRECT_DG_F64_S8_20260910_202835_809682,273268740.0,0.9416785,0.766576,0,0.00022332346,0.296875,19.655575
DGC_DIRECT_DG_F64_S99,00_DGC_DIRECT_DG_F64_S99_20260910_202836_371805,277250050.0,0.92089474,1.0723649,0,8.749591e-05,0.265625,15.390789
DGC_WAYPOINT_DG_F16_S8,00_DGC_WAYPOINT_DG_F16_S8_20260910_203027_583649,255606780.0,0.061317876,18.996674,0.81642514,0.034821186,0,15.724192
DGC_WAYPOINT_DG_F16_S99,00_DGC_WAYPOINT_DG_F16_S99_20260910_203354_842282,234995710.0,0.14287166,10.941417,0.61890244,0.06417424,0,20.278305
DGC_WAYPOINT_DG_F16_S123,00_DGC_WAYPOINT_DG_F16_S123_20260910_203415_895231,250970110.0,0.0060994206,20.175653,0.5744681,0.032298304,0,13.875459
DGC_WAYPOINT_DG_F32_S8,00_DGC_WAYPOINT_DG_F32_S8_20260910_203415_894942,182157310.0,0.025925172,17.21732,0.5188917,0.024530614,0,50.596954
DGC_WAYPOINT_DG_F32_S123,00_DGC_WAYPOINT_DG_F32_S123_20260910_203542_264263,182681600.0,0.45726192,5.4723873,0.51891893,0.03379196,0,16.513525
DGC_WAYPOINT_DG_F64_S8,00_DGC_WAYPOINT_DG_F64_S8_20260910_203542_264151,132562940.0,0.018292682,17.9632,0.1598916,0.023919262,0.046875,29.651028
DGC_WAYPOINT_DG_F64_S99,00_DGC_WAYPOINT_DG_F64_S99_20260910_203542_264231,115998720.0,0.016568407,18.718906,0.3515625,0.0211604,0.015625,56.34242
DGC_WAYPOINT_DG_F32_S99,00_DGC_WAYPOINT_DG_F32_S99_20260910_203542_264287,173015040.0,0.35710657,5.730351,0.2724359,0.048537053,0,20.118805
DGC_WAYPOINT_DG_F64_S123,00_DGC_WAYPOINT_DG_F64_S123_20260910_203752_596622,98631680.0,0.06699197,17.618128,0.57399106,0.029246777,0.1875,38.338867
