,,active_only_map_cosine,active_only_map_cosine,active_only_map_cosine,active_only_map_cosine,unique_active_peak_bins,unique_active_peak_bins,unique_active_peak_bins,unique_active_peak_bins,mono_field_unit_fraction,mono_field_unit_fraction,mono_field_unit_fraction,mono_field_unit_fraction,silent_unit_fraction,silent_unit_fraction,silent_unit_fraction,silent_unit_fraction,stationary_step_fraction,stationary_step_fraction,stationary_step_fraction,stationary_step_fraction,visited_cell_fraction,visited_cell_fraction,visited_cell_fraction,visited_cell_fraction,graph_prospective_success_fraction,graph_prospective_success_fraction,graph_prospective_success_fraction,graph_prospective_success_fraction,graph_grounded_controllability,graph_grounded_controllability,graph_grounded_controllability,graph_grounded_controllability,graph_reachable_pair_fraction,graph_reachable_pair_fraction,graph_reachable_pair_fraction,graph_reachable_pair_fraction,graph_reliable_edge_count,graph_reliable_edge_count,graph_reliable_edge_count,graph_reliable_edge_count
,,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
base,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECT_DG,16,0.2864731788517834,0.09999638631055588,0.2202899671700053,0.401504482909005,13.666666666666666,2.5166114784235836,11.0,16.0,0.020833333333333332,0.036084391824351615,0.0,0.0625,0.0,0.0,0.0,0.0,0.035041555373944634,0.0024991323866848845,0.0324905710248355,0.037485389032881,0.8790397045244691,0.0031986164498040625,0.8753462603878116,0.8808864265927978,0.47259562214215595,0.03370590039545616,0.4353555142879486,0.5010120272636414,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,87.66666666666667,6.429100507328638,83.0,95.0
DIRECT_DG,32,0.21050213187350642,0.03948296869886307,0.1806998285715683,0.2552825715966479,23.666666666666668,1.5275252316519463,22.0,25.0,0.03125,0.05412658773652741,0.0,0.09375,0.0,0.0,0.0,0.0,0.10073480017741189,0.11441645158459428,0.0174026185248434,0.2311867852604828,0.8578024007386889,0.03760925550215386,0.814404432132964,0.8808864265927978,0.38373612364133197,0.013925395426361483,0.3749119639396667,0.3997893929481506,0.0,0.0,0.0,0.0,0.7308467825253805,0.15853236577166657,0.5977822542190552,0.90625,178.0,24.979991993593593,150.0,198.0
DIRECT_DG,64,0.14548873702820928,0.0606230162919601,0.1101087308299883,0.2154887915074861,46.0,1.7320508075688772,45.0,48.0,0.19932208994708991,0.09313196930142076,0.09375,0.2698412698412698,0.0,0.0,0.0,0.0,0.10719268406916273,0.06369616097264964,0.0336610310787592,0.1453808076598599,0.8808864265927978,0.0,0.8808864265927978,0.8808864265927978,0.04552044098575903,0.019434269081796008,0.0236686393618583,0.060869563370943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIRECT_WORKER,16,0.19043539388083067,0.04227221447198276,0.149733386324068,0.2341198511541886,12.333333333333334,3.0550504633038935,9.0,15.0,0.24305555555555555,0.3681865594947656,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.03494752903573006,0.01111278996084984,0.0255763835237669,0.0472245657189904,0.8716528162511542,0.0015993082249019953,0.8698060941828255,0.8725761772853186,0.5106927255789439,0.09028162564221962,0.4412789940834045,0.6127573847770691,0.10610516866048177,0.1837795430656194,0.0,0.3183155059814453,0.9583333333333334,0.07216878364870322,0.875,1.0,66.33333333333333,9.45163125250522,59.0,77.0
DIRECT_WORKER,32,0.23269766742600864,0.10034857408690502,0.1399636255863525,0.3392322413485619,27.333333333333332,2.309401076758503,26.0,30.0,0.041666666666666664,0.047735163489123336,0.0,0.09375,0.0,0.0,0.0,0.0,0.036883120572791396,0.01644026147000461,0.0232376111817026,0.0551353219870269,0.8716528162511542,0.015993082249020126,0.853185595567867,0.8808864265927978,0.37921146551767976,0.009837624468915257,0.3682107329368591,0.3871647417545318,0.0006818717811256334,0.0011810365691570818,0.0,0.0020456153433769,0.8336693644523621,0.09503112281939542,0.7510080933570862,0.9375,191.0,14.177446878757825,180.0,207.0
DIRECT_WORKER,64,0.122859705515015,0.05107428962106812,0.0730388140257881,0.1751013081819169,45.666666666666664,10.115993936995679,34.0,52.0,0.12037037037037036,0.047555925356601296,0.078125,0.171875,0.020833333333333332,0.036084391824351615,0.0,0.0625,0.24348060313396439,0.3942664493188285,0.0067188452937588,0.6986164902971344,0.8522622345337026,0.029096862893053955,0.8227146814404432,0.8808864265927978,0.06457120304306346,0.00978084823894734,0.0540540553629398,0.0733944922685623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAYPOINT_DG,16,0.25148041693674433,0.20050424153164376,0.1021712614299847,0.479373478543148,13.0,1.0,12.0,14.0,0.041666666666666664,0.036084391824351615,0.0,0.0625,0.0,0.0,0.0,0.0,0.06120057739838373,0.07643902644740655,0.016070666205859,0.14945718467919,0.840258541089566,0.024827940276544322,0.8116343490304709,0.8559556786703602,0.5862694581349691,0.03377971518219946,0.5655730366706848,0.6252500414848328,0.0,0.0,0.0,0.0,0.12222221990426375,0.052759494947085775,0.0750000029802322,0.1791666597127914,17.333333333333332,8.504900548115383,11.0,27.0
WAYPOINT_DG,32,0.21444215231807115,0.07877013048426124,0.1513387083173594,0.3027230552832913,25.0,1.7320508075688772,23.0,26.0,0.020833333333333332,0.018042195912175808,0.0,0.03125,0.0,0.0,0.0,0.0,0.417326168799879,0.4941843661133974,0.0350299370762302,0.9753603447925348,0.6980609418282548,0.2550282390356544,0.4044321329639889,0.8642659279778393,0.482307771841685,0.01967191698878976,0.4630478024482727,0.5023672580718994,0.0,0.0,0.0,0.0,0.03696236573159694,0.04868370739826951,0.0030241934582591,0.0927419364452362,12.0,10.14889156509222,3.0,23.0
