run_name,condition,base,seed,project,training_seconds,design_cells,source_checkpoint_frames,physical_training_signal,selected_checkpoint_pilot,action_repeat,require_source_interface_match,timing_parent_study,source,scope,dg,max_step,window_low,window_high,run_dir,lenweighted_score,lenweighted_score__n,raw_score,raw_score__n,episode_length,episode_length__n
FRT8_SCRATCH_S42,FRT8_SCRATCH,SCRATCH,42,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,scratch,scratch,trainable,71467008,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SCRATCH_S42_/00_FRT8_SCRATCH_S42,8.966229051251874,598,10.0,598,1033.7709720062971,598
FRT8_SCRATCH_S1234,FRT8_SCRATCH,SCRATCH,1234,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,scratch,scratch,trainable,62259200,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SCRATCH_S1234_/00_FRT8_SCRATCH_S1234,9.29998298545382,804,10.0,804,700.0170159031503,804
FRT8_SCRATCH_S9999,FRT8_SCRATCH,SCRATCH,9999,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,scratch,scratch,trainable,68452352,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SCRATCH_S9999_/00_FRT8_SCRATCH_S9999,9.079447829334027,643,9.983048155741596,643,915.8056614046704,643
FRT8_SCR_DG_FROZEN_S42,FRT8_SCR_DG_FROZEN,SCR_DG_FROZEN,42,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SCR_C15_ARR_DIRS_S123,dg,frozen,60784640,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SCR_DG_FROZEN_S42_/00_FRT8_SCR_DG_FROZEN_S42,6.668946664229683,690,8.879855089602263,690,3017.41274944803,690
FRT8_SCR_DG_FROZEN_S1234,FRT8_SCR_DG_FROZEN,SCR_DG_FROZEN,1234,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SCR_C15_ARR_DIRS_S123,dg,frozen,94208000,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SCR_DG_FROZEN_S1234_/00_FRT8_SCR_DG_FROZEN_S1234,4.612487034106764,421,6.712351544169519,421,4466.971405971645,421
FRT8_SCR_DG_FROZEN_S9999,FRT8_SCR_DG_FROZEN,SCR_DG_FROZEN,9999,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SCR_C15_ARR_DIRS_S123,dg,frozen,97615872,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SCR_DG_FROZEN_S9999_/00_FRT8_SCR_DG_FROZEN_S9999,7.028204458731192,405,9.180740780300564,405,2742.4029574170527,405
FRT8_SCR_DG_TUNE_S42,FRT8_SCR_DG_TUNE,SCR_DG_TUNE,42,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SCR_C15_ARR_DIRS_S123,dg,trainable,74645504,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SCR_DG_TUNE_S42_/00_FRT8_SCR_DG_TUNE_S42,9.201309478580514,681,9.99911893937031,681,798.4438189760003,681
FRT8_SCR_DG_TUNE_S1234,FRT8_SCR_DG_TUNE,SCR_DG_TUNE,1234,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SCR_C15_ARR_DIRS_S123,dg,trainable,91291648,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SCR_DG_TUNE_S1234_/00_FRT8_SCR_DG_TUNE_S1234,7.578317250900831,407,9.649140025239612,407,2323.4419686132333,407
FRT8_SCR_DG_TUNE_S9999,FRT8_SCR_DG_TUNE,SCR_DG_TUNE,9999,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SCR_C15_ARR_DIRS_S123,dg,trainable,74448896,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SCR_DG_TUNE_S9999_/00_FRT8_SCR_DG_TUNE_S9999,8.861942075913952,558,10.0,558,1138.0579206131692,558
FRT8_SCR_POLICY_TUNE_S42,FRT8_SCR_POLICY_TUNE,SCR_POLICY_TUNE,42,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SCR_C15_ARR_DIRS_S123,policy,trainable,76644352,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SCR_POLICY_TUNE_S42_/00_FRT8_SCR_POLICY_TUNE_S42,9.159130128418527,656,10.0,656,840.8698769546137,656
FRT8_SCR_POLICY_TUNE_S1234,FRT8_SCR_POLICY_TUNE,SCR_POLICY_TUNE,1234,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SCR_C15_ARR_DIRS_S123,policy,trainable,94306304,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SCR_POLICY_TUNE_S1234_/00_FRT8_SCR_POLICY_TUNE_S1234,3.6704127535151976,414,5.429468590280284,414,5049.838463824728,414
FRT8_SCR_POLICY_TUNE_S9999,FRT8_SCR_POLICY_TUNE,SCR_POLICY_TUNE,9999,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SCR_C15_ARR_DIRS_S123,policy,trainable,75399168,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SCR_POLICY_TUNE_S9999_/00_FRT8_SCR_POLICY_TUNE_S9999,9.196227532434046,686,10.0,686,803.7724773974182,686
FRT8_SAT_DG_FROZEN_S42,FRT8_SAT_DG_FROZEN,SAT_DG_FROZEN,42,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SAT_C15_ARR_DIRO_FILM_S8,dg,frozen,97452032,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SAT_DG_FROZEN_S42_/00_FRT8_SAT_DG_FROZEN_S42,5.435073058587706,409,7.879217660805998,409,3971.1078803102077,409
FRT8_SAT_DG_FROZEN_S1234,FRT8_SAT_DG_FROZEN,SAT_DG_FROZEN,1234,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SAT_C15_ARR_DIRO_FILM_S8,dg,frozen,96763904,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SAT_DG_FROZEN_S1234_/00_FRT8_SAT_DG_FROZEN_S1234,5.590277676443452,412,7.996601961191418,412,3848.770873430863,412
FRT8_SAT_DG_FROZEN_S9999,FRT8_SAT_DG_FROZEN,SAT_DG_FROZEN,9999,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SAT_C15_ARR_DIRO_FILM_S8,dg,frozen,91226112,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SAT_DG_FROZEN_S9999_/00_FRT8_SAT_DG_FROZEN_S9999,5.038555555873447,414,7.3545893931734385,414,4220.729466829899,414
FRT8_SAT_DG_TUNE_S42,FRT8_SAT_DG_TUNE,SAT_DG_TUNE,42,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SAT_C15_ARR_DIRO_FILM_S8,dg,trainable,86769664,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SAT_DG_TUNE_S42_/00_FRT8_SAT_DG_TUNE_S42,8.64208680989961,458,9.998471609890201,458,1357.485239886821,458
FRT8_SAT_DG_TUNE_S1234,FRT8_SAT_DG_TUNE,SAT_DG_TUNE,1234,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SAT_C15_ARR_DIRO_FILM_S8,dg,trainable,90734592,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SAT_DG_TUNE_S1234_/00_FRT8_SAT_DG_TUNE_S1234,8.296846646268222,422,9.921563840025408,422,1681.1912807084939,422
FRT8_SAT_DG_TUNE_S9999,FRT8_SAT_DG_TUNE,SAT_DG_TUNE,9999,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SAT_C15_ARR_DIRO_FILM_S8,dg,trainable,84901888,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SAT_DG_TUNE_S9999_/00_FRT8_SAT_DG_TUNE_S9999,8.626590922409791,458,9.979475918815647,458,1367.6623569805029,458
FRT8_SAT_POLICY_TUNE_S42,FRT8_SAT_POLICY_TUNE,SAT_POLICY_TUNE,42,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SAT_C15_ARR_DIRO_FILM_S8,policy,trainable,80084992,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SAT_POLICY_TUNE_S42_/00_FRT8_SAT_POLICY_TUNE_S42,8.826603928390814,539,9.99777364642368,539,1172.772690923404,539
FRT8_SAT_POLICY_TUNE_S1234,FRT8_SAT_POLICY_TUNE,SAT_POLICY_TUNE,1234,SF_IntrMotiv_FixedRewardTransfer,108000,7,75038720,True,True,8,True,fixed_reward_transfer_20260910,SAT_C15_ARR_DIRO_FILM_S8,policy,trainable,80904192,50784640,60784640,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_fixed_reward_transfer_repeat8_20260910/FRT8_SAT_POLICY_TUNE_S1234_/00_FRT8_SAT_POLICY_TUNE_S1234,8.998694900116186,558,10.0,558,1001.3050898069977,558
