         80673619 function calls (75728166 primitive calls) in 128.229 seconds

   Ordered by: cumulative time
   List reduced from 678 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.089    0.089  128.393  128.393 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/controller_learner.py:295(_controller_updates)
      155    0.055    0.000  124.445    0.803 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/controller_learner.py:236(_evaluate_pairs)
      316    0.005    0.000  124.374    0.394 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/controller_snapshot.py:45(differentiable_replay)
      316    0.008    0.000  122.569    0.388 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/torch/_functorch/functional_call.py:11(functional_call)
      316    0.003    0.000  122.551    0.388 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/torch/nn/utils/stateless.py:246(_functional_call)
18858/316    0.021    0.000  121.950    0.386 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/torch/nn/modules/module.py:1771(_wrapped_call_impl)
18858/316    0.029    0.000  121.950    0.386 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/torch/nn/modules/module.py:1779(_call_impl)
      316    0.823    0.003  121.949    0.386 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/controller_snapshot.py:41(forward)
      310    0.403    0.001  120.971    0.390 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/controller_transition.py:48(transition_values_batch)
      167    0.001    0.000   53.609    0.321 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/torch/utils/_contextlib.py:117(decorate_context)
      161    0.014    0.000   53.593    0.333 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/controller_snapshot.py:68(evaluate_replay)
      310    0.051    0.000   52.461    0.169 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/controller_transition.py:51(<listcomp>)
    77914    0.851    0.000   52.410    0.001 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/controller_transition.py:36(make_history)
    77914    1.189    0.000   40.454    0.001 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/controller_transition.py:39(<dictcomp>)
      310    0.021    0.000   34.343    0.111 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/custom_core.py:699(_update_hrl)
      310    1.705    0.005   34.312    0.111 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/topological_frontier.py:523(advance_topological_manager)
   468984   18.588    0.000   31.457    0.000 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/numpy/core/shape_base.py:372(stack)
     7547    0.301    0.000   31.113    0.004 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/topological_frontier.py:708(choose_task)
     2347    0.141    0.000   30.304    0.013 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/topological_frontier.py:444(select_connectivity_probe)
     2092    0.319    0.000   29.584    0.014 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/topological_frontier.py:460(<listcomp>)
    18214    0.504    0.000   29.265    0.002 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/topological_frontier.py:434(connectivity_gain)
