         15159612 function calls (13796870 primitive calls) in 20.316 seconds

   Ordered by: cumulative time
   List reduced from 642 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.040    0.040   20.340   20.340 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_stable_head_20260912/sf_working_directories/IntrMotiv/dmlab/controller_learner.py:304(_controller_updates)
       33    0.084    0.003   19.501    0.591 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_stable_head_20260912/sf_working_directories/IntrMotiv/dmlab/controller_learner.py:242(_evaluate_pairs)
       46    0.001    0.000   18.956    0.412 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_stable_head_20260912/sf_working_directories/IntrMotiv/dmlab/controller_snapshot.py:46(differentiable_replay)
       46    0.001    0.000   18.884    0.411 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/torch/_functorch/functional_call.py:11(functional_call)
       46    0.001    0.000   18.882    0.410 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/torch/nn/utils/stateless.py:246(_functional_call)
 42918/46    0.037    0.000   18.794    0.409 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/torch/nn/modules/module.py:1771(_wrapped_call_impl)
 42918/46    0.046    0.000   18.794    0.409 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/torch/nn/modules/module.py:1779(_call_impl)
       46    0.051    0.001   18.794    0.409 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_stable_head_20260912/sf_working_directories/IntrMotiv/dmlab/controller_snapshot.py:42(forward)
    72/46    0.170    0.002   18.743    0.407 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_stable_head_20260912/sf_working_directories/IntrMotiv/dmlab/controller_transition.py:85(transition_values_batch)
    70/57    0.000    0.000    9.125    0.160 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/torch/utils/_contextlib.py:117(decorate_context)
