condition,seed,window_low,window_high,terminal,target_hit_rate,target_hit_rate__n,timeout_rate,timeout_rate__n,option_success_fraction,option_success_fraction__n,elapsed_on_hit,elapsed_on_hit__n,elapsed_on_timeout,elapsed_on_timeout__n,target_selected_deadline,target_selected_deadline__n,selected_deadline_positive,selected_deadline_positive__n,learned_deadline_fraction,learned_deadline_fraction__n,known_controllability_time,known_controllability_time__n,known_edge_fraction,known_edge_fraction__n,target_hit_lift,target_hit_lift__n,action_sensitivity,action_sensitivity__n,target_valid_fraction,target_valid_fraction__n,selected_target_visits,selected_target_visits__n
C03,123,0,10000000,0,0.02192142674180328,305,0.07262743340163934,305,0.2276655529366165,305,7.1573094711929075,305,12.61279541078161,305,12.905232579590844,305,12.905232579590844,305,0.9586512201145047,305,9.232763834468654,305,0.17510928764756098,305,41.79478435203677,305,0.001109901258195216,305,0.9702100409836065,305,3666.2755717074283,305
C03,123,10000000,20000000,0,0.0280913806352459,305,0.08560771004098361,305,0.24684989642901498,305,5.901660672172171,305,9.678586912936852,305,9.6649383951406,305,9.6649383951406,305,1.0,305,5.559943715079886,305,0.16799180238950448,305,0.8526652994703074,305,0.0033760918498985837,305,1.0,305,4140.774178726947,305
C03,123,20000000,30000000,0,0.03263799948770492,305,0.08935706967213115,305,0.266868205392947,305,5.425035455578663,305,9.184433486813404,305,9.139281641850706,305,9.139281641850706,305,1.0,305,5.281858375424244,305,0.16816939828825778,305,0.8772957139327878,305,0.007792253734269103,305,1.0,305,3944.3790255186987,305
C03,123,30000000,40000000,0,0.03256435706967213,305,0.0913422131147541,305,0.2622266669253834,305,5.245493230663362,305,9.070855781680248,305,8.994466012423155,305,8.994466012423155,305,1.0,305,5.328448516032735,305,0.1587978117778653,305,0.9075739158958686,305,0.010305195246807864,305,1.0,305,3522.97385053791,305
C03,123,40000000,50000000,0,0.030790535348360657,305,0.08881435706967213,305,0.2570264734205652,305,5.592727157717846,305,9.294425750169598,305,9.268078819650118,305,9.268078819650118,305,1.0,305,5.525375413112953,305,0.16930327757460173,305,0.9189355555127878,305,0.011251269059530536,305,1.0,305,3531.594237480789,305
C03,123,50000000,60000000,0,0.025853375204248366,306,0.09703233506944445,306,0.2097849578785351,306,5.247849712963977,306,8.868416234558703,306,8.866914736679178,306,8.866914736679178,306,1.0,306,5.124980938980003,306,0.16505990951668983,306,0.9291304671296886,306,0.013003026211354273,306,1.0,306,3159.3528933057596,306
C03,123,60000000,70000000,0,0.027001152663934425,305,0.09797003073770492,305,0.2148056864494183,305,6.4025687162993385,305,8.425056638873992,305,8.674451909299757,305,8.674451909299757,305,1.0,305,5.0491781469251285,305,0.14147540902505157,305,0.9197459185709719,305,0.011845992725403582,305,1.0,305,3150.769580078125,305
C03,123,70000000,80000000,0,0.03410604508196721,305,0.07944896260245901,305,0.30060120899169174,305,9.729606162524615,305,8.321057304007109,305,9.525701848014457,305,9.525701848014457,305,1.0,305,6.0834197247614625,305,0.13109289705753327,305,0.945109522733532,305,0.011633245353815986,305,1.0,305,3803.3557200947744,305
C03,123,80000000,90000000,0,0.03818359375,305,0.08421971055327869,305,0.3117408571184659,305,8.589665305028197,305,7.891701082323419,305,8.974784058430156,305,8.974784058430156,305,1.0,305,5.930512209407619,305,0.1324453598163167,305,0.9768314261905483,305,0.014205634090133378,305,1.0,305,3613.3690485719776,305
C03,123,90000000,100040704,1,0.03893048910830619,307,0.08663095480456026,307,0.31008797587905723,307,8.138850640784646,307,7.812348417039803,307,8.763895112450815,307,8.763895112450815,307,1.0,307,5.59819073475145,307,0.1443811071617984,307,0.9796428105730187,307,0.015886989613260818,307,1.0,307,3530.514442468699,307
C03,8,0,10000000,0,0.01585873463114754,305,0.06808241547131147,305,0.1892043913485574,305,7.850115285154249,305,14.33516966084965,305,14.615574839857757,305,14.615574839857757,305,0.9540213223363533,305,11.432296030638648,305,0.21424863328393853,305,0.8149148472019884,305,0.0008061335869152557,305,0.9690269595286886,305,4024.2401156566184,305
C03,8,10000000,20000000,0,0.021993468237704917,305,0.09196657274590164,305,0.19215705130921035,305,5.08742663586726,305,9.610210528139207,305,9.428768292411428,305,9.428768292411428,305,1.0,305,5.776125732797091,305,0.20105191498506264,305,0.8931239223871075,305,0.003921081874992882,305,1.0,305,3818.4318079213626,305
C03,8,20000000,30000000,0,0.023706454918032787,305,0.08717181096311476,305,0.21250679082557802,305,5.281087490769683,305,9.9662404732626,305,9.764352226257325,305,9.764352226257325,305,1.0,305,5.840793476730097,305,0.21326502673938627,305,0.9332018889364649,305,0.007913589905031392,305,1.0,305,3891.8128498014858,305
C03,8,30000000,40000000,0,0.03343045594262295,305,0.08199923155737705,305,0.2892518187644052,305,6.298560572452232,305,9.57667380942673,305,9.647465568292336,305,9.647465568292336,305,1.0,305,5.707737968007072,305,0.18195355036219613,305,0.9618896288949935,305,0.01570564218964733,305,1.0,305,3902.3651287141392,305
C03,8,40000000,50000000,0,0.043578701331967215,305,0.07738857581967214,305,0.36129968083295666,305,7.801543518754302,305,8.388299630899898,305,9.542220467426738,305,9.542220467426738,305,1.0,305,5.864299272318355,305,0.1692622935185667,305,0.9934913107606231,305,0.013673571399489387,305,1.0,305,3370.97400822874,305
C03,8,50000000,60000000,0,0.046782449959150325,306,0.07327410130718955,306,0.3906376123233558,306,8.136930789822847,306,8.368939575806163,306,9.758268761478998,306,9.758268761478998,306,1.0,306,6.131792802436679,306,0.15310457606915556,306,1.0116734952708475,306,0.015481900204630458,306,1.0,306,3124.6806975719974,306
C03,8,60000000,70000000,0,0.05053951075819672,305,0.06451876280737705,305,0.4424282657318428,305,8.75400969395872,305,8.594477162595656,305,10.49297453770872,305,10.49297453770872,305,1.0,305,6.298149790529345,305,0.14396174887164695,305,1.0232330558729954,305,0.016909838034237016,305,1.0,305,3221.2221863793543,305
C03,8,70000000,80000000,0,0.04536693135245902,305,0.06477010758196722,305,0.41728145592525356,305,9.140615586765477,305,8.864084285986229,305,10.601186198875553,305,10.601186198875553,305,1.0,305,6.441549888986056,305,0.15266393642933643,305,1.0382078792228073,305,0.017151235749364876,305,1.0,305,3572.18355612833,305
