cell,condition,label,coverage_auc__mean,unique_cells__mean,coverage_entropy__mean,dg_density__mean,dg_silent_fraction__mean,dg_multi_fraction__mean,dg_usage_entropy__mean,dg_ca3_conflict_fraction__mean,intrinsic_reward_mean__mean,intrinsic_reward_nonzero_fraction__mean,active_target_fraction__mean,target_hit_rate__mean,target_hit_lift__mean,action_sensitivity__mean,target_valid_fraction__mean,value_span__mean,option_success_fraction__mean,option_timeout_rate__mean,known_edge_fraction__mean,node_coverage_fraction__mean,learned_deadline_fraction__mean,selected_deadline_mean__mean,exploration_selection_fraction__mean,forced_exploration_fraction__mean,exploration_reward_nonzero_fraction__mean,her_loss__mean,her_accepted_segments__mean,her_segment_length__mean,passive_updates__mean,passive_known_edge_fraction__mean,frontier_selection_rate__mean,frontier_yield__mean,frontier_reached_fraction__mean,route_available_rate__mean,hop_count_mean__mean,waypoint_success_rate__mean,final_frontier_reach_rate__mean,validation_success_rate__mean,validation_timeout_rate__mean,coverage_auc__sd,unique_cells__sd,coverage_entropy__sd,dg_density__sd,dg_silent_fraction__sd,dg_multi_fraction__sd,dg_usage_entropy__sd,dg_ca3_conflict_fraction__sd,intrinsic_reward_mean__sd,intrinsic_reward_nonzero_fraction__sd,active_target_fraction__sd,target_hit_rate__sd,target_hit_lift__sd,action_sensitivity__sd,target_valid_fraction__sd,value_span__sd,option_success_fraction__sd,option_timeout_rate__sd,known_edge_fraction__sd,node_coverage_fraction__sd,learned_deadline_fraction__sd,selected_deadline_mean__sd,exploration_selection_fraction__sd,forced_exploration_fraction__sd,exploration_reward_nonzero_fraction__sd,her_loss__sd,her_accepted_segments__sd,her_segment_length__sd,passive_updates__sd,passive_known_edge_fraction__sd,frontier_selection_rate__sd,frontier_yield__sd,frontier_reached_fraction__sd,route_available_rate__sd,hop_count_mean__sd,waypoint_success_rate__sd,final_frontier_reach_rate__sd,validation_success_rate__sd,validation_timeout_rate__sd,coverage_auc__n,unique_cells__n,coverage_entropy__n,dg_density__n,dg_silent_fraction__n,dg_multi_fraction__n,dg_usage_entropy__n,dg_ca3_conflict_fraction__n,intrinsic_reward_mean__n,intrinsic_reward_nonzero_fraction__n,active_target_fraction__n,target_hit_rate__n,target_hit_lift__n,action_sensitivity__n,target_valid_fraction__n,value_span__n,option_success_fraction__n,option_timeout_rate__n,known_edge_fraction__n,node_coverage_fraction__n,learned_deadline_fraction__n,selected_deadline_mean__n,exploration_selection_fraction__n,forced_exploration_fraction__n,exploration_reward_nonzero_fraction__n,her_loss__n,her_accepted_segments__n,her_segment_length__n,passive_updates__n,passive_known_edge_fraction__n,frontier_selection_rate__n,frontier_yield__n,frontier_reached_fraction__n,route_available_rate__n,hop_count_mean__n,waypoint_success_rate__n,final_frontier_reach_rate__n,validation_success_rate__n,validation_timeout_rate__n
1,C01,Flat control,37.97367252154754,47.115497480461556,2.686458699247249,0.026289829761114516,0.0,0.005159930725762527,0.9780423505503627,0.9937738821657135,2.4979734187032663,0.36487959984340956,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,5.599702191692451,5.625332376274801,0.10527605184820307,0.0011077332599891973,0.0,0.002534374438425588,0.0007937109631295918,0.0015347758543345442,0.24190919529465515,0.034351356193098634,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0
2,C02,Direct delayed,45.10621170647895,63.61875285731089,2.9152868332795,0.02546266377102056,0.0,0.00813270186546841,0.9717588242232669,0.9771868138531454,0.0535433602971806,0.03229836856617647,0.9989133348651961,0.03227496510757081,0.9592213900780107,0.030341922798070218,0.9989133348651961,0.0034580636184413007,0.27715272546496267,0.085483792041122,0.17989742304634684,1.0,0.9995543122421422,9.560672569378788,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,8.009811842923785,5.05132268849242,0.40776923257500297,0.0029100267393247768,0.0,0.003173295916172132,0.008027483890923242,0.0257853261419761,0.00658546593259761,0.0037109065000036287,4.7228121766918233e-05,0.0037195724826123485,0.0697108628190451,0.021696531286943314,4.7228121766918233e-05,0.002720646588680534,0.04185783673172054,0.016460483128792103,0.04566676008200517,0.0,0.0007719538409210602,1.3550328681030457,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
3,C03,Direct immediate,23.17921466827393,27.85463522905074,2.4019905194546443,0.02722088184232026,0.0,0.008951291019880174,0.9738783361735167,0.993473293994247,0.07772905944211485,0.046346294594226574,0.9989122710716231,0.04635320925245098,1.0029893183110845,0.012546724082104667,1.0,0.004009141867645825,0.4527445227427161,0.0618861911083878,0.14711782931956852,1.0,0.999673136438939,11.105421694795032,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,8.736345528087888,12.59661219831264,0.21424991595830037,0.0030801548105068416,0.0,0.005254387465770302,0.00251427275080093,0.007466181628630083,0.025537430930994257,0.014958879623770384,5.0266356980754205e-05,0.014944580988205808,0.023325143403196615,0.00751159131019183,0.0,0.003745241876996839,0.20881476208761487,0.030169606447706953,0.004169520939500262,0.0,0.0005661442949005359,2.4712588923749768,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
4,C04,Immediate iterative,39.577085365427514,53.568748467002195,2.321043295232391,0.026547168075129357,0.0,0.014506952954793028,0.963726751619954,0.954691003870081,0.0344803806727606,0.021492353451797386,0.9988878038194445,0.021420547385620912,1.0327713928451205,0.020370964746626013,1.0,0.002584808390100095,0.19340600453171078,0.08125255310457517,0.1530183370271799,1.0,0.9964297059314703,12.001844349510009,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,6.617889750194134,11.993595857292403,0.5995634431721271,0.000793830396405977,0.0,0.0017389249993382727,0.0018934491829077668,0.030403278508852834,0.023499415704553047,0.014066028439748869,3.711481103712696e-05,0.014102202872174523,0.11092999454621862,0.014083743169180785,0.0,0.0011738320707270684,0.06038512176652243,0.027762661309134413,0.01256137864417005,0.0,0.00502249242686998,4.859413693472832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
5,C05,Immediate G+R,42.03018030570676,53.33304921546972,2.0804621792735536,0.024911917892156864,0.0,0.006176385484749455,0.9638895817052305,0.9786196440653084,0.07978624974890797,0.0478935823461329,0.99891120727805,0.047875497855392156,1.0907480045341458,0.02557680403640238,1.0,0.002233189025443364,0.3168857177569326,0.10317680674700436,0.16902686866540018,1.0,0.9998885686620907,7.659963355864316,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2.0235623230000495,5.836907015477842,0.686303694027227,0.0006400285922726742,0.0,0.001676645654464175,0.0017348036326015116,0.010409979688582642,0.018078049665782674,0.01038409356604922,4.0157326746699476e-05,0.010398775439031402,0.05149876666383905,0.01911758211487606,0.0,0.0011555356272787672,0.08074703789545434,0.015813046820207764,0.006390231432895101,0.0,9.66145107557899e-05,0.5431356979685277,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
6,C06,Immediate G+R+X,37.756879989975054,49.072319883517174,2.0507802357857283,0.021392888752723313,0.0009531590413943354,0.008117808755446623,0.9622040120864486,0.9404566480183654,0.0385410514148358,0.023400267224945537,0.9989287598720044,0.023298143041938998,1.147226695596263,0.012439278968151309,1.0,0.0015421156982119218,0.19564103534493862,0.085694423168573,0.17489106727516468,1.0,0.9996107512180062,11.323913719139847,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,8.372870920394167,11.71749047566374,0.4644128559928207,0.0015064788263402609,0.0016509198873886357,0.003909891513166821,0.007123278858981542,0.07021435611696274,0.012859671362153206,0.0074384016795697155,9.349892254350072e-06,0.007452417985667925,0.11185341946218887,0.002291094963125318,0.0,0.00018929664985559827,0.048343214681822684,0.018685089691027338,0.013540419667496164,0.0,0.000592892851319123,4.2912871020516885,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
7,C07,Immediate O,35.95521803069949,45.88507848646757,2.0146474841773476,0.025471838990587553,0.0,0.00618649152369281,0.966151808861294,0.9875199394807836,0.07604527627249819,0.04576120812908496,0.9989085477941176,0.04571280552151416,1.1195710005323871,0.022375477745739464,1.0,0.0032150143958336003,0.3129364585986844,0.09840090550108933,0.17765522766087308,1.0,1.0,7.999279890185089,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,5.3201589083070875,8.059625982553724,0.610716489480466,0.0013534651945044276,0.0,0.00201341791601709,0.004417475628555866,0.001489201792744513,0.02084626601938812,0.012123456060049189,2.0743974673165244e-05,0.012134197785710961,0.1317057407450638,0.004309514812903415,0.0,0.0014866232445705648,0.06334444490191994,0.0054595687713384035,0.005692454339282499,0.0,0.0,0.4448989380292383,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
8,C08,Immediate X+O,47.50866756056998,64.12839576811916,2.4179132365182125,0.022524898088575707,0.0,0.005131740196078431,0.9727271655675892,0.9754809211282169,0.04707481421762063,0.028159679670479304,0.9989090796909043,0.028088937397875813,0.9836148891378852,0.01051003227344144,1.0,0.0017395758953058082,0.22205524391460196,0.0945935883033769,0.17524509776326824,0.9996595860566448,0.9997864332464005,8.966683295817157,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,27.323042002731484,44.395355369823434,1.2271227077959963,0.0009666005501007383,0.0,0.0008080860199861374,0.004446881058966699,0.00838499397125321,0.025954926987284483,0.015472469805388136,8.031465349298353e-06,0.015480329300931388,0.03157683226974495,0.007881803652419464,0.0,0.0011837304958444237,0.11353995408568944,0.010738662552378786,0.03052190023295592,0.0005896142454959232,0.0002936085618531918,0.8652941795887371,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
9,C09,Immediate HER16,36.73562596778266,48.68152001421049,2.1781201927849234,0.02453839337384259,0.0,0.010934202239923746,0.9627924628377219,0.9264603824657033,0.056660142631832035,0.034055223651960786,0.9989090796909043,0.0340328839869281,1.0360594561287002,0.02319138396575982,1.0,0.02922439370060863,0.2508850467344645,0.10230290032679738,0.166625814029464,1.0,0.9998339254871693,8.150918142468322,0.0,0.0,0.0,0.0652697207477179,31.305010893246187,7.9586788304231275,,,,,,,,,,,,4.149560601128562,8.106248056505606,0.38666382688832557,0.0014509141461151167,0.0,0.0025806829070598343,0.005372235948911799,0.060216428440022444,0.023586432393152522,0.013692541430708156,7.871353627812047e-06,0.013726959775384854,0.1122187690175576,0.00900331903221893,0.0,0.004111094711713444,0.10341530594991435,0.01735341225135835,0.022782952092871723,0.0,0.00016036675228604986,0.5622115526439959,0.0,0.0,0.0,0.021006994167103513,1.031274035681632,0.2820437441581945,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
10,C10,Immediate HER64,38.23598412701313,46.718675197576225,1.8467218358269626,0.02280803339673543,0.0,0.007210924734477125,0.9636342755330154,0.9585764434083095,0.04621958802733164,0.028271909892429198,0.998917590039488,0.028229890046296297,0.9787184059749761,0.019958203370847246,1.0,0.03259852245523065,0.2442014013764028,0.08314185049019608,0.1519562454086633,1.0,0.9991487309434056,10.891965883230071,0.0,0.0,0.0,0.0403221288984053,31.90740740740741,21.16829818941669,,,,,,,,,,,,9.905612836641504,14.157603575524469,0.2310917386040101,0.0019619868340495826,0.0,0.003930165919407929,0.0077465159118201895,0.027263682194444396,0.015622767378808532,0.009764139530480297,3.371151594301373e-05,0.009756385223277706,0.035443173505495515,0.010100017727543731,0.0,0.016398424834340876,0.042250851492875434,0.025756141894532097,0.030583045223822262,0.0,0.0010443201072197613,4.257310605692767,0.0,0.0,0.0,0.006241609567834333,0.014736110303344119,0.11721417806369569,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
