base,treatment,contrast,metric,mean_difference,sd_difference,n,seed_8_difference,seed_99_difference,seed_123_difference
C02,C03,immediate minus delayed,coverage_auc,-21.92699703820502,2.2847693297450555,3,-21.05092291576038,-20.209914267693893,-24.52015393116079
C02,C03,immediate minus delayed,unique_cells,-35.76411762826015,8.440883326976143,3,-26.670121089720773,-37.274187917251226,-43.348043877808465
C02,C03,immediate minus delayed,coverage_entropy,-0.5132963138248559,0.3894138455204814,3,-0.6183834386911338,-0.8393827359723809,-0.0821227668110529
C02,C03,immediate minus delayed,dg_density,0.0017582180712997,0.003596197500059889,3,-0.0010573443244485323,0.0005226883233762254,0.005809310214971407
C02,C03,immediate minus delayed,dg_silent_fraction,0.0,0.0,3,0.0,0.0,0.0
C02,C03,immediate minus delayed,dg_multi_fraction,0.0008185891544117647,0.002838767233753557,3,-0.0016595179738562093,0.003915824142156863,0.00019946129493464068
C02,C03,immediate minus delayed,dg_usage_entropy,0.0021195119502498048,0.010315268424558854,3,-0.003655602729398355,-0.004014615724289294,0.014028754304437063
C02,C03,immediate minus delayed,dg_ca3_conflict_fraction,0.01628648014110153,0.02974122283138735,3,-0.004500744389552724,0.003006081175959907,0.05035410363689741
C02,C03,immediate minus delayed,intrinsic_reward_mean,0.024185699144934254,0.030367272259526196,3,-0.0001396710247872704,0.05822024969810169,0.014476518761488352
C02,C03,immediate minus delayed,intrinsic_reward_nonzero_fraction,0.014047926028050108,0.017979331234748125,3,0.00016276041666666435,0.034356809129901966,0.007624208537581695
C02,C03,immediate minus delayed,active_target_fraction,-1.0637935730084536e-06,9.722369079375643e-05,3,-0.00011329401552284679,5.7444852941124225e-05,5.2657781862697206e-05
C02,C03,immediate minus delayed,target_hit_rate,0.014078244144880172,0.017940689557743812,3,0.00017393024918300332,0.03432968239379085,0.007731119791666668
C02,C03,immediate minus delayed,target_hit_lift,0.04376792823307396,0.09205688107807002,3,0.017340199230543085,0.146148214153215,-0.0321846286845362
C02,C03,immediate minus delayed,action_sensitivity,-0.017795198715965552,0.018654819536852343,3,-0.004257698742721496,-0.010053457228886876,-0.039074440176288285
C02,C03,immediate minus delayed,target_valid_fraction,0.0010866651348038954,4.722812176692479e-05,3,0.0010324116625817226,0.001118578941993409,0.0011090047998365549
C02,C03,immediate minus delayed,value_span,0.0005510782492045246,0.0010247450940048279,3,0.0002197640890170354,-0.00026702058714208807,0.0017004912457386267
C02,C03,immediate minus delayed,option_success_fraction,0.1755917972777534,0.19599293893934558,3,0.045798990558954644,0.4010453636885858,0.07993103758571976
C02,C03,immediate minus delayed,option_timeout_rate,-0.02359760093273421,0.017761043439854893,3,-0.00993795955882354,-0.043675640829248366,-0.017179202410130726
C02,C03,immediate minus delayed,known_edge_fraction,-0.032779593726778335,0.04211753832380556,3,-0.038902505891385414,-0.07150054416235754,0.012064268873407946
C02,C03,immediate minus delayed,node_coverage_fraction,0.0,0.0,3,0.0,0.0,0.0
C02,C03,immediate minus delayed,learned_deadline_fraction,0.00011882419679676293,0.0011633870199229022,3,-0.0009805906831829025,0.0,0.0013370632735731913
C02,C03,immediate minus delayed,selected_deadline_mean,1.5447491254162422,1.1290895477059641,3,1.2901640312344416,2.7793957392374686,0.5646876057768164
C02,C03,immediate minus delayed,exploration_selection_fraction,0.0,0.0,3,0.0,0.0,0.0
C02,C03,immediate minus delayed,forced_exploration_fraction,0.0,0.0,3,0.0,0.0,0.0
C02,C03,immediate minus delayed,exploration_reward_nonzero_fraction,0.0,0.0,3,0.0,0.0,0.0
C02,C03,immediate minus delayed,her_loss,0.0,0.0,3,0.0,0.0,0.0
C02,C03,immediate minus delayed,her_accepted_segments,0.0,0.0,3,0.0,0.0,0.0
C02,C03,immediate minus delayed,her_segment_length,0.0,0.0,3,0.0,0.0,0.0
C02,C03,immediate minus delayed,passive_updates,,,0,,,
C02,C03,immediate minus delayed,passive_known_edge_fraction,,,0,,,
C02,C03,immediate minus delayed,frontier_selection_rate,,,0,,,
C02,C03,immediate minus delayed,frontier_yield,,,0,,,
C02,C03,immediate minus delayed,frontier_reached_fraction,,,0,,,
C02,C03,immediate minus delayed,route_available_rate,,,0,,,
C02,C03,immediate minus delayed,hop_count_mean,,,0,,,
C02,C03,immediate minus delayed,waypoint_success_rate,,,0,,,
C02,C03,immediate minus delayed,final_frontier_reach_rate,,,0,,,
C02,C03,immediate minus delayed,validation_success_rate,,,0,,,
C02,C03,immediate minus delayed,validation_timeout_rate,,,0,,,
C03,C04,iterative minus simultaneous,coverage_auc,16.397870697153582,10.343018614736948,3,8.085945075658337,13.12672415016026,27.980942865642156
C03,C04,iterative minus simultaneous,unique_cells,25.714113237951455,14.6838631319799,3,16.36779480468484,18.13571805170576,42.638826857463776
C03,C04,iterative minus simultaneous,coverage_entropy,-0.08094722422225331,0.8114048422632872,3,0.8414719208879018,-0.6844066073184982,-0.3999069862361635
C03,C04,iterative minus simultaneous,dg_density,-0.000673713767190904,0.0036040947236677273,3,0.0033656101600796594,-0.0035607830371732034,-0.0018259684244791678
C03,C04,iterative minus simultaneous,dg_silent_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C04,iterative minus simultaneous,dg_multi_fraction,0.0055556619349128545,0.005278266900103354,3,0.011575137867647058,0.0033732894199346407,0.0017185585171568627
C03,C04,iterative minus simultaneous,dg_usage_entropy,-0.010151584553562723,0.004186750910204806,3,-0.008239224066142192,-0.007262502620422717,-0.014953026974123262
C03,C04,iterative minus simultaneous,dg_ca3_conflict_fraction,-0.03878229012416597,0.03538084938487837,3,-0.009683646407781854,-0.02849703520731206,-0.078166188757404
C03,C04,iterative minus simultaneous,intrinsic_reward_mean,-0.04324867876935425,0.004911255403379312,3,-0.03759978024374231,-0.04563966670432706,-0.0465065893599934
C03,C04,iterative minus simultaneous,intrinsic_reward_nonzero_fraction,-0.024853941142429194,0.002452645293873737,3,-0.02205403645833333,-0.025885289011437912,-0.02662249795751634
C03,C04,iterative minus simultaneous,active_target_fraction,-2.446725217863932e-05,8.548989594403101e-05,3,7.340175653591796e-05,-8.457158905228468e-05,-6.223192401955124e-05
C03,C04,iterative minus simultaneous,target_hit_rate,-0.024932661866830064,0.002454756340133296,3,-0.0221402037377451,-0.025907628676470583,-0.02675015318627451
C03,C04,iterative minus simultaneous,target_hit_lift,0.02978207453403599,0.08760503859587446,3,0.030305789771422953,0.11712408143710462,-0.0580836476064196
C03,C04,iterative minus simultaneous,action_sensitivity,0.007824240664521349,0.02100264006141116,3,-1.312113896596856e-05,0.031618602926161116,-0.0081327597936311
C03,C04,iterative minus simultaneous,target_valid_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C04,iterative minus simultaneous,value_span,-0.0014243334775457305,0.004473580676309357,3,-0.0011979039449144303,0.002931732606288088,-0.0060068290940108494
C03,C04,iterative minus simultaneous,option_success_fraction,-0.2593385182110053,0.15544500347099283,3,-0.21379431507556265,-0.4324683374877459,-0.13175290206970733
C03,C04,iterative minus simultaneous,option_timeout_rate,0.019366361996187367,0.056663336497263184,3,0.015685636233660136,0.07778033088235295,-0.03536688112745098
C03,C04,iterative minus simultaneous,known_edge_fraction,0.005900507707611404,0.012931444819865339,3,0.02053376715752034,0.0011574073749429925,-0.003989651409629119
C03,C04,iterative minus simultaneous,node_coverage_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C04,iterative minus simultaneous,learned_deadline_fraction,-0.003243430507468744,0.0052679153502112035,3,-0.0003410764769011809,-6.500840966217059e-05,-0.00932420663584288
C03,C04,iterative minus simultaneous,selected_deadline_mean,0.8964226547149791,7.264515751242676,3,0.026284261466631875,-5.893833987853107,8.556817690531412
C03,C04,iterative minus simultaneous,exploration_selection_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C04,iterative minus simultaneous,forced_exploration_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C04,iterative minus simultaneous,exploration_reward_nonzero_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C04,iterative minus simultaneous,her_loss,0.0,0.0,3,0.0,0.0,0.0
C03,C04,iterative minus simultaneous,her_accepted_segments,0.0,0.0,3,0.0,0.0,0.0
C03,C04,iterative minus simultaneous,her_segment_length,0.0,0.0,3,0.0,0.0,0.0
C03,C04,iterative minus simultaneous,passive_updates,,,0,,,
C03,C04,iterative minus simultaneous,passive_known_edge_fraction,,,0,,,
C03,C04,iterative minus simultaneous,frontier_selection_rate,,,0,,,
C03,C04,iterative minus simultaneous,frontier_yield,,,0,,,
C03,C04,iterative minus simultaneous,frontier_reached_fraction,,,0,,,
C03,C04,iterative minus simultaneous,route_available_rate,,,0,,,
C03,C04,iterative minus simultaneous,hop_count_mean,,,0,,,
C03,C04,iterative minus simultaneous,waypoint_success_rate,,,0,,,
C03,C04,iterative minus simultaneous,final_frontier_reach_rate,,,0,,,
C03,C04,iterative minus simultaneous,validation_success_rate,,,0,,,
C03,C04,iterative minus simultaneous,validation_timeout_rate,,,0,,,
C03,C05,G+R minus immediate control,coverage_auc,18.850965637432825,10.3394387901437,3,6.913920758818662,25.004458803050074,24.634517350429746
C03,C05,G+R minus immediate control,unique_cells,25.478413986418985,16.99323846235752,3,6.154342043794898,38.090930614465336,32.18996930099673
C03,C05,G+R minus immediate control,coverage_entropy,-0.3215283401810905,0.5130947023049631,3,-0.7381776808411922,0.2515821148624626,-0.477989454564542
C03,C05,G+R minus immediate control,dg_density,-0.0023089639501633987,0.0027075854231988325,3,0.0007962494893790847,-0.0035465215545853745,-0.004176619785283907
C03,C05,G+R minus immediate control,dg_silent_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C05,G+R minus immediate control,dg_multi_fraction,-0.002774905535130719,0.005868364286858961,3,0.003962099162581699,-0.005513110191993464,-0.006773705575980392
C03,C05,G+R minus immediate control,dg_usage_entropy,-0.00998875446828625,0.0042390387515996875,3,-0.009067591888452742,-0.00628603848756526,-0.014612633028840749
C03,C05,G+R minus immediate control,dg_ca3_conflict_fraction,-0.014853649928938562,0.004130232810883922,3,-0.01767645941840279,-0.01011318630642355,-0.016771304061989345
C03,C05,G+R minus immediate control,intrinsic_reward_mean,0.0020571903067931143,0.03524865870502853,3,0.0057902978550569695,-0.03490944710724493,0.035290720172567305
C03,C05,G+R minus immediate control,intrinsic_reward_nonzero_fraction,0.0015472877519063187,0.02047837597493062,3,0.0037450852736928136,-0.01994134242238562,0.020838120404411763
C03,C05,G+R minus immediate control,active_target_fraction,-1.0637935730084536e-06,2.2697725495911214e-05,3,1.4361213235281056e-05,9.574142156854037e-06,-2.7126736111160454e-05
C03,C05,G+R minus immediate control,target_hit_rate,0.0015222886029411774,0.020487481270423998,3,0.0037147671568627458,-0.01997325622957516,0.020825354881535946
C03,C05,G+R minus immediate control,target_hit_lift,0.08775868622306127,0.07231489539217807,3,0.05603266444081578,0.036729703931247526,0.1705136902971205
C03,C05,G+R minus immediate control,action_sensitivity,0.013030079954297712,0.017598675116227983,3,0.02914799531325211,0.015689003091835067,-0.005746758542194037
C03,C05,G+R minus immediate control,target_valid_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C05,G+R minus immediate control,value_span,-0.001775952842202462,0.00435222169891006,3,0.0006921575286766525,0.0007811866540292863,-0.006801202709313324
C03,C05,G+R minus immediate control,option_success_fraction,-0.13585880498578345,0.2595845317027776,3,-0.09314521175681373,-0.4141509841664944,0.09971978096595774
C03,C05,G+R minus immediate control,option_timeout_rate,0.04129061563861656,0.042921907070851126,3,0.04145284415849673,0.08413117851307189,-0.001712175755718956
C03,C05,G+R minus immediate control,known_edge_fraction,0.02190903934583165,0.003078394322016816,3,0.023747275516488198,0.023624722474540755,0.018355120046466
C03,C05,G+R minus immediate control,node_coverage_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C05,G+R minus immediate control,learned_deadline_fraction,0.0002154322231517162,0.0006626630049318997,3,0.0009805906831829025,-0.00017180064924404714,-0.00016249336448370677
C03,C05,G+R minus immediate control,selected_deadline_mean,-3.4454583389307154,2.957148103446298,3,-3.462011787626478,-6.394294969396654,-0.48006825976901446
C03,C05,G+R minus immediate control,exploration_selection_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C05,G+R minus immediate control,forced_exploration_fraction,0.0,0.0,3,0.0,0.0,0.0
