cell,condition,label,seed,run,max_step,terminal_low,terminal_high,coverage_auc,coverage_auc__n,unique_cells,unique_cells__n,coverage_entropy,coverage_entropy__n,dg_density,dg_density__n,dg_silent_fraction,dg_silent_fraction__n,dg_multi_fraction,dg_multi_fraction__n,dg_usage_entropy,dg_usage_entropy__n,dg_ca3_conflict_fraction,dg_ca3_conflict_fraction__n,intrinsic_reward_mean,intrinsic_reward_mean__n,intrinsic_reward_nonzero_fraction,intrinsic_reward_nonzero_fraction__n,active_target_fraction,active_target_fraction__n,target_hit_rate,target_hit_rate__n,target_hit_lift,target_hit_lift__n,action_sensitivity,action_sensitivity__n,target_valid_fraction,target_valid_fraction__n,value_span,value_span__n,option_success_fraction,option_success_fraction__n,option_timeout_rate,option_timeout_rate__n,known_edge_fraction,known_edge_fraction__n,node_coverage_fraction,node_coverage_fraction__n,learned_deadline_fraction,learned_deadline_fraction__n,selected_deadline_mean,selected_deadline_mean__n,exploration_selection_fraction,exploration_selection_fraction__n,forced_exploration_fraction,forced_exploration_fraction__n,exploration_reward_nonzero_fraction,exploration_reward_nonzero_fraction__n,her_loss,her_loss__n,her_accepted_segments,her_accepted_segments__n,her_segment_length,her_segment_length__n,passive_updates,passive_updates__n,passive_known_edge_fraction,passive_known_edge_fraction__n,frontier_selection_rate,frontier_selection_rate__n,frontier_yield,frontier_yield__n,frontier_reached_fraction,frontier_reached_fraction__n,route_available_rate,route_available_rate__n,hop_count_mean,hop_count_mean__n,waypoint_success_rate,waypoint_success_rate__n,final_frontier_reach_rate,final_frontier_reach_rate__n,validation_success_rate,validation_success_rate__n,validation_timeout_rate,validation_timeout_rate__n
1,C01,Flat control,8,CCR_C01_FLAT_CTRL_S8,100040704,90040704,100040704,31.920259016327314,519,41.06323698628155,519,2.8021962587543996,519,0.027566548266441993,306,0.0,306,0.0024094924428104576,306,0.9789238687044655,306,0.9945074343213848,306,2.7735009302500804,306,0.4039952895220588,306,,0,,0,,0,0.0,306,0.0,306,0.0,306,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.0,306,0.0,306,0.0,306,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
1,C01,Flat control,99,CCR_C01_FLAT_CTRL_S99,100040704,90040704,100040704,42.96857726642324,523,52.18416818651597,523,2.6607871256184623,523,0.025719038022109886,306,0.0,306,0.007400811887254902,306,0.9778187812543383,306,0.9920099794475081,306,2.3204164279052635,306,0.3396219490400327,306,,0,,0,,0,0.0,306,0.0,306,0.0,306,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.0,306,0.0,306,0.0,306,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
1,C01,Flat control,123,CCR_C01_FLAT_CTRL_S123,100040704,90040704,100040704,39.03218128189208,504,48.09908726858714,504,2.596392713368885,504,0.025583902994791668,306,0.0,306,0.005669487847222222,306,0.9773844016922845,306,0.9948042327282476,306,2.4000028979544545,306,0.35102156096813725,306,,0,,0,,0,0.0,306,0.0,306,0.0,306,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.0,306,0.0,306,0.0,306,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2,C02,Direct delayed,8,CCR_C02_DIRECT_DELAYED_CTRL_S8,100040704,90040704,100040704,54.25464884933916,515,69.01295131942601,515,2.7732569953770314,515,0.024728812423406864,306,0.0,306,0.004635480494281046,306,0.9771511562509474,306,0.9893543517667484,306,0.06107977459974149,306,0.03641524969362745,306,0.9989675883374183,306,0.036420036764705885,306,0.9856670531961653,306,0.022069739651093198,306,0.9989675883374183,306,0.002639120359436359,306,0.310059409077261,306,0.08068927440767974,306,0.18391884770853067,306,1.0,306,1.0,306,9.573096633736604,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2,C02,Direct delayed,99,CCR_C02_DIRECT_DELAYED_CTRL_S99,100040704,90040704,100040704,39.3544282148029,511,58.999980366626595,511,3.3750772541516447,511,0.02866936976613562,306,0.0,306,0.008934270322712419,306,0.9755920199007769,306,0.9946369844324449,306,0.048897539253279665,306,0.029210707720588234,306,0.9988814210580066,306,0.029228260314542485,306,0.8801572753323449,306,0.013998324203676258,306,0.9988814210580066,306,0.0012409563295792763,306,0.2913578429496756,306,0.07195286968954248,306,0.22342047932880377,306,1.0,306,1.0,306,10.909450686834996,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2,C02,Direct delayed,123,CCR_C02_DIRECT_DELAYED_CTRL_S123,100040704,90040704,100040704,41.709558055294785,517,62.843326885880074,517,2.597526250309824,517,0.0229898091235192,306,0.0,306,0.010828354779411764,306,0.9625332965180765,306,0.9475691053602431,306,0.050652767038520646,306,0.03126914828431373,306,0.9988909952001634,306,0.03117659824346405,306,1.0118398417055217,306,0.0549577045394412,306,0.9988909952001634,306,0.006494114166308267,306,0.2300409243679514,306,0.1038092320261438,306,0.1323529421017061,306,1.0,306,0.9986629367264268,306,8.199470387564766,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
3,C03,Direct immediate,8,CCR_C03_DIRECT_IMMEDIATE_CTRL_S8,100040704,90040704,100040704,33.20372593357878,530,42.342830229705235,530,2.1548735566858976,530,0.023671468098958332,306,0.0,306,0.0029759625204248364,306,0.973495553521549,306,0.9848536073771956,306,0.06094010357495422,306,0.036578010110294115,306,0.9988542943218954,306,0.03659396701388889,306,1.0030072524267084,306,0.017812040908371702,306,1.0,306,0.0028588844484533945,306,0.3558583996362156,306,0.0707513148488562,306,0.14501634181714526,306,1.0,306,0.9990194093168171,306,10.863260664971046,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
3,C03,Direct immediate,99,CCR_C03_DIRECT_IMMEDIATE_CTRL_S99,100040704,90040704,100040704,19.144513947109008,530,21.72579244937537,530,2.535694518179264,530,0.029192058089511846,306,0.0,306,0.012850094464869281,306,0.9715774041764876,306,0.9976430656084048,306,0.10711778895138135,306,0.0635675168504902,306,0.9989388659109477,306,0.06355794270833333,306,1.0263054894855599,306,0.003944866974789381,306,1.0,306,0.0009739357424371882,306,0.6924032066382614,306,0.02827722886029412,306,0.15191993516644622,306,1.0,306,1.0,306,13.688846426072464,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
3,C03,Direct immediate,123,CCR_C03_DIRECT_IMMEDIATE_CTRL_S123,100040704,90040704,100040704,17.189404124133993,530,19.49528300807161,530,2.5154034834987713,530,0.028799119338490605,306,0.0,306,0.011027816074346405,306,0.9765620508225136,306,0.9979232089971405,306,0.065129285800009,306,0.038893356821895424,306,0.9989436529820261,306,0.03890771803513072,306,0.9796552130209855,306,0.01588326436315292,306,1.0,306,0.008194605412046894,306,0.30997196195367116,306,0.08663002961601307,306,0.14441721097511404,306,1.0,306,1.0,306,8.764157993341582,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
4,C04,Immediate iterative,8,CCR_C04_DIRECT_IMMEDIATE_ITER_S8,100040704,90040704,100040704,41.28967100923712,528,58.71062503439008,528,2.9963454775737994,528,0.02703707825903799,306,0.0,306,0.014551100388071895,306,0.9652563294554068,306,0.9751699609694138,306,0.023340323331211908,306,0.014523973651960785,306,0.9989276960784313,306,0.014453763276143792,306,1.0333130421981314,306,0.017798919769405733,306,1.0,306,0.0016609805035389643,306,0.14206408456065298,306,0.08643695108251634,306,0.1655501089746656,306,1.0,306,0.9986783328399159,306,10.889544926437678,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
