,,accessible_coverage_auc,accessible_coverage_auc,accessible_coverage_auc,coverage_auc,coverage_auc,coverage_auc,accessible_coverage_fraction,accessible_coverage_fraction,accessible_coverage_fraction,mean_accessible_cells_visited,mean_accessible_cells_visited,mean_accessible_cells_visited,active_only_map_cosine,active_only_map_cosine,active_only_map_cosine,silent_unit_fraction,silent_unit_fraction,silent_unit_fraction,unique_active_peak_bins,unique_active_peak_bins,unique_active_peak_bins,active_unit_mean_spatial_information,active_unit_mean_spatial_information,active_unit_mean_spatial_information,graph_reliable_edge_count,graph_reliable_edge_count,graph_reliable_edge_count,graph_largest_strong_component_size,graph_largest_strong_component_size,graph_largest_strong_component_size,stationary_step_fraction,stationary_step_fraction,stationary_step_fraction,graph_reachable_pair_fraction,graph_reachable_pair_fraction,graph_reachable_pair_fraction,graph_prospective_success_fraction,graph_prospective_success_fraction,graph_prospective_success_fraction
,,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max
base,openness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGP,0.0,0.023386291110907332,0.0222948279798678,0.0242047486487139,4.6538719241384685,4.436670768088189,4.816744928854212,0.0258041130358931,0.0240583350827944,0.0280526412276961,5.135018494142727,4.787608681476086,5.582475604311524,0.4969821949008017,0.2783522241276269,0.6951979463732401,0.0,0.0,0.0,12.666666666666666,10.0,14.0,0.055606583133339826,0.0105675999075174,0.120270624756813,176.33333333333334,140.0,199.0,16.0,16.0,16.0,0.328861809565578,0.1273390728072939,0.4338830797996118,1.0,1.0,1.0,0.6038451194763184,0.5700585842132568,0.6388798356056213
DGP,0.35,0.06404941749511583,0.0409852345474064,0.0773487050535004,16.92587985210731,10.779116531352065,20.806801699315614,0.0758542694063149,0.0475400173417911,0.0910326923172061,20.03662035866351,12.50302456089106,23.938336512625877,0.3137675951108358,0.2659869838595938,0.3705443339994756,0.0,0.0,0.0,15.0,13.0,16.0,0.07029367362459497,0.0459061153233051,0.0835833400487899,180.66666666666666,146.0,201.0,16.0,16.0,16.0,0.14103371715762122,0.0322741268405702,0.3534523942631199,1.0,1.0,1.0,0.5734490752220154,0.5552636384963989,0.6070700883865356
DGP,0.75,0.10665251823369064,0.0460633849742866,0.2203438920030521,34.69150075763989,14.832409933181037,72.05245332771979,0.1309192966039844,0.0634374447592667,0.264213594123862,42.574667213046475,20.426857212483878,86.39784527850287,0.3255439216408887,0.2827202783369983,0.3948925426087234,0.0,0.0,0.0,15.333333333333334,14.0,16.0,0.07893401384353634,0.0683202520012855,0.0868583247065544,186.66666666666666,177.0,198.0,16.0,16.0,16.0,0.1251003230178055,0.0079262654079486,0.3563289659588742,1.0,1.0,1.0,0.5407039920488993,0.5271768569946289,0.560002863407135
SAT,0.0,0.02695615590239933,0.0203500738681217,0.0324211223171902,5.364275035440552,4.049664715284942,6.451803387870152,0.030015313027379267,0.0234305938926114,0.0364471710319864,5.9730472924484745,4.662688184629669,7.252987035365294,0.3969405375890642,0.2587711843624909,0.658919267408351,0.0,0.0,0.0,14.666666666666666,14.0,15.0,0.0836801802118619,0.0158939734101295,0.1316723525524139,91.33333333333333,82.0,97.0,15.333333333333334,14.0,16.0,0.2719683609462353,0.1009562133544696,0.6005873565904865,0.9583333333333334,0.875,1.0,0.5659681757291158,0.5182487368583679,0.5995529294013977
SAT,0.35,0.059175387392728464,0.0547516250713204,0.0614429403204941,15.624681109345728,14.39967740184129,16.52815086031423,0.0704247660197789,0.0638098984028554,0.0742672292661046,18.5938405747165,16.78200327995097,19.690038835011332,0.23618900093077685,0.2217452351668803,0.2561630390872654,0.0,0.0,0.0,14.333333333333334,14.0,15.0,0.0973922361930211,0.0912090241909027,0.1038998067378997,95.0,89.0,102.0,15.666666666666666,15.0,16.0,0.028984087126712535,0.0278023351522726,0.0296520608080643,0.9791666666666666,0.9375,1.0,0.5023117661476135,0.4906842112541199,0.5106877088546753
SAT,0.75,0.13965545725250017,0.115436758775756,0.152828244714817,45.11050916523129,37.74782021720454,49.05786667297136,0.1865550133803943,0.1449742068659584,0.2084155742968641,60.24286612849795,47.4065656451684,66.90139934929338,0.22318296491374032,0.1787826691367341,0.2519145755152862,0.0,0.0,0.0,13.333333333333334,12.0,14.0,0.112496664126714,0.0888926535844802,0.1409638971090316,76.33333333333333,73.0,81.0,16.0,16.0,16.0,0.0332206924258382,0.0202530359229713,0.0506915720688218,1.0,1.0,1.0,0.48030011852582294,0.4682556688785553,0.4935446977615356
WAYPOINT_HER,0.0,0.07032717099684223,0.0651205186560199,0.0753638247073984,13.995107047595914,12.958983193239852,14.997401236016074,0.10637048446032911,0.0970465486112796,0.1148931384661499,21.16772640760549,19.31226317364464,22.86373455476383,0.3514445969897027,0.332745102684221,0.3882698838796529,0.0,0.0,0.0,43.0,41.0,45.0,0.032735013713439266,0.0260137356817722,0.0366151705384254,30.666666666666668,29.0,33.0,2.0,2.0,2.0,0.20316001727717461,0.1709837714796711,0.2326817715162789,0.010499338929851798,0.0099206352606415,0.0109126986935734,0.46996237834294635,0.4273676574230194,0.5063660144805908
WAYPOINT_HER,0.35,0.12856944231341985,0.1258404116955992,0.1300162667212965,33.94345056528024,33.09602854018395,34.93009342223175,0.22028033952833367,0.2147527387039597,0.2232774262511453,58.15747329482415,56.4799702791414,60.061627661558084,0.2987701189397458,0.2578540805615419,0.3351523535340971,0.0,0.0,0.0,42.0,37.0,47.0,0.028838011125723467,0.0265875607728958,0.0318655222654342,20.666666666666668,20.0,22.0,1.3333333333333333,1.0,2.0,0.12519467220577307,0.0960481256795618,0.1530582174032335,0.006283068874229933,0.0052083334885537,0.0069444444961845,0.398083617289861,0.3824483454227447,0.4120805561542511
