base,contrast,metric,mean,sd,n
DGP,corridor_minus_open,accessible_coverage_auc,-0.08326622712278331,0.09946542432066499,3
DGP,corridor_minus_open,accessible_coverage_fraction,-0.10511518356809124,0.11696902197117688,3
DGP,corridor_minus_open,coverage_auc,-30.03762883350142,32.56305227224496,3
DGP,intermediate_minus_open,accessible_coverage_auc,-0.04260310073857481,0.0892483759600457,3
DGP,intermediate_minus_open,accessible_coverage_fraction,-0.055065027197669446,0.10648214185217955,3
DGP,intermediate_minus_open,coverage_auc,-17.765620905532582,29.49036577116462,3
SAT,corridor_minus_open,accessible_coverage_auc,-0.1126993013501008,0.015590258623691918,3
SAT,corridor_minus_open,accessible_coverage_fraction,-0.15653970035301504,0.03059846080057969,3
SAT,corridor_minus_open,coverage_auc,-39.746234129790736,5.283860917850478,3
SAT,intermediate_minus_open,accessible_coverage_auc,-0.08048006985977169,0.023347236160417225,3
SAT,intermediate_minus_open,accessible_coverage_fraction,-0.11613024736061538,0.03892403703612155,3
SAT,intermediate_minus_open,coverage_auc,-29.48582805588556,7.233750170153889,3
WAYPOINT_HER,corridor_minus_open,accessible_coverage_auc,-0.0877389976005386,0.005098604179236673,3
WAYPOINT_HER,corridor_minus_open,accessible_coverage_fraction,-0.17223668161664218,0.007066804129916148,3
WAYPOINT_HER,corridor_minus_open,coverage_auc,-37.118135236833226,1.460816686829855,3
WAYPOINT_HER,intermediate_minus_open,accessible_coverage_auc,-0.029496726283961005,0.001999490576295731,3
WAYPOINT_HER,intermediate_minus_open,accessible_coverage_fraction,-0.0583268265486376,0.002788190258028464,3
WAYPOINT_HER,intermediate_minus_open,coverage_auc,-17.169791719148904,0.4291070697296635,3
