base,map_seed,contrast,metric,value
SAT,1001,corridor_minus_open,accessible_coverage_auc,-0.12473097319293082
SAT,1001,corridor_minus_open,coverage_auc,-43.46650966980479
SAT,1001,corridor_minus_open,accessible_coverage_fraction,-0.1782474001393241
SAT,1002,corridor_minus_open,accessible_coverage_auc,-0.09508668490763432
SAT,1002,corridor_minus_open,coverage_auc,-33.6981555019196
SAT,1002,corridor_minus_open,accessible_coverage_fraction,-0.12154361297334695
SAT,1003,corridor_minus_open,accessible_coverage_auc,-0.11828024594973724
SAT,1003,corridor_minus_open,coverage_auc,-42.074037217647806
SAT,1003,corridor_minus_open,accessible_coverage_fraction,-0.16982808794637402
DGP,1001,corridor_minus_open,accessible_coverage_auc,-0.029345529075019253
DGP,1001,corridor_minus_open,coverage_auc,-12.372894083164628
DGP,1001,corridor_minus_open,accessible_coverage_fraction,-0.03980548813163562
DGP,1002,corridor_minus_open,accessible_coverage_auc,-0.1980490640231843
DGP,1002,corridor_minus_open,coverage_auc,-67.6157825596316
DGP,1002,corridor_minus_open,accessible_coverage_fraction,-0.24015525904106752
DGP,1003,corridor_minus_open,accessible_coverage_auc,-0.02240408827014635
DGP,1003,corridor_minus_open,coverage_auc,-10.124209857708031
DGP,1003,corridor_minus_open,accessible_coverage_fraction,-0.03538480353157057
WAYPOINT_HER,1001,corridor_minus_open,accessible_coverage_auc,-0.09105070641134815
WAYPOINT_HER,1001,corridor_minus_open,coverage_auc,-37.171980320127304
WAYPOINT_HER,1001,corridor_minus_open,accessible_coverage_fraction,-0.17486181804645784
WAYPOINT_HER,1002,corridor_minus_open,accessible_coverage_auc,-0.09029861507154748
WAYPOINT_HER,1002,corridor_minus_open,coverage_auc,-38.55128492722621
WAYPOINT_HER,1002,corridor_minus_open,accessible_coverage_fraction,-0.17761524295168635
WAYPOINT_HER,1003,corridor_minus_open,accessible_coverage_auc,-0.08186767131872016
WAYPOINT_HER,1003,corridor_minus_open,coverage_auc,-35.63114046314616
WAYPOINT_HER,1003,corridor_minus_open,accessible_coverage_fraction,-0.16423298385178234
SAT,1001,intermediate_minus_open,accessible_coverage_auc,-0.09807661964349654
SAT,1001,intermediate_minus_open,coverage_auc,-34.65818927113007
SAT,1001,intermediate_minus_open,accessible_coverage_fraction,-0.14460567589400866
SAT,1002,intermediate_minus_open,accessible_coverage_auc,-0.05399381845526194
SAT,1002,intermediate_minus_open,coverage_auc,-21.21966935689031
SAT,1002,intermediate_minus_open,accessible_coverage_fraction,-0.07177703647558167
SAT,1003,intermediate_minus_open,accessible_coverage_auc,-0.08936977148055658
SAT,1003,intermediate_minus_open,coverage_auc,-32.57962553963629
SAT,1003,intermediate_minus_open,accessible_coverage_fraction,-0.13200802971225578
DGP,1001,intermediate_minus_open,accessible_coverage_auc,-0.012565043176326784
DGP,1001,intermediate_minus_open,coverage_auc,-6.410522480666778
DGP,1001,intermediate_minus_open,accessible_coverage_fraction,-0.017566833587033384
DGP,1002,intermediate_minus_open,accessible_coverage_auc,-0.14299518694955177
DGP,1002,intermediate_minus_open,coverage_auc,-51.245651628404175
DGP,1002,intermediate_minus_open,accessible_coverage_fraction,-0.17522349556391437
DGP,1003,intermediate_minus_open,accessible_coverage_auc,0.02775092791015412
DGP,1003,intermediate_minus_open,coverage_auc,4.359311392473213
DGP,1003,intermediate_minus_open,accessible_coverage_fraction,0.027595247557939406
WAYPOINT_HER,1001,intermediate_minus_open,accessible_coverage_auc,-0.030330813371768933
WAYPOINT_HER,1001,intermediate_minus_open,coverage_auc,-17.034934973183205
WAYPOINT_HER,1001,intermediate_minus_open,accessible_coverage_fraction,-0.05715562795377771
WAYPOINT_HER,1002,intermediate_minus_open,accessible_coverage_auc,-0.030944136175292014
WAYPOINT_HER,1002,intermediate_minus_open,coverage_auc,-17.650128218526277
WAYPOINT_HER,1002,intermediate_minus_open,accessible_coverage_fraction,-0.061509583004098894
WAYPOINT_HER,1003,intermediate_minus_open,accessible_coverage_auc,-0.027215229304822064
WAYPOINT_HER,1003,intermediate_minus_open,coverage_auc,-16.82431196573723
WAYPOINT_HER,1003,intermediate_minus_open,accessible_coverage_fraction,-0.056315268688036185
