base,openness,policy_id,target_env_steps,valid_sample_count__mean,valid_sample_count__sd,valid_sample_count__n,in_bounds_fraction__mean,in_bounds_fraction__sd,in_bounds_fraction__n,visited_cell_fraction__mean,visited_cell_fraction__sd,visited_cell_fraction__n,active_unit_fraction__mean,active_unit_fraction__sd,active_unit_fraction__n,silent_unit_fraction__mean,silent_unit_fraction__sd,silent_unit_fraction__n,active_unit_mean_spatial_information__mean,active_unit_mean_spatial_information__sd,active_unit_mean_spatial_information__n,active_only_map_cosine__mean,active_only_map_cosine__sd,active_only_map_cosine__n,unique_active_peak_bins__mean,unique_active_peak_bins__sd,unique_active_peak_bins__n,mean_physical_step_distance__mean,mean_physical_step_distance__sd,mean_physical_step_distance__n,stationary_step_fraction__mean,stationary_step_fraction__sd,stationary_step_fraction__n,path_efficiency__mean,path_efficiency__sd,path_efficiency__n,mean_absolute_circular_yaw_change__mean,mean_absolute_circular_yaw_change__sd,mean_absolute_circular_yaw_change__n,mono_field_unit_fraction__mean,mono_field_unit_fraction__sd,mono_field_unit_fraction__n,mean_primary_secondary_peak_distance__mean,mean_primary_secondary_peak_distance__sd,mean_primary_secondary_peak_distance__n,median_dominant_peak_nearest_neighbor_distance__mean,median_dominant_peak_nearest_neighbor_distance__sd,median_dominant_peak_nearest_neighbor_distance__n,graph_reliable_global_efficiency__mean,graph_reliable_global_efficiency__sd,graph_reliable_global_efficiency__n,graph_grounded_controllability__mean,graph_grounded_controllability__sd,graph_grounded_controllability__n
DGP,0.0,0,100000000,100000.0,0.0,3,1.0,0.0,3,0.41735918744228995,0.004231371832830867,3,1.0,0.0,3,0.0,0.0,3,0.05560658313333988,0.05742425970880855,3,0.4969821949008017,0.20917132762608895,3,12.666666666666666,2.309401076758503,3,9.226457436879477,3.787450345839552,3,0.32886180956557803,0.17457579109580115,3,0.2552446160886475,0.030638401544530944,3,8.446338017781576,0.0012043982858238327,3,0.0,0.0,3,1187.9386393229167,97.98121811898645,3,170.60113525390625,61.42654410960474,3,0.8642360965410868,0.07158253893966887,3,0.0,0.0,3
DGP,0.0,0,25000000,100000.0,0.0,3,1.0,0.0,3,0.4284395198522622,0.03507556770678224,3,1.0,0.0,3,0.0,0.0,3,0.06986573959390323,0.03175444116773534,3,0.38757314038688523,0.09615294498925353,3,14.333333333333334,1.1547005383792515,3,11.759658813476562,2.7079341119744895,3,0.20768796544611856,0.15089908975993352,3,0.2313148966887771,0.01788551890685985,3,8.435460090637207,0.003834123856144766,3,0.0,0.0,3,1045.2276204427083,115.04347807632541,3,100.0,100.0,3,0.8745370308558146,0.07258964825513081,3,0.0,0.0,3
DGP,0.0,0,5000000,100000.0,0.0,3,1.0,0.0,3,0.45706371191135736,0.004797924674706018,3,1.0,0.0,3,0.0,0.0,3,0.06629391511281331,0.01689187516522523,3,0.32593268374638223,0.03172717239719481,3,15.333333333333334,0.5773502691896257,3,13.409751574198404,2.269099336110868,3,0.1310361754566091,0.07045234701986308,3,0.22751562317439786,0.014295426679730248,3,8.370803197224935,0.06671002711151448,3,0.0,0.0,3,1149.13818359375,30.323474577608202,3,203.9344685872396,6.8146994938827,3,0.8326388796170553,0.05645539043334007,3,0.0,0.0,3
DGP,0.0,0,50000000,100000.0,0.0,3,1.0,0.0,3,0.43490304709141275,0.030846339960277146,3,1.0,0.0,3,0.0,0.0,3,0.0549968301008145,0.05146458089796769,3,0.4899011063153793,0.17922141230843258,3,15.0,1.0,3,9.962258497873941,3.693427225843908,3,0.34246810265362465,0.16399198952882163,3,0.24092164396617824,0.042667907912189565,3,8.446051915486654,0.0003942337057787794,3,0.0,0.0,3,1142.19677734375,209.9699622233999,3,221.6760508219401,20.77806585944645,3,0.9083333214124044,0.04690970963637112,3,0.0,0.0,3
DGP,0.0,0,75000000,100000.0,0.0,3,1.0,0.0,3,0.4469067405355494,0.010487365366205486,3,1.0,0.0,3,0.0,0.0,3,0.05505200723807017,0.05374872522680569,3,0.4936748979174612,0.19472749013953303,3,13.0,1.7320508075688772,3,10.164400259653727,3.8099636429463146,3,0.3369454052230703,0.1588999941365036,3,0.2522118287634826,0.02040201347156047,3,8.445277531941732,0.001171891644685808,3,0.0,0.0,3,1323.3040771484375,239.48454083707423,3,188.34271748860678,42.31466431710938,3,0.9097222089767456,0.035863204343133115,3,0.0,0.0,3
DGP,0.35,0,100000000,100000.0,0.0,3,1.0,0.0,3,0.6925207756232687,0.02996302999000544,3,1.0,0.0,3,0.0,0.0,3,0.070293673624595,0.0211486576132018,3,0.31376759511083585,0.05285600818657916,3,15.0,1.7320508075688772,3,13.809093475341797,3.4702050574734127,3,0.14103371715762125,0.18397764693434607,3,0.2854114163790942,0.1094640147518281,3,8.438009262084961,0.013129138094129042,3,0.0,0.0,3,1144.4345296223958,90.49875757746466,3,155.00938415527344,59.40710152058902,3,0.875,0.06525190483342098,3,0.0,0.0,3
DGP,0.35,0,25000000,100000.0,0.0,3,1.0,0.0,3,0.7109879963065558,0.021156859164154353,3,1.0,0.0,3,0.0,0.0,3,0.0680354783932368,0.0251326948104965,3,0.3229559731315643,0.0757495287465492,3,14.666666666666666,0.5773502691896257,3,14.326987902323404,2.505139711463954,3,0.11204750253071709,0.13286287812624417,3,0.23390527789428392,0.03187547101748843,3,8.425185521443685,0.0009934669987328557,3,0.0,0.0,3,1081.6396484375,123.69607151009201,3,201.07492065429688,51.62077548219935,3,0.8923611044883728,0.030214305585121226,3,0.0,0.0,3
DGP,0.35,0,5000000,100000.0,0.0,3,1.0,0.0,3,0.7026777469990767,0.04347648150320796,3,1.0,0.0,3,0.0,0.0,3,0.045859171698490776,0.019991276657030196,3,0.3281453082527373,0.0831848297771323,3,15.333333333333334,0.5773502691896257,3,13.368754069010416,2.3350137137146967,3,0.06870392395665575,0.04476200945441524,3,0.23136285306212925,0.026243198569249948,3,7.436013857523601,1.2728589557474081,3,0.0,0.0,3,1105.454325358073,99.60728930844718,3,235.48316955566406,42.67920959266961,3,0.7856481472651163,0.044216442379245005,3,0.0,0.0,3
DGP,0.35,0,50000000,100000.0,0.0,3,1.0,0.0,3,0.69067405355494,0.04776552966344436,3,1.0,0.0,3,0.0,0.0,3,0.06485809137423833,0.026328994835606256,3,0.32469523305789944,0.04467739484972441,3,15.0,1.0,3,14.669254620869955,2.16989175931798,3,0.09748233425501152,0.1184821756826953,3,0.23051747595751867,0.012688182450555365,3,8.442132631937662,0.0011324633880027627,3,0.0,0.0,3,1288.9786376953125,76.19835132891878,3,274.5355987548828,44.10563674086315,3,0.8847222328186035,0.055525174219743366,3,0.0,0.0,3
DGP,0.35,0,75000000,100000.0,0.0,3,1.0,0.0,3,0.6629732225300092,0.052728685264152295,3,1.0,0.0,3,0.0,0.0,3,0.06696643680334091,0.02392381527239924,3,0.3379799204717453,0.07153732626556676,3,14.0,0.0,3,14.775582949320475,1.9148086569554734,3,0.09315761861776668,0.10915968288677735,3,0.23238707860617644,0.015380976831915057,3,8.444018999735514,0.000667217932754144,3,0.0,0.0,3,1123.7402750651042,63.83240536287019,3,207.86893208821616,13.629390178099428,3,0.8812499841054281,0.017800004779729435,3,0.0,0.0,3
