run_name,base,map_seed,openness,mean_traversable_components,single_traversable_component_fraction,active_units
COR_DGP_Q000_M1001_S99,DGP,1001,0.0,16.6875,0.0625,16
COR_DGP_Q000_M1002_S99,DGP,1002,0.0,15.5625,0.125,16
COR_DGP_Q000_M1003_S99,DGP,1003,0.0,14.25,0.0625,16
COR_DGP_Q035_M1001_S99,DGP,1001,0.35,12.4375,0.125,16
COR_DGP_Q035_M1002_S99,DGP,1002,0.35,10.4375,0.0,16
COR_DGP_Q035_M1003_S99,DGP,1003,0.35,10.0,0.0,16
COR_DGP_Q075_M1001_S99,DGP,1001,0.75,9.9375,0.0625,16
COR_DGP_Q075_M1002_S99,DGP,1002,0.75,8.3125,0.0625,16
COR_DGP_Q075_M1003_S99,DGP,1003,0.75,14.5,0.125,16
COR_SAT_Q000_M1001_S99,SAT,1001,0.0,19.0,0.0,16
COR_SAT_Q000_M1002_S99,SAT,1002,0.0,15.8125,0.0,16
COR_SAT_Q000_M1003_S99,SAT,1003,0.0,11.125,0.0625,16
COR_SAT_Q035_M1001_S99,SAT,1001,0.35,9.875,0.0625,16
COR_SAT_Q035_M1002_S99,SAT,1002,0.35,12.3125,0.0,16
COR_SAT_Q035_M1003_S99,SAT,1003,0.35,11.5,0.0625,16
COR_SAT_Q075_M1001_S99,SAT,1001,0.75,6.0625,0.25,16
COR_SAT_Q075_M1002_S99,SAT,1002,0.75,10.6875,0.0625,16
COR_SAT_Q075_M1003_S99,SAT,1003,0.75,13.625,0.0,16
COR_WAYPOINT_HER_Q000_M1001_S99,WAYPOINT_HER,1001,0.0,9.09375,0.03125,64
COR_WAYPOINT_HER_Q000_M1002_S99,WAYPOINT_HER,1002,0.0,8.765625,0.140625,64
COR_WAYPOINT_HER_Q000_M1003_S99,WAYPOINT_HER,1003,0.0,7.0,0.15625,64
COR_WAYPOINT_HER_Q035_M1001_S99,WAYPOINT_HER,1001,0.35,8.125,0.203125,64
COR_WAYPOINT_HER_Q035_M1002_S99,WAYPOINT_HER,1002,0.35,11.53125,0.0625,64
COR_WAYPOINT_HER_Q035_M1003_S99,WAYPOINT_HER,1003,0.35,11.828125,0.03125,64
COR_WAYPOINT_HER_Q075_M1001_S99,WAYPOINT_HER,1001,0.75,8.765625,0.046875,64
COR_WAYPOINT_HER_Q075_M1002_S99,WAYPOINT_HER,1002,0.75,8.65,0.016666666666666666,60
COR_WAYPOINT_HER_Q075_M1003_S99,WAYPOINT_HER,1003,0.75,7.828125,0.15625,64
