source,repeat,prefix_seed,command,target,initial_action_probabilities,commanded,deadline,hit,hit_time,first_distinct,censored,timeout,elapsed,path_length,start_position,endpoint,exact_start_verified
15,0,31000,0,0,"[0.09184644371271133, 0.12626729905605316, 0.1258135586977005, 0.11269012093544006, 0.1347830891609192, 0.10892634093761444, 0.14380280673503876, 0.15587027370929718]",True,64,True,14.0,0,False,False,64,608.035682819052,"[1758.4569091796875, 1573.928466796875, 25.125]","[1949.9923095703125, 1572.5091552734375, 25.125]",True
15,0,31000,0,1,"[0.09184644371271133, 0.12626729905605316, 0.1258135586977005, 0.11269012093544006, 0.1347830891609192, 0.10892634093761444, 0.14380280673503876, 0.15587027370929718]",False,64,True,22.0,0,False,False,64,608.035682819052,"[1758.4569091796875, 1573.928466796875, 25.125]","[1949.9923095703125, 1572.5091552734375, 25.125]",True
15,0,31000,0,2,"[0.09184644371271133, 0.12626729905605316, 0.1258135586977005, 0.11269012093544006, 0.1347830891609192, 0.10892634093761444, 0.14380280673503876, 0.15587027370929718]",False,64,False,,0,False,True,64,608.035682819052,"[1758.4569091796875, 1573.928466796875, 25.125]","[1949.9923095703125, 1572.5091552734375, 25.125]",True
15,0,31000,0,3,"[0.09184644371271133, 0.12626729905605316, 0.1258135586977005, 0.11269012093544006, 0.1347830891609192, 0.10892634093761444, 0.14380280673503876, 0.15587027370929718]",False,64,True,36.0,0,False,False,64,608.035682819052,"[1758.4569091796875, 1573.928466796875, 25.125]","[1949.9923095703125, 1572.5091552734375, 25.125]",True
15,0,31000,1,0,"[0.09205644577741623, 0.12575800716876984, 0.1265949159860611, 0.11400274932384491, 0.13433200120925903, 0.10902520269155502, 0.142178013920784, 0.15605267882347107]",False,64,True,14.0,0,False,False,64,668.3268218727036,"[1758.4569091796875, 1573.928466796875, 25.125]","[1938.41015625, 1521.9727783203125, 25.125]",True
15,0,31000,1,1,"[0.09205644577741623, 0.12575800716876984, 0.1265949159860611, 0.11400274932384491, 0.13433200120925903, 0.10902520269155502, 0.142178013920784, 0.15605267882347107]",True,64,True,22.0,0,False,False,64,668.3268218727036,"[1758.4569091796875, 1573.928466796875, 25.125]","[1938.41015625, 1521.9727783203125, 25.125]",True
15,0,31000,1,2,"[0.09205644577741623, 0.12575800716876984, 0.1265949159860611, 0.11400274932384491, 0.13433200120925903, 0.10902520269155502, 0.142178013920784, 0.15605267882347107]",False,64,True,37.0,0,False,False,64,668.3268218727036,"[1758.4569091796875, 1573.928466796875, 25.125]","[1938.41015625, 1521.9727783203125, 25.125]",True
15,0,31000,1,3,"[0.09205644577741623, 0.12575800716876984, 0.1265949159860611, 0.11400274932384491, 0.13433200120925903, 0.10902520269155502, 0.142178013920784, 0.15605267882347107]",False,64,True,44.0,0,False,False,64,668.3268218727036,"[1758.4569091796875, 1573.928466796875, 25.125]","[1938.41015625, 1521.9727783203125, 25.125]",True
15,0,31000,2,0,"[0.09199982136487961, 0.12636049091815948, 0.12480071932077408, 0.11297661811113358, 0.13442561030387878, 0.10934942215681076, 0.14416185021400452, 0.1559254676103592]",False,64,True,14.0,0,False,False,64,608.035682819052,"[1758.4569091796875, 1573.928466796875, 25.125]","[1949.9923095703125, 1572.5091552734375, 25.125]",True
15,0,31000,2,1,"[0.09199982136487961, 0.12636049091815948, 0.12480071932077408, 0.11297661811113358, 0.13442561030387878, 0.10934942215681076, 0.14416185021400452, 0.1559254676103592]",False,64,True,22.0,0,False,False,64,608.035682819052,"[1758.4569091796875, 1573.928466796875, 25.125]","[1949.9923095703125, 1572.5091552734375, 25.125]",True
15,0,31000,2,2,"[0.09199982136487961, 0.12636049091815948, 0.12480071932077408, 0.11297661811113358, 0.13442561030387878, 0.10934942215681076, 0.14416185021400452, 0.1559254676103592]",True,64,False,,0,False,True,64,608.035682819052,"[1758.4569091796875, 1573.928466796875, 25.125]","[1949.9923095703125, 1572.5091552734375, 25.125]",True
15,0,31000,2,3,"[0.09199982136487961, 0.12636049091815948, 0.12480071932077408, 0.11297661811113358, 0.13442561030387878, 0.10934942215681076, 0.14416185021400452, 0.1559254676103592]",False,64,True,36.0,0,False,False,64,608.035682819052,"[1758.4569091796875, 1573.928466796875, 25.125]","[1949.9923095703125, 1572.5091552734375, 25.125]",True
15,0,31000,3,0,"[0.09130397439002991, 0.12609745562076569, 0.12560208141803741, 0.11357595026493073, 0.13416869938373566, 0.10952898859977722, 0.14316190779209137, 0.15656094253063202]",False,64,True,14.0,0,False,False,64,608.035682819052,"[1758.4569091796875, 1573.928466796875, 25.125]","[1949.9923095703125, 1572.5091552734375, 25.125]",True
15,0,31000,3,1,"[0.09130397439002991, 0.12609745562076569, 0.12560208141803741, 0.11357595026493073, 0.13416869938373566, 0.10952898859977722, 0.14316190779209137, 0.15656094253063202]",False,64,True,22.0,0,False,False,64,608.035682819052,"[1758.4569091796875, 1573.928466796875, 25.125]","[1949.9923095703125, 1572.5091552734375, 25.125]",True
15,0,31000,3,2,"[0.09130397439002991, 0.12609745562076569, 0.12560208141803741, 0.11357595026493073, 0.13416869938373566, 0.10952898859977722, 0.14316190779209137, 0.15656094253063202]",False,64,False,,0,False,True,64,608.035682819052,"[1758.4569091796875, 1573.928466796875, 25.125]","[1949.9923095703125, 1572.5091552734375, 25.125]",True
15,0,31000,3,3,"[0.09130397439002991, 0.12609745562076569, 0.12560208141803741, 0.11357595026493073, 0.13416869938373566, 0.10952898859977722, 0.14316190779209137, 0.15656094253063202]",True,64,True,36.0,0,False,False,64,608.035682819052,"[1758.4569091796875, 1573.928466796875, 25.125]","[1949.9923095703125, 1572.5091552734375, 25.125]",True
