backbone,redundancy_max_steps,half_life_k,coverage_auc__mean,unique_cells__mean,coverage_entropy__mean,dg_density__mean,dg_silent_fraction__mean,dg_usage_entropy__mean,dg_behavior_event_fraction__mean,target_hit_lift__mean,action_sensitivity__mean,option_success_fraction__mean,known_edge_fraction__mean,node_coverage_fraction__mean,connected_fraction__mean,isolated_fraction__mean,redundant_pair_count__mean,eligible_vertex_count__mean,birth_protected_count__mean,isolated_assignments_per_rollout__mean,redundant_assignments_per_rollout__mean,repeat_assignments_per_rollout__mean,passive_graph_density__mean,passive_updates_per_rollout__mean,passive_stale_per_rollout__mean,passive_over_gap_per_rollout__mean,exploration_selection_fraction__mean,forced_exploration_fraction__mean,frontier_selection_rate__mean,frontier_yield__mean,frontier_reached_fraction__mean,recruitment_total__mean,repeat_total__mean,tiny_residual_total__mean,coverage_auc__sd,unique_cells__sd,coverage_entropy__sd,dg_density__sd,dg_silent_fraction__sd,dg_usage_entropy__sd,dg_behavior_event_fraction__sd,target_hit_lift__sd,action_sensitivity__sd,option_success_fraction__sd,known_edge_fraction__sd,node_coverage_fraction__sd,connected_fraction__sd,isolated_fraction__sd,redundant_pair_count__sd,eligible_vertex_count__sd,birth_protected_count__sd,isolated_assignments_per_rollout__sd,redundant_assignments_per_rollout__sd,repeat_assignments_per_rollout__sd,passive_graph_density__sd,passive_updates_per_rollout__sd,passive_stale_per_rollout__sd,passive_over_gap_per_rollout__sd,exploration_selection_fraction__sd,forced_exploration_fraction__sd,frontier_selection_rate__sd,frontier_yield__sd,frontier_reached_fraction__sd,recruitment_total__sd,repeat_total__sd,tiny_residual_total__sd,coverage_auc__n,unique_cells__n,coverage_entropy__n,dg_density__n,dg_silent_fraction__n,dg_usage_entropy__n,dg_behavior_event_fraction__n,target_hit_lift__n,action_sensitivity__n,option_success_fraction__n,known_edge_fraction__n,node_coverage_fraction__n,connected_fraction__n,isolated_fraction__n,redundant_pair_count__n,eligible_vertex_count__n,birth_protected_count__n,isolated_assignments_per_rollout__n,redundant_assignments_per_rollout__n,repeat_assignments_per_rollout__n,passive_graph_density__n,passive_updates_per_rollout__n,passive_stale_per_rollout__n,passive_over_gap_per_rollout__n,exploration_selection_fraction__n,forced_exploration_fraction__n,frontier_selection_rate__n,frontier_yield__n,frontier_reached_fraction__n,recruitment_total__n,repeat_total__n,tiny_residual_total__n
C05,4,5,49.266905410632866,72.45003436891187,3.23253248218397,0.02726301708805774,0.0,0.9703878701173148,0.29158700213733174,0.9747375587867211,0.021527001349936542,0.22563412041079678,0.15642809978049604,1.0,1.0,0.0,0.50059318377912,0.3038718723037101,0.0,0.0,0.0,0.0,0.9031237907380562,1326.0856808183455,0.0,0.0,0.0,0.0,,,,0.6666666666666666,0.0,0.0,12.610952446312476,26.821053079829827,0.7286947915657824,0.00279861443681384,0.0,0.004697908817643327,0.02653453470329177,0.04591831089446728,0.013532291145730214,0.1159261134490189,0.004211972836960108,0.0,0.0,0.0,0.8302941999885046,0.4897544991523186,0.0,0.0,0.0,0.0,0.022020744168383944,114.89980866223365,0.0,0.0,0.0,0.0,,,,1.1547005383792517,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C05,4,10,51.88993573132948,77.0555928398931,2.8635221770513914,0.025387356450648907,0.0,0.9709501437802133,0.2726439762636612,1.149972808882187,0.015471076477850822,0.11507028854284129,0.17972222190411366,1.0,1.0,0.0,0.35737704918032787,0.35737704918032787,0.0,0.0,0.0,0.0,0.9048224049839165,1281.3639344262294,0.0,0.013114754098360657,0.0,0.0,,,,1.0,0.0,0.0,16.753780737921865,30.060020413778954,0.330076285739774,0.0020147675117692023,0.0,0.003538970819039729,0.028718353074027734,0.14583989016293433,0.009048860118954711,0.027978369917040048,0.03735485832314236,0.0,0.0,0.0,0.5576951840401098,0.5576951840401098,0.0,0.0,0.0,0.0,0.015871926502880794,124.78074685762923,0.0,0.02271542042713282,0.0,0.0,,,,1.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C05,8,5,44.27608018238997,59.95009909190785,2.5739684672087573,0.02656493473574112,0.0,0.968876987076848,0.2903224257172131,1.0021825942836824,0.023354576475144734,0.3404419978826098,0.15826958154068618,0.9994535519125683,0.9987704918032788,0.0012295081967213116,3.408743169398907,2.5038251366120217,0.10491803278688526,0.0,0.0032786885245901644,0.0,0.8249726778171101,1358.9027322404372,4.81639344262295,0.0,0.0,0.0,,,,1.0,0.0,0.0,10.125451161005618,14.076137500138753,0.7677660748459169,0.0035120897641131117,0.0,0.004137104938486565,0.006310225223448189,0.025479563638344572,0.011922016323512174,0.07994691191646006,0.011608463694483087,0.0009464758511305383,0.002129570665043675,0.0021295706650437014,3.054710890122692,2.182090581265216,0.18172336341706255,0.0,0.005678855106783205,0.0,0.0807746925385933,115.73779995042457,8.342238151864526,0.0,0.0,0.0,,,,1.7320508075688772,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C05,8,10,58.98617332715588,94.2363779594873,3.6757955471867034,0.028185434810450816,0.0,0.9715863345750694,0.2916383837090164,0.885498372029737,0.013193538848341244,0.20810927678652802,0.17819216734236054,0.9995218579234972,0.9995901639344261,0.00040983606557377055,2.016393442622951,1.628415300546448,0.13114754098360656,0.0,0.002185792349726776,0.001092896174863388,0.9370355243891315,1300.9628415300547,2.5475409836065572,0.0,0.0,0.0,,,,5.0,2.0,0.0,19.245249705100708,35.51563948012871,0.4806857201739,0.0011903294588196478,0.0,0.005794601614917757,0.055167720402628406,0.038879419937157766,0.008385600718359441,0.07416861035070192,0.0075198244063317,0.0008281663697392471,0.0007098568883478917,0.0007098568883479006,0.857118413800254,0.3222190817006681,0.22715420427132815,0.0,0.0037859034045221365,0.0018929517022610682,0.03259703052883392,216.5537873477524,4.41247041797055,0.0,0.0,0.0,,,,8.660254037844387,3.4641016151377544,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C13,4,5,44.98285263423742,65.21945886954838,3.1897608566621045,0.026208515874365346,0.0,0.9766936348084049,0.3453467036056687,0.9622627628069443,0.009071881846185988,0.5657345243150139,0.09809846584799398,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8739176761311281,1449.3786310519945,0.0,0.0,0.3472324954556229,0.7827577996006806,,,,0.0,0.0,0.0,21.461089700715302,38.172734945180245,0.6963970725821322,0.0006495912697069014,0.0,0.001045923995386795,0.03475705516291321,0.0991035550264523,0.0018838789153205046,0.022316777070013276,0.039125466957513455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07164592436769278,123.08419452308397,0.0,0.0,0.00859874533761967,0.012672569104955783,,,,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C13,4,10,24.419883971489373,28.61516373405965,2.481365805398425,0.026766984449709697,0.0,0.9737264802547102,0.3843733990778689,0.9268891987904825,0.008452166570096068,0.6003385655989087,0.121980873124847,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8554781413469158,1585.1475409836066,0.0,0.0,0.33222566440782914,0.7672381942389442,,,,0.0,0.0,0.0,7.271669903008208,8.231027234759878,0.09590242937138241,0.0006488653989475507,0.0,0.0018101309906199585,0.018160102798612836,0.059926706868044195,0.0012227460922915304,0.08108262404090462,0.016398685182281672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06370726668326189,76.07579432466326,0.0,0.0,0.03362603430355563,0.035405293532939815,,,,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C13,8,5,32.94577037544522,43.164806070952864,2.7796695290462705,0.025524201940317626,0.0,0.9744156165852572,0.35143549351092895,0.9147790199420491,0.00982713759647774,0.43661563621192684,0.08128870904771357,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8527049194268189,1451.3661202185792,0.0,0.0,0.3979880107067973,0.8251653000305259,,,,0.0,0.0,0.0,3.2081802518787583,6.170082778544955,0.16323881594187983,0.00067148219915207,0.0,0.004323238301586875,0.01984533593427842,0.030320812819256093,0.0034462025714191926,0.05147038070991307,0.02532611429216603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051355478731850916,77.52027993337977,0.0,0.0,0.018976620188643385,0.012232291585657968,,,,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C13,8,10,30.058355969914732,37.86914689876287,2.7169896499867754,0.0259307027514515,0.0,0.9761315722934535,0.35181491205601095,0.9615647218266471,0.006938341742411988,0.6792762363298994,0.12966302165079638,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896420763620262,1443.6382513661201,0.0,0.0,0.29519927391751866,0.719291225824851,,,,0.0,0.0,0.0,5.0642053609475735,6.486627559919455,0.06668203765285871,0.000999234987452931,0.0,0.001564132925594256,0.029652349090359503,0.08024804330877096,0.0016889380558038614,0.0947287519807975,0.013084138458746099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07515314677109954,118.09036584354101,0.0,0.0,0.04500587688044632,0.06183886124308797,,,,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C15,4,5,55.421172303544495,84.8527396908658,3.7329397504754334,0.028049756659836066,0.0,0.9783928778002172,0.3452431267076503,0.9116219597436039,0.002158212450637019,0.4062789235121566,0.9660610195066108,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9255418903840695,1474.5759562841529,0.0,0.0,0.0354302487829751,0.4130095260553673,0.010463093408469945,0.4524989200982436,0.0004604772394879268,0.0,0.0,0.0,5.589909403364466,14.600196709322079,0.30493864332281834,0.0006425491565553955,0.0,0.00040980610330044375,0.004528296000197771,0.010689673514592836,0.000691698112438333,0.020092929603402553,0.014732778129828168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04044423385089203,26.225182908403756,0.0,0.0,0.012812747426458234,0.09602649607093815,0.001622558339524096,0.5067238476483003,0.00011253017716829099,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C15,4,10,62.73724331355603,100.40657833933926,3.9958796590600376,0.028285125565659153,0.0,0.9776535490171505,0.3377854977800547,0.9106975470735726,0.0024906546838360183,0.4108300652823162,0.9871630359217117,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.949776866527203,1478.287431693989,0.0,0.0,0.06467805912087117,0.6146996480845363,0.01816139429644809,0.17098986804809355,0.0012385654146146905,0.0,0.0,0.0,12.53289988230895,26.099114747788825,0.33052306208471455,0.0014579789427383763,0.0,0.0020049458671069957,0.03982295604344741,0.014780572139304636,0.0010218374975008708,0.022761379934203088,0.005446847062358441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01777145862421907,144.4323830524491,0.0,0.0,0.014736952121802583,0.08041689550548542,0.002038301031745748,0.29520733274740346,0.00026237434199365237,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
