backbone,metric,effect,mean,sd,n,seed_8,seed_99,seed_123
C05,coverage_auc,D8_minus_D4,1.0527061837917486,8.243389873104887,3,2.7183364823798186,8.33609294064367,-7.896310871648243
C05,coverage_auc,H10k_minus_H5k,8.666561732731262,12.242177559659314,3,-2.4793855583029014,21.769263503575463,6.709807252921227
C05,coverage_auc,interaction,12.087062824069307,33.40366333741484,3,50.47666621920354,-3.869917424965429,-10.345560322030188
C05,unique_cells,D8_minus_D4,2.340424921295085,13.780353007095455,3,6.382778657562859,13.647513551842046,-13.00901744551965
C05,unique_cells,H10k_minus_H5k,19.445918669280328,26.334852102357782,3,-5.377734151677679,47.06840353761269,16.647086621905974
C05,unique_cells,interaction,29.68072039659822,61.15355682045397,3,99.22897525662655,5.491379040752108,-15.678193107584
C05,coverage_entropy,D8_minus_D4,0.07685467758004975,0.2776071605799266,3,0.040953025782282326,0.37066604642390244,-0.18105503946603552
C05,coverage_entropy,H10k_minus_H5k,0.3664083874226838,0.7560515608844,3,-0.5035699158923841,0.7384112188470571,0.8643838593133784
C05,coverage_entropy,interaction,1.4708373851105254,0.3181490693171797,3,1.819496840041403,1.196276581262235,1.396738734027938
C05,dg_density,D8_minus_D4,0.0010499980037426485,0.0007098386243978775,3,0.0012531081389722584,0.00026074345422289966,0.0016361424180327874
C05,dg_density,H10k_minus_H5k,-0.000127580281349565,0.002166485635131209,3,-0.0024146044634867584,0.0018938841432597844,0.00013797947617827898
C05,dg_density,interaction,0.003496160712118529,0.0011875333526280823,3,0.0021360576718505615,0.004025131944013223,0.004327292520491802
C05,dg_silent_fraction,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C05,dg_silent_fraction,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C05,dg_silent_fraction,interaction,0.0,0.0,3,0.0,0.0,0.0
C05,dg_usage_entropy,D8_minus_D4,-0.00043734612280534507,0.005558760258611085,3,-0.006565995977241668,0.004279114947108753,0.0009748426617168793
C05,dg_usage_entropy,H10k_minus_H5k,0.0016358105805599672,0.005229477054937331,3,-0.0010534772117452573,-0.0017017702771554566,0.007662679230580616
C05,dg_usage_entropy,interaction,0.002147073835323051,0.007194893226753942,3,-0.0050685642221243166,0.00932104122219557,0.0021887445058978994
C05,dg_behavior_event_fraction,D8_minus_D4,0.008864915512618263,0.04004145872154397,3,-0.03647937001186369,0.02371144365012834,0.03936267289959014
C05,dg_behavior_event_fraction,H10k_minus_H5k,-0.00881353394093364,0.037711578209739485,3,-0.032376206589732504,-0.02874597182118316,0.03468157658811474
C05,dg_behavior_event_fraction,interaction,0.020258983865473812,0.06689307839684949,3,-0.04203869850086284,0.09095441802761217,0.0118612320696721
C05,target_hit_lift,D8_minus_D4,-0.11851470067774433,0.06357325326749858,3,-0.08147178129441685,-0.19192172426086995,-0.0821505964779462
C05,target_hit_lift,H10k_minus_H5k,0.02927551392076024,0.1037550757860372,3,0.004504552011067198,0.1431741237600901,-0.05985213400887657
C05,target_hit_lift,interaction,-0.29191947234941124,0.1048087850383233,3,-0.2927652098437751,-0.39630282940622164,-0.18669037779823694
C05,action_sensitivity,D8_minus_D4,-0.00022498125215068975,0.004329494710720767,3,0.004023358523640767,-6.69961689214859e-05,-0.004631306111171351
C05,action_sensitivity,H10k_minus_H5k,-0.008108481249444605,0.004195499818152077,3,-0.006561835548266726,-0.004905859680101961,-0.012857748519965129
C05,action_sensitivity,interaction,-0.004105112754717774,0.03881190246087105,3,-0.04642178463449057,0.029833607897566877,0.004272838472770374
C05,option_success_fraction,D8_minus_D4,0.10392343285774985,0.045736373337370496,3,0.09860185596513754,0.06108063396649169,0.15208780864162036
C05,option_success_fraction,H10k_minus_H5k,-0.12144827648201865,0.04951977327129436,3,-0.07054566679459315,-0.12434074292262184,-0.16945841972884096
C05,option_success_fraction,interaction,-0.02176888922812631,0.22073053797059305,3,-0.24377291110638333,0.19766573255845993,-0.019199489136455528
C05,known_edge_fraction,D8_minus_D4,0.0001557135992185238,0.0218793276718825,3,0.00927833776970853,0.015997545280476685,-0.024808742252529645
C05,known_edge_fraction,H10k_minus_H5k,0.02160835396264599,0.024604937787681334,3,0.005125332015347164,0.00980902028969137,0.04989070958289944
C05,known_edge_fraction,interaction,-0.0033715363219432117,0.032630496561935875,3,0.019148238536012246,0.011529503433312355,-0.04079235093515424
C05,node_coverage_fraction,D8_minus_D4,-0.0005122950819672067,0.000446608498313588,3,-0.0007172131147540894,0.0,-0.0008196721311475308
C05,node_coverage_fraction,H10k_minus_H5k,3.415300546448045e-05,0.0007690116290435493,3,-0.0007172131147540894,0.0,0.0008196721311475308
