backbone,redundancy_max_steps,half_life_k,seed,run,max_step,window_low,window_high,event_file,coverage_auc,coverage_auc__n,unique_cells,unique_cells__n,coverage_entropy,coverage_entropy__n,dg_density,dg_density__n,dg_silent_fraction,dg_silent_fraction__n,dg_usage_entropy,dg_usage_entropy__n,dg_behavior_event_fraction,dg_behavior_event_fraction__n,target_hit_lift,target_hit_lift__n,action_sensitivity,action_sensitivity__n,option_success_fraction,option_success_fraction__n,known_edge_fraction,known_edge_fraction__n,node_coverage_fraction,node_coverage_fraction__n,connected_fraction,connected_fraction__n,isolated_fraction,isolated_fraction__n,redundant_pair_count,redundant_pair_count__n,eligible_vertex_count,eligible_vertex_count__n,birth_protected_count,birth_protected_count__n,isolated_assignments_per_rollout,isolated_assignments_per_rollout__n,redundant_assignments_per_rollout,redundant_assignments_per_rollout__n,repeat_assignments_per_rollout,repeat_assignments_per_rollout__n,passive_graph_density,passive_graph_density__n,passive_updates_per_rollout,passive_updates_per_rollout__n,passive_stale_per_rollout,passive_stale_per_rollout__n,passive_over_gap_per_rollout,passive_over_gap_per_rollout__n,exploration_selection_fraction,exploration_selection_fraction__n,forced_exploration_fraction,forced_exploration_fraction__n,frontier_selection_rate,frontier_selection_rate__n,frontier_yield,frontier_yield__n,frontier_reached_fraction,frontier_reached_fraction__n,recruitment_total,recruitment_total__step,repeat_total,repeat_total__step,tiny_residual_total,tiny_residual_total__step
C05,4,5,8,GSR_C05_D4_H5K_S8,89227264,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H5K_S8_/00_GSR_C05_D4_H5K_S8/.summary/0/events.out.tfevents.1788398419.n3510,63.35806061403595,548,102.62691609180757,548,4.019999262190213,548,0.030434357492547286,304,0.0,304,0.9726679317261043,304,0.2988024259868421,304,0.9280112287715861,304,0.0065032999815517354,304,0.0944105731200819,304,0.15688048160978055,304,1.0,304,1.0,304,0.0,304,0.04276315789473684,304,0.04276315789473684,304,0.0,304,0.0,304,0.0,304,0.0,304,0.9236293921345159,304,1426.4013157894738,304,0.0,304,0.0,304,0.0,304,0.0,304,,0,,0,,0,2.0,74973184,0.0,74973184,0.0,74973184
C05,4,5,99,GSR_C05_D4_H5K_S99,100007936,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H5K_S99_/00_GSR_C05_D4_H5K_S99/.summary/0/events.out.tfevents.1788398420.n4220,45.40183568950001,427,63.39365330680472,427,3.0955443979705524,427,0.026215113373316497,297,0.0,297,0.9735106243830337,297,0.31376755839646464,297,0.9763986769348684,297,0.02531874430074234,297,0.31414020026372336,297,0.16039562180186762,297,1.0,297,1.0,297,0.0,297,0.0,297,0.0,297,0.0,297,0.0,297,0.0,297,0.0,297,0.905892257537906,297,1351.1245791245792,297,0.0,297,0.0,297,0.0,297,0.0,297,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
C05,4,5,123,GSR_C05_D4_H5K_S123,100040704,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H5K_S123_/00_GSR_C05_D4_H5K_S123/.summary/0/events.out.tfevents.1788398420.n4505,39.04081992836265,429,51.329533708123336,429,2.582053786391145,429,0.025139580398309425,305,0.0,305,0.9649850542428063,305,0.26219102202868855,305,1.019802770653709,305,0.03275895976751554,305,0.26835158784858515,305,0.15200819592983997,305,1.0,305,1.0,305,0.0,305,1.459016393442623,305,0.8688524590163934,305,0.0,305,0.0,305,0.0,305,0.0,305,0.8798497225417465,305,1200.7311475409836,305,0.0,305,0.0,305,0.0,305,0.0,305,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
C05,4,10,8,GSR_C05_D4_H10K_S8,100040704,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H10K_S8_/00_GSR_C05_D4_H10K_S8/.summary/0/events.out.tfevents.1788398442.n4509,35.64034194613128,458,47.63469431181662,458,2.6066809262771273,458,0.026951724193135247,305,0.0,305,0.9741487366254212,305,0.287445568647541,305,1.0788983857045409,305,0.023152356750530297,305,0.1457513618786804,305,0.1524316943571216,305,1.0,305,1.0,305,0.0,305,1.0,305,1.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.9224453656399836,305,1412.4655737704918,305,0.0,305,0.0,305,0.0,305,0.0,305,,0,,0,,0,2.0,74973184,0.0,74973184,0.0,74973184
C05,4,10,99,GSR_C05_D4_H10K_S99,91979776,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H10K_S99_/00_GSR_C05_D4_H10K_S99/.summary/0/events.out.tfevents.1788398440.n3320,69.10605790555819,523,107.71636732404136,523,3.235817326186492,523,0.02609643154456967,305,0.0,305,0.9671483334947805,305,0.2395443775614754,305,1.3177242153980693,305,0.005496080671856943,305,0.09096659106187156,305,0.1644398903749028,305,1.0,305,1.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.8916530015038662,305,1164.049180327869,305,0.0,305,0.03934426229508197,305,0.0,305,0.0,305,,0,,0,,0,1.0,74973184,0.0,74973184,0.0,74973184
C05,4,10,123,GSR_C05_D4_H10K_S123,90570752,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H10K_S123_/00_GSR_C05_D4_H10K_S123/.summary/0/events.out.tfevents.1788398440.n3320,50.92340734229897,530,75.81571688382131,530,2.748068278690554,530,0.023113913614241803,305,0.0,305,0.971553361220438,305,0.29094198258196724,305,1.0532958255439508,305,0.017764792011165226,305,0.10849291268797194,305,0.22229508098031653,305,1.0,305,1.0,305,0.0,305,0.07213114754098361,305,0.07213114754098361,305,0.0,305,0.0,305,0.0,305,0.0,305,0.9003688478078998,305,1267.5770491803278,305,0.0,305,0.0,305,0.0,305,0.0,305,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
C05,8,5,8,GSR_C05_D8_H5K_S8,92078080,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H5K_S8_/00_GSR_C05_D8_H5K_S8/.summary/0/events.out.tfevents.1788398443.n3408,40.838063986814,507,59.395207121057155,507,3.1512038679517937,507,0.030619436795594264,305,0.0,305,0.9686362178599248,305,0.2833424052254098,305,0.9929220523990568,305,0.03373755082243779,305,0.3148988846384111,305,0.15658470011148296,305,1.0,305,1.0,305,0.0,305,5.898360655737705,305,4.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.9083469984961338,305,1485.6262295081967,305,0.0,305,0.0,305,0.0,305,0.0,305,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
C05,8,5,99,GSR_C05_D8_H5K_S99,100007936,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H5K_S99_/00_GSR_C05_D8_H5K_S99/.summary/0/events.out.tfevents.1788398442.n4512,55.672887342626396,440,74.29547733827071,440,2.8680721537633374,440,0.024463290855532786,305,0.0,305,0.9731292187190447,305,0.2920017930327869,305,0.9826283673771092,305,0.010334944183037417,305,0.2763879679509851,305,0.17062841536568812,305,1.0,305,1.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.8194945349067938,305,1258.783606557377,305,0.0,305,0.0,305,0.0,305,0.0,305,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
C05,8,5,123,GSR_C05_D8_H5K_S123,100040704,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H5K_S123_/00_GSR_C05_D8_H5K_S123/.summary/0/events.out.tfevents.1788398442.n4512,36.3172892177295,439,46.159612816395686,439,1.7026293799111403,439,0.02461207655609631,305,0.0,305,0.9648655246515743,305,0.29562307889344264,305,1.0309973630748812,305,0.025991234419959004,305,0.43003914105843327,305,0.14759562914488744,305,0.9983606557377049,305,0.9963114754098361,305,0.0036885245901639345,305,4.327868852459017,305,3.5114754098360654,305,0.31475409836065577,305,0.0,305,0.009836065573770493,305,0.0,305,0.7470765000484029,305,1332.2983606557377,305,14.449180327868852,305,0.0,305,0.0,305,0.0,305,,0,,0,,0,3.0,74973184,0.0,74973184,0.0,74973184
C05,8,10,8,GSR_C05_D8_H10K_S8,100040704,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H10K_S8_/00_GSR_C05_D8_H10K_S8/.summary/0/events.out.tfevents.1788398444.n4515,63.597011538112866,408,103.63196059769275,408,3.557382372080111,408,0.029272861168032786,305,0.0,305,0.9650484585371174,305,0.2299468493852459,305,0.8510439994882365,305,0.003964822956925777,305,0.12246676229062628,305,0.17128415139483624,305,0.9985655737704918,305,0.9987704918032787,305,0.0012295081967213116,305,1.4295081967213115,305,1.4262295081967213,305,0.39344262295081966,305,0.0,305,0.006557377049180328,305,0.003278688524590164,305,0.9264071038511933,305,1051.0032786885247,305,7.642622950819672,305,0.0,305,0.0,305,0.0,305,,0,,0,,0,15.0,74973184,6.0,74973184,0.0,74973184
