backbone,redundancy_max_steps,half_life_k,coverage_auc__mean,unique_cells__mean,coverage_entropy__mean,dg_density__mean,dg_silent_fraction__mean,dg_usage_entropy__mean,dg_behavior_event_fraction__mean,target_hit_lift__mean,action_sensitivity__mean,option_success_fraction__mean,known_edge_fraction__mean,node_coverage_fraction__mean,connected_fraction__mean,isolated_fraction__mean,redundant_pair_count__mean,eligible_vertex_count__mean,birth_protected_count__mean,isolated_assignments_per_rollout__mean,redundant_assignments_per_rollout__mean,repeat_assignments_per_rollout__mean,passive_graph_density__mean,passive_updates_per_rollout__mean,passive_stale_per_rollout__mean,passive_over_gap_per_rollout__mean,exploration_selection_fraction__mean,forced_exploration_fraction__mean,frontier_selection_rate__mean,frontier_yield__mean,frontier_reached_fraction__mean,recruitment_total__mean,repeat_total__mean,tiny_residual_total__mean,coverage_auc__sd,unique_cells__sd,coverage_entropy__sd,dg_density__sd,dg_silent_fraction__sd,dg_usage_entropy__sd,dg_behavior_event_fraction__sd,target_hit_lift__sd,action_sensitivity__sd,option_success_fraction__sd,known_edge_fraction__sd,node_coverage_fraction__sd,connected_fraction__sd,isolated_fraction__sd,redundant_pair_count__sd,eligible_vertex_count__sd,birth_protected_count__sd,isolated_assignments_per_rollout__sd,redundant_assignments_per_rollout__sd,repeat_assignments_per_rollout__sd,passive_graph_density__sd,passive_updates_per_rollout__sd,passive_stale_per_rollout__sd,passive_over_gap_per_rollout__sd,exploration_selection_fraction__sd,forced_exploration_fraction__sd,frontier_selection_rate__sd,frontier_yield__sd,frontier_reached_fraction__sd,recruitment_total__sd,repeat_total__sd,tiny_residual_total__sd,coverage_auc__n,unique_cells__n,coverage_entropy__n,dg_density__n,dg_silent_fraction__n,dg_usage_entropy__n,dg_behavior_event_fraction__n,target_hit_lift__n,action_sensitivity__n,option_success_fraction__n,known_edge_fraction__n,node_coverage_fraction__n,connected_fraction__n,isolated_fraction__n,redundant_pair_count__n,eligible_vertex_count__n,birth_protected_count__n,isolated_assignments_per_rollout__n,redundant_assignments_per_rollout__n,repeat_assignments_per_rollout__n,passive_graph_density__n,passive_updates_per_rollout__n,passive_stale_per_rollout__n,passive_over_gap_per_rollout__n,exploration_selection_fraction__n,forced_exploration_fraction__n,frontier_selection_rate__n,frontier_yield__n,frontier_reached_fraction__n,recruitment_total__n,repeat_total__n,tiny_residual_total__n
C05,4,5,48.143363944332634,69.83309870272683,3.1360874832334873,0.027540053489945798,0.0,0.9678109333510454,0.30128171372894125,0.9949792103449214,0.024356142974287873,0.24662497955613372,0.16785167026345374,1.0,1.0,0.0,0.42648835202761,0.35521642220304855,0.0,0.0,0.0,0.0,0.9070908301049561,1384.7732390667527,0.0,0.0,0.0,0.0,,,,0.6666666666666666,0.0,0.0,13.652483350921692,29.233538906854974,0.7981481926831796,0.0026763388530981038,0.0,0.007521531134170929,0.02156997719479151,0.05426245879821749,0.015500963289927831,0.13453696030070086,0.010218866293688587,0.0,0.0,0.0,0.7021104493036324,0.5787328567336387,0.0,0.0,0.0,0.0,0.0151348923806827,47.47513725483099,0.0,0.0,0.0,0.0,,,,1.1547005383792517,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C05,4,10,48.70234092339954,70.75776905998919,2.688774033067526,0.024553785137101714,0.0,0.9679328203201294,0.26735791973039214,1.1184711289431795,0.014557385973975748,0.11288552002246799,0.1847312994512338,1.0,1.0,0.0,0.34313725490196073,0.34313725490196073,0.0,0.0,0.0,0.0,0.9081744712032783,1233.3692810457517,0.0,0.010893246187363835,0.0,0.0,,,,1.0,0.0,0.0,17.29449734784668,31.51492698754425,0.36726088164161463,0.0016062439343898247,0.0,0.004037124380679552,0.025905942709292563,0.10283626259053201,0.00823075988418894,0.034937540528274844,0.03321525899668327,0.0,0.0,0.0,0.5690498768992726,0.5690498768992726,0.0,0.0,0.0,0.0,0.022981923899565437,50.55025966067975,0.0,0.018867655855870125,0.0,0.0,,,,1.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C05,8,5,44.41946124568113,59.5792222095086,2.5398564511020094,0.02641055290413565,0.0003449227373068433,0.9709780466646373,0.27794817485944195,0.9893854755647423,0.01708879318200069,0.23854901149658417,0.16330124445259253,0.9995860927152318,0.9988962472406181,0.0011037527593818985,2.5612480470385277,1.859917772471011,0.13024282560706402,0.0,0.002207505518763797,0.0011037527593818985,0.8448008476642929,1317.0118479439177,3.4249448123620305,0.050805452292441135,0.0,0.0,,,,2.6666666666666665,1.0,0.0,14.214654389923021,19.07049069363158,0.6910904759688514,0.003600991884761016,0.0005974237057011857,0.0024414200279727115,0.011337271612255437,0.00921885573035072,0.01528274235165769,0.0798617245785477,0.011689500657177257,0.0007169084468414024,0.0019117558582438037,0.001911755858243794,3.006940164623994,1.9907353525763136,0.2255871912727677,0.0,0.003823511716487588,0.001911755858243794,0.058690359237682094,149.03038450091472,5.932178428130492,0.08799762467202474,0.0,0.0,,,,4.618802153517007,1.7320508075688772,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C05,8,10,43.027058376751405,61.287576229578725,2.686413355785659,0.027047909372254597,0.0,0.9721999744549669,0.3212168004722325,1.0725750115144679,0.013683284073093514,0.39477307809760326,0.1755906351168631,1.0,1.0,0.0,1.6401141882623362,1.2720720720720722,0.0,0.0,0.0,0.0,0.8708372224022586,1389.7628220813406,0.0,0.0,0.0,0.0,,,,5.0,2.0,0.0,24.622750708973083,41.79430576060379,0.9180549469060809,0.0020730364978654558,0.0,0.0026266504997104236,0.04755523161400138,0.08602444937663141,0.0073775196581185596,0.21891704676305845,0.0147701586249608,0.0,0.0,0.0,1.466000832866124,1.1054725854605225,0.0,0.0,0.0,0.0,0.08528728060088774,162.69250689164954,0.0,0.0,0.0,0.0,,,,8.660254037844387,3.4641016151377544,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C13,4,5,44.9791486093905,63.09718439311882,3.077224970162625,0.02498552113350813,0.0,0.9737057830089985,0.32672577381269535,0.960784624077283,0.011132027490094143,0.5593246972233697,0.11532277256000546,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9021488894056255,1362.6331154684096,0.0,0.0,0.34650519946352754,0.7817214967113243,,,,0.0,0.0,0.0,14.66085270437722,25.932990112494082,0.46301672449579967,0.0005061057954015874,0.0,0.0027392338057049457,0.028127339468478337,0.1333138680454534,0.0018346308925521345,0.014644310773385778,0.04678164154736306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011025746762453336,110.52428182191495,0.0,0.0,0.005407032972390167,0.008258052281946118,,,,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C13,4,10,40.33769551549194,52.39644088716724,2.905226326996555,0.02616573992679164,0.0,0.9751908154060823,0.34743580115802203,0.9021786420218785,0.009383531121779795,0.5691319793621045,0.1425660425134838,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9146470284646364,1461.883712728958,0.0,0.0,0.3437231148242455,0.7901842089964739,,,,0.0,0.0,0.0,16.91487941279207,25.885825491267806,0.4599804408546886,0.0002888973532369334,0.0,0.0027747728635696836,0.039801035050422866,0.055089523806594015,0.0008340169640269783,0.06696665402882226,0.04721783782863521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07518476137570604,122.27286983882807,0.0,0.0,0.02602907442510631,0.02875511146040249,,,,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C13,8,5,32.620032131761896,43.9592619655111,2.926177162873657,0.025918532502291463,0.0,0.9742317089324889,0.35140128579991803,0.921411429524874,0.012435037047981316,0.4268579711212839,0.1144660712797327,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8205634279155237,1450.7121098571115,0.0,0.0,0.3989919031836342,0.8312586305157813,,,,0.0,0.0,0.0,3.639304774367961,6.346036640694916,0.2772645737065127,0.00037695311353047806,0.0,0.0016566339743263824,0.012874338581975986,0.028850858546539935,0.0036361825171169655,0.09613895369873734,0.015620386794955345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025277247338395877,41.757722985016215,0.0,0.0,0.034358764131235564,0.02233572176663778,,,,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C13,8,10,32.81698671213399,40.46203912824398,2.7507420748236044,0.026251772491418895,0.0,0.9759273761137903,0.3558485147775426,0.9015144176413269,0.008234109089237994,0.6349220959847733,0.09942506235210002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8854658946964103,1465.0329746337684,0.0,0.0,0.313315656668024,0.7502958473635287,,,,0.0,0.0,0.0,6.225804135812657,9.656782423297415,0.16413674032366424,0.0011654170710205,0.0,0.0022478568160027718,0.013975288879996325,0.04664826718945661,0.0012582389207298349,0.08598671794297548,0.028537932083821282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011511174259026733,51.41201701866197,0.0,0.0,0.0402478657889155,0.043625318570725775,,,,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3
C15,4,5,54.51717029555957,81.80936410458706,3.640650720556955,0.02727606025444686,0.0,0.9784370987220791,0.34004655610029083,0.9087157391749523,0.002464392725801519,0.39274761961864363,0.9621166950501111,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9281935444825219,1453.8026584075367,0.0,0.0,0.030656706909969123,0.3882113740873972,0.009278734864672365,0.33339235553381896,0.00029226973425398135,0.0,0.0,0.0,8.166115020849011,15.477052395461342,0.15592828405264272,0.0007456729806644711,0.0,0.00098812690124358,0.023753107288768664,0.018518067287682047,0.0005361584673677481,0.02407931288631596,0.01568742742147697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037218947762060785,94.79679355390384,0.0,0.0,0.006612861377371957,0.06945165441961125,0.0011372368827839375,0.5772991612525589,0.000366796861107542,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C15,4,10,59.22277160931905,90.50077061223236,3.8487719310208095,0.028104078323445858,0.0,0.9778052976424682,0.34455828969845514,0.9209182482470283,0.0027051087722248586,0.41427161924394906,0.9867989659769791,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9471710553840259,1500.4211725094076,0.0,0.0,0.0636887332545064,0.613103570227317,0.01735269747103387,0.048740942064173766,0.0011277256729396695,0.0,0.0,0.0,7.031798422709852,12.060739703367584,0.214218606750735,0.0017580886645747937,0.0,0.0019231812118033944,0.03178517477045421,0.017191583804695237,0.0009942819409014157,0.022670110149753807,0.003496256465803142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01430451910760585,124.31557322220281,0.0,0.0,0.0045833921191839235,0.011442417800907462,0.0028634544550135603,0.08430970202125566,0.0005936252748935361,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
