backbone,metric,effect,mean,sd,n,seed_8,seed_99,seed_123
C05,coverage_auc,D8_minus_D4,-4.6995926226498215,15.092438273618777,3,-3.24728116104761,9.614191360752287,-20.465688067654142
C05,coverage_auc,H10k_minus_H5k,-0.41671294493140704,14.054396523249912,3,-13.976188935437989,14.085169815857938,-1.3591197152141703
C05,coverage_auc,interaction,-1.9513798479966151,36.04568221825417,3,39.16035820869109,-16.88053117877587,-28.13396657390507
C05,unique_cells,D8_minus_D4,-9.862034661814347,23.25809388030262,3,-8.924995584632406,12.913378325543164,-33.5744867263538
C05,unique_cells,H10k_minus_H5k,1.3165121886662448,32.65751324748968,3,-31.954727475348786,33.323587056704625,2.5806769846428956
C05,unique_cells,interaction,0.7836836628077629,61.1996633485488,3,69.38802215989922,-18.839168554347197,-48.19780261712874
C05,coverage_entropy,D8_minus_D4,-0.29929585470667236,0.4603680699805697,3,-0.636978371856092,0.22509659296232054,-0.4860057852262457
C05,coverage_entropy,H10k_minus_H5k,-0.15037827274115567,1.1697296724601964,3,-1.4996827971325637,0.577193569729676,0.47135440917942073
C05,coverage_entropy,interaction,0.5938703548496108,0.2577491877419892,3,0.46866355415803307,0.8903050759740538,0.42264243441674565
C05,dg_density,D8_minus_D4,0.0006823118246713661,0.0015445831500094996,3,0.00023373011520949442,-0.0005883280697447837,0.0024015334285493878
C05,dg_density,H10k_minus_H5k,-0.0011744559423625678,0.004194987644590392,3,-0.005989661748046224,0.0016895087960317693,0.0007767851249267516
C05,dg_density,interaction,0.0036236248209630256,0.0032275879628747696,3,0.0006175466802140726,0.003218799976673358,0.007034527806001646
C05,dg_silent_fraction,D8_minus_D4,0.00017246136865342165,0.00029871185285059283,3,0.0,0.0,0.0005173841059602649
C05,dg_silent_fraction,H10k_minus_H5k,-0.00017246136865342165,0.00029871185285059283,3,0.0,0.0,-0.0005173841059602649
C05,dg_silent_fraction,interaction,-0.0003449227373068433,0.0005974237057011857,3,0.0,0.0,-0.0010347682119205299
C05,dg_usage_entropy,D8_minus_D4,0.0037171337242147087,0.005206620620334946,3,-0.001712686370508143,0.0041967163708795385,0.008667371172272731
C05,dg_usage_entropy,H10k_minus_H5k,0.0006719073797067562,0.005346518017374005,3,-0.0017802766741785714,-0.0030086644227266812,0.006804663236025521
C05,dg_usage_entropy,interaction,0.0011000408212454478,0.010945537678812118,3,0.005178808493324416,0.00942055736050873,-0.011299243390096803
C05,dg_behavior_event_fraction,D8_minus_D4,0.015262670936170541,0.017356727907920335,3,-0.0005871147193254322,0.012564747533007528,0.033810379994829526
C05,dg_behavior_event_fraction,H10k_minus_H5k,0.004672415807120731,0.04919054045491901,3,-0.012680851953802585,-0.03348958120359864,0.06018768057876342
C05,dg_behavior_event_fraction,interaction,0.07719241961133967,0.04068387270436986,3,0.030221245204416713,0.1013555607618716,0.10000045286773068
C05,target_hit_lift,D8_minus_D4,-0.025744926104445287,0.06562093778399271,3,0.04958358389112644,-0.07050278117806924,-0.05631558102639306
C05,target_hit_lift,H10k_minus_H5k,0.10334072727399181,0.0989738794067436,3,0.132601901612375,0.1843849359607344,-0.006964655751133975
C05,target_hit_lift,interaction,-0.040302382648532364,0.03418335589086181,3,-0.0071731088353897965,-0.07545035166809366,-0.038283687442113634
C05,action_sensitivity,D8_minus_D4,-0.0040707258465847085,0.014215932774938968,3,0.0088936117960788,-0.0018329630869436259,-0.019272826248889298
C05,action_sensitivity,H10k_minus_H5k,-0.006602133054609651,0.0016320292282043308,3,-0.004718811674968508,-0.0076016283141369274,-0.007485959174723517
C05,action_sensitivity,interaction,0.006393247891404948,0.03944266084541972,3,-0.038022349906707775,0.037328274227856235,0.019873819353066383
C05,option_success_fraction,D8_minus_D4,0.13690579500779287,0.10130945878550307,3,0.1978191981036554,0.01995762317595287,0.1929405637437704
C05,option_success_fraction,H10k_minus_H5k,0.011242303533676645,0.14479749395545044,3,0.031156260403880878,-0.1424814652151396,0.14505211541228866
C05,option_success_fraction,interaction,0.2899635261346848,0.3666746320542948,3,-0.050797948943794,0.24271729241597795,0.6779712349318704
C05,known_edge_fraction,D8_minus_D4,-0.006845545072615936,0.010891364033264649,3,0.0004431676678390284,-0.0016142149654244514,-0.019365587920262384
C05,known_edge_fraction,H10k_minus_H5k,0.014584509926025302,0.011393938991344006,3,0.0032073283944236697,0.014551068619545651,0.025995132764106588
C05,known_edge_fraction,interaction,-0.004590238523509473,0.04546365554025693,3,0.0028378302802041233,0.03670196909136522,-0.053310514942097764
C05,node_coverage_fraction,D8_minus_D4,-0.00020695364238410008,0.0003584542234207012,3,0.0,0.0,-0.0006208609271523002
C05,node_coverage_fraction,H10k_minus_H5k,0.00020695364238410008,0.0003584542234207012,3,0.0,0.0,0.0006208609271523002
C05,node_coverage_fraction,interaction,0.00041390728476820016,0.0007169084468414024,3,0.0,0.0,0.0012417218543046005
C05,connected_fraction,D8_minus_D4,-0.000551876379690952,0.0009558779291219019,3,0.0,0.0,-0.0016556291390728561
C05,connected_fraction,H10k_minus_H5k,0.000551876379690952,0.0009558779291219019,3,0.0,0.0,0.0016556291390728561
C05,connected_fraction,interaction,0.001103752759381904,0.0019117558582438037,3,0.0,0.0,0.0033112582781457123
C05,isolated_fraction,D8_minus_D4,0.0005518763796909492,0.000955877929121897,3,0.0,0.0,0.0016556291390728477
C05,isolated_fraction,H10k_minus_H5k,-0.0005518763796909492,0.000955877929121897,3,0.0,0.0,-0.0016556291390728477
C05,isolated_fraction,interaction,-0.0011037527593818985,0.001911755858243794,3,0.0,0.0,-0.0033112582781456954
C05,redundant_pair_count,D8_minus_D4,1.7158683141856466,1.6415249119551456,3,3.4766835784675707,1.4431211467560083,0.2278002173333606
C05,redundant_pair_count,H10k_minus_H5k,-0.5022424779509204,1.6301434673079243,3,-1.4220092319899458,1.3799241207337034,-1.4646423225965186
C05,redundant_pair_count,interaction,-0.837782761650542,3.769726168017894,3,-4.758772562340547,2.759848241467407,-0.5144239640784859
