backbone,redundancy_max_steps,half_life_k,seed,run,max_step,window_low,window_high,event_file,coverage_auc,coverage_auc__n,unique_cells,unique_cells__n,coverage_entropy,coverage_entropy__n,dg_density,dg_density__n,dg_silent_fraction,dg_silent_fraction__n,dg_usage_entropy,dg_usage_entropy__n,dg_behavior_event_fraction,dg_behavior_event_fraction__n,target_hit_lift,target_hit_lift__n,action_sensitivity,action_sensitivity__n,option_success_fraction,option_success_fraction__n,known_edge_fraction,known_edge_fraction__n,node_coverage_fraction,node_coverage_fraction__n,connected_fraction,connected_fraction__n,isolated_fraction,isolated_fraction__n,redundant_pair_count,redundant_pair_count__n,eligible_vertex_count,eligible_vertex_count__n,birth_protected_count,birth_protected_count__n,isolated_assignments_per_rollout,isolated_assignments_per_rollout__n,redundant_assignments_per_rollout,redundant_assignments_per_rollout__n,repeat_assignments_per_rollout,repeat_assignments_per_rollout__n,passive_graph_density,passive_graph_density__n,passive_updates_per_rollout,passive_updates_per_rollout__n,passive_stale_per_rollout,passive_stale_per_rollout__n,passive_over_gap_per_rollout,passive_over_gap_per_rollout__n,exploration_selection_fraction,exploration_selection_fraction__n,forced_exploration_fraction,forced_exploration_fraction__n,frontier_selection_rate,frontier_selection_rate__n,frontier_yield,frontier_yield__n,frontier_reached_fraction,frontier_reached_fraction__n,recruitment_total,recruitment_total__step,repeat_total,repeat_total__step,tiny_residual_total,tiny_residual_total__step
C05,4,5,8,GSR_C05_D4_H5K_S8,74448896,64448896,74448896,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H5K_S8_/00_GSR_C05_D4_H5K_S8/.summary/0/events.out.tfevents.1788398419.n3510,63.78962829812194,549,103.39060112513697,549,4.028525186149583,549,0.030623138928022542,305,0.0,305,0.9729165245275029,305,0.29862480788934426,305,0.933658664343787,305,0.006569955697222078,305,0.09310487844660634,305,0.1569125674787115,305,1.0,305,1.0,305,0.0,305,0.04262295081967213,305,0.04262295081967213,305,0.0,305,0.0,305,0.0,305,0.0,305,0.9242213174945019,305,1431.865573770492,305,0.0,305,0.0,305,0.0,305,0.0,305,,0,,0,,0,2.0,74448896,0.0,74448896,0.0,74448896
C05,4,5,99,GSR_C05_D4_H5K_S99,92110848,82110848,92110848,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H5K_S99_/00_GSR_C05_D4_H5K_S99/.summary/0/events.out.tfevents.1788398420.n4220,41.989396371574045,428,56.21983645786749,428,2.8891341513562425,428,0.02618216205116929,302,0.0,302,0.9713428016529967,302,0.3240570674668874,302,1.0144924024082966,302,0.03151184790428506,302,0.34397331812721216,302,0.17715231171309553,302,1.0,302,1.0,302,0.0,302,0.0,302,0.0,302,0.0,302,0.0,302,0.0,302,0.0,302,0.8955297945745734,302,1385.5298013245033,302,0.0,302,0.0,302,0.0,302,0.0,302,,0,,0,,0,0.0,92110848,0.0,92110848,0.0,92110848
C05,4,5,123,GSR_C05_D4_H5K_S123,92110848,82110848,92110848,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H5K_S123_/00_GSR_C05_D4_H5K_S123/.summary/0/events.out.tfevents.1788398420.n4505,38.65106716330193,438,49.888858525176026,438,2.490603112194636,438,0.025814859490645558,304,0.0,304,0.9591734738726365,304,0.2811632658305921,304,1.0367865642826808,304,0.03498662532135648,304,0.3027967420945826,304,0.16949013159855417,304,1.0,304,1.0,304,0.0,304,1.236842105263158,304,1.0230263157894737,304,0.0,304,0.0,304,0.0,304,0.0,304,0.9015213782457929,304,1336.9243421052631,304,0.0,304,0.0,304,0.0,304,0.0,304,,0,,0,,0,0.0,92110848,0.0,92110848,0.0,92110848
C05,4,10,8,GSR_C05_D4_H10K_S8,91848704,81848704,91848704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H10K_S8_/00_GSR_C05_D4_H10K_S8/.summary/0/events.out.tfevents.1788398442.n4509,30.233260258338404,451,36.74186256983857,451,2.2945106119380028,451,0.02432470383986928,306,0.0,306,0.9685468436066621,306,0.2708333333333333,306,1.0698471203738569,306,0.020862318975607457,306,0.14966011332238421,306,0.1587009807330331,306,1.0,306,1.0,306,0.0,306,1.0,306,1.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.9340958638128891,306,1256.6568627450981,306,0.0,306,0.0,306,0.0,306,0.0,306,,0,,0,,0,2.0,91848704,0.0,91848704,0.0,91848704
C05,4,10,99,GSR_C05_D4_H10K_S99,76447744,66447744,76447744,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H10K_S99_/00_GSR_C05_D4_H10K_S99/.summary/0/events.out.tfevents.1788398440.n3320,64.51483177681992,522,98.96300779174571,522,3.0211751830988915,522,0.02626227085886438,306,0.0,306,0.9636238585500156,306,0.23988970588235295,306,1.2366025142030779,306,0.005246082476220015,306,0.08013320670408361,306,0.17335239578695857,306,1.0,306,1.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.8902913892970366,306,1175.3725490196077,306,0.0,306,0.032679738562091505,306,0.0,306,0.0,306,,0,,0,,0,1.0,76447744,0.0,76447744,0.0,76447744
C05,4,10,123,GSR_C05_D4_H10K_S123,75431936,65431936,75431936,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D4_H10K_S123_/00_GSR_C05_D4_H10K_S123/.summary/0/events.out.tfevents.1788398440.n3320,51.358930735040296,531,76.56843681838329,531,2.750636304165684,531,0.023074380712571486,306,0.0,306,0.9716277588037104,306,0.29135071997549017,306,1.0489637522526036,306,0.017563756470099775,306,0.10886324004093612,306,0.22214052183370964,306,1.0,306,1.0,306,0.0,306,0.029411764705882353,306,0.029411764705882353,306,0.0,306,0.0,306,0.0,306,0.0,306,0.9001361604999093,306,1268.078431372549,306,0.0,306,0.0,306,0.0,306,0.0,306,,0,,0,,0,0.0,75431936,0.0,75431936,0.0,75431936
C05,8,5,8,GSR_C05_D8_H5K_S8,76054528,66054528,76054528,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H5K_S8_/00_GSR_C05_D8_H5K_S8/.summary/0/events.out.tfevents.1788398443.n3408,40.96216803272878,508,59.77159446055495,508,3.1572150372144745,508,0.030548095703125,306,0.0,306,0.9686144339103325,306,0.28292707056781047,306,0.9868288026526083,306,0.034474742446654764,306,0.31632305102215874,306,0.15593682000644846,306,1.0,306,1.0,306,0.0,306,5.898692810457517,306,4.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.9092184131831126,306,1482.0980392156862,306,0.0,306,0.0,306,0.0,306,0.0,306,,0,,0,,0,0.0,76054528,0.0,76054528,0.0,76054528
C05,8,5,99,GSR_C05_D8_H5K_S99,92766208,82766208,92766208,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H5K_S99_/00_GSR_C05_D8_H5K_S99/.summary/0/events.out.tfevents.1788398442.n4512,60.043853321714266,418,78.55279906058425,418,2.669078206331536,418,0.023984433993087827,269,0.0,269,0.9708292393436219,269,0.2859440346189591,269,0.9817147970642742,269,0.011014747703413316,269,0.24257229509517605,269,0.15718711220198847,269,1.0,269,1.0,269,0.0,269,0.06319702602230483,269,0.06319702602230483,269,0.0,269,0.0,269,0.0,269,0.0,269,0.7943618370697844,269,1192.3977695167287,269,0.0,269,0.1524163568773234,269,0.0,269,0.0,269,,0,,0,,0,0.0,92766208,0.0,92766208,0.0,92766208
C05,8,5,123,GSR_C05_D8_H5K_S123,92143616,82143616,92143616,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H5K_S123_/00_GSR_C05_D8_H5K_S123/.summary/0/events.out.tfevents.1788398442.n4512,32.252362382600325,443,40.4132731073866,443,1.7932761097600174,443,0.024699129016194123,302,0.0010347682119205299,302,0.9734904667399576,302,0.2649734193915563,302,0.9996128269773445,302,0.005776889395933993,302,0.1567516883724178,302,0.17677980114934067,302,0.9987582781456954,302,0.9966887417218543,302,0.0033112582781456954,302,1.7218543046357615,302,1.5165562913907285,302,0.39072847682119205,302,0.0,302,0.006622516556291391,302,0.0033112582781456954,302,0.8308222927399819,302,1276.5397350993378,302,10.274834437086092,302,0.0,302,0.0,302,0.0,302,,0,,0,,0,8.0,92143616,3.0,92143616,0.0,92143616
C05,8,10,8,GSR_C05_D8_H10K_S8,98402304,88402304,98402304,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H10K_S8_/00_GSR_C05_D8_H10K_S8/.summary/0/events.out.tfevents.1788398444.n4515,46.56615820163634,410,62.51087806515577,410,1.8918640171609273,410,0.024867207295185812,185,0.0,185,0.9694235614828162,185,0.28535684121621624,185,1.1158441498472884,185,0.010744755818332369,185,0.3220803369541426,185,0.1605630635409742,185,1.0,185,1.0,185,0.0,185,2.097297297297297,185,1.8162162162162163,185,0.0,185,0.0,185,0.0,185,0.0,185,0.853153150146072,185,1234.5189189189189,185,0.0,185,0.0,185,0.0,185,0.0,185,,0,,0,,0,15.0,98402304,6.0,98402304,0.0,98402304
