F,L,threshold,reward_method,seed,run,window,window_low,window_high,max_step,perf/_fps,perf/_fps__n,perf/_sample_throughput,perf/_sample_throughput__n,train/entropy,train/entropy__n,train/version_diff_avg,train/version_diff_avg__n,train/distance_metric,train/distance_metric__n,train/reward_for_advantage_mean,train/reward_for_advantage_mean__n,train/reward_for_advantage_nonzero_frac,train/reward_for_advantage_nonzero_frac__n,train/intrinsic_reward_mean,train/intrinsic_reward_mean__n,train/intrinsic_reward_nonzero_frac,train/intrinsic_reward_nonzero_frac__n,train/hrl_active_target_frac,train/hrl_active_target_frac__n,train/hrl_source_frac,train/hrl_source_frac__n,train/hrl_target_hit_rate,train/hrl_target_hit_rate__n,train/hrl_tctrl_update_rate,train/hrl_tctrl_update_rate__n,train/hrl_option_reset_rate,train/hrl_option_reset_rate__n,train/hrl_option_timeout_rate,train/hrl_option_timeout_rate__n,train/hrl_option_success_fraction,train/hrl_option_success_fraction__n,train/hrl_learned_deadline_fraction,train/hrl_learned_deadline_fraction__n,train/hrl_selected_deadline_mean,train/hrl_selected_deadline_mean__n,train/hrl_elapsed_on_hit_mean,train/hrl_elapsed_on_hit_mean__n,train/hrl_elapsed_on_timeout_mean,train/hrl_elapsed_on_timeout_mean__n,train/hrl_node_coverage_fraction,train/hrl_node_coverage_fraction__n,train/hrl_selected_target_visit_mean,train/hrl_selected_target_visit_mean__n,train/hrl_known_edge_fraction,train/hrl_known_edge_fraction__n,train/hrl_known_controllability_time_mean,train/hrl_known_controllability_time_mean__n,train/dg_density,train/dg_density__n,train/dg_multi_activation_rate,train/dg_multi_activation_rate__n,train/dg_silent_unit_frac,train/dg_silent_unit_frac__n,train/encoder_loss,train/encoder_loss__n,train/decoder_loss,train/decoder_loss__n,train/batch_reward_loss,train/batch_reward_loss__n,train/encoder_punishment,train/encoder_punishment__n,len/len,len/len__n,len/len_min,len/len_min__n,len/len_max,len/len_max__n
16,128,2.0,encourage,123,B1_F16_L128_T200_ERencourage_S123,early_5_15m,5000000,15000000,72515584,1794.301731952003,557,224.11754020540246,557,1.3286205530166626,302,5.510637093853477,302,15.987200951734126,302,0.05535347193066302,302,0.004270035699503311,302,0.05535347193066302,302,0.004270035699503311,302,0.9987372594163907,302,0.9987372594163907,302,0.006491553704470199,302,0.08145566018211921,302,0.013426117549668874,302,0.005662122309602649,302,0.5255395646718953,302,0.05748900506546758,302,123.5231037771465,302,40.37214205280834,302,120.25560469974745,302,0.8151772606451779,302,0.7772205846988602,302,0.14725485996694754,302,29.23108671832558,302,0.04695654862763866,302,0.1461529258071192,302,0.0,302,-10.496748185315669,302,0.18255520504683453,302,0.0,302,11.563235254477192,302,6241.739612846443,557,318.3626570915619,557,7200.0,557
16,128,2.0,encourage,123,B1_F16_L128_T200_ERencourage_S123,common_50_60m,50000000,60000000,72515584,1816.488870371943,552,226.98033775108448,552,0.9416423211495082,240,5.506827799479167,240,15.61168045202891,240,0.05203084451883721,240,0.003999837239583333,240,0.05203084451883721,240,0.003999837239583333,240,0.9987528483072917,240,0.9987528483072917,240,0.0060994466145833336,240,0.08320109049479167,240,0.0130615234375,240,0.005718994140625,240,0.5095387000590563,240,0.059024043194949624,240,123.59292389551798,240,41.150869794686635,240,119.76766166687011,240,0.8191967010498047,240,0.7293545763318737,240,0.1513908553868532,240,28.46105215549469,240,0.044969431559244794,240,0.12798258463541667,240,0.0,240,-11.50419590473175,240,0.14887893395498394,240,0.0,240,11.357498836517333,240,6337.065639329993,552,256.768115942029,552,7200.0,552
16,128,2.0,encourage,123,B1_F16_L128_T200_ERencourage_S123,mature_80_90m,80000000,90000000,72515584,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
16,128,2.0,encourage,123,B1_F16_L128_T200_ERencourage_S123,terminal_10m,62515584,72515584,72515584,1899.0514077851267,528,237.1266233848803,528,0.9050000253295111,242,5.420509023114669,242,15.661123701363556,242,0.049115445405198646,242,0.003769047004132231,242,0.049115445405198646,242,0.003769047004132231,242,0.9987288545971075,242,0.9987288545971075,242,0.005699977401859504,242,0.08173464940599173,242,0.012673117897727272,242,0.005699977401859504,242,0.4928398851520759,242,0.05087824306673994,242,124.38026305269604,242,42.95347246059701,242,121.54012405773825,242,0.814666748046875,242,0.7142633849000635,242,0.1489670181200524,242,28.208435397502804,242,0.04488404329158058,242,0.12943286738119836,242,0.0,242,-11.344346282895932,242,0.13849768048721897,242,0.0,242,11.296377903173777,242,6293.296403396288,527,424.607210626186,527,7200.0,527
16,128,2.0,encourage,456,B1_F16_L128_T200_ERencourage_S456,early_5_15m,5000000,15000000,68648960,1940.6262809086772,515,242.60495525471214,515,1.428707314034303,288,5.599812825520833,288,15.190734558635288,288,0.019822693494562473,288,0.0016411675347222222,288,0.019822693494562473,288,0.0016411675347222222,288,0.9987250434027778,288,0.9987250434027778,288,0.002887301974826389,288,0.052642822265625,288,0.010382758246527778,288,0.006218804253472222,288,0.30765437259752715,288,0.0108742586000719,288,127.34448369344075,288,49.05197262101703,288,127.1644553343455,288,0.6689068476359049,288,0.13722152365759635,288,0.0910138589485238,288,36.352751460340286,288,0.03574848175048828,288,0.11471388075086805,288,0.03819444444444445,288,-10.49926001826922,288,0.146347705963611,288,-5.712458652043198e-05,288,12.307986146873898,288,6183.676425022755,515,500.59805825242717,515,7200.0,515
16,128,2.0,encourage,456,B1_F16_L128_T200_ERencourage_S456,common_50_60m,50000000,60000000,68648960,1946.9874241504854,515,243.29598047941633,515,1.29591672039032,250,5.335646484375,250,16.120247039794922,250,0.021661719261668624,250,0.001755859375,250,0.021661719261668624,250,0.001755859375,250,0.998720703125,250,0.998720703125,250,0.00375,250,0.06283203125,250,0.0110859375,250,0.006060546875,250,0.3740617411285639,250,0.029228584341704847,250,126.09960012817383,250,48.92479847717285,250,125.39045895385742,250,0.735578369140625,250,0.3809440882652998,250,0.10902532547712326,250,37.18347729492187,250,0.038105712890625,250,0.11306640625,250,0.0,250,-12.252500482559205,250,0.1570923651214689,250,0.0,250,12.229124862670899,250,6319.93694060983,515,311.20776699029125,515,7200.0,515
16,128,2.0,encourage,456,B1_F16_L128_T200_ERencourage_S456,mature_80_90m,80000000,90000000,68648960,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
16,128,2.0,encourage,456,B1_F16_L128_T200_ERencourage_S456,terminal_10m,58648960,68648960,68648960,1944.3986825905886,514,243.75806091546085,514,1.24172781023287,248,5.349067934097782,248,16.073431449551737,248,0.023332362536401037,248,0.0018783077116935483,248,0.023332362536401037,248,0.0018783077116935483,248,0.9987596081149194,248,0.9987596081149194,248,0.0037290511592741934,248,0.061723099063765184,247,0.010959640688259109,247,0.006001707995951417,247,0.37655974173473444,247,0.026667228519071936,247,126.17565785149331,247,47.96128337875552,247,125.22458250223384,247,0.725005115092042,247,0.36379581505832403,247,0.1066552619883406,247,37.48123405240325,247,0.03700460210020243,247,0.10818296115890688,247,0.0,247,-11.733767165291694,248,0.16684930283771526,248,0.0,247,12.20408617629696,247,6337.9685571574055,514,311.9688715953307,514,7200.0,514
16,128,2.0,encourage,8,B1_F16_L128_T200_ERencourage_S8,early_5_15m,5000000,15000000,90013696,2362.703290069075,423,295.5535636162363,423,1.467156470523161,255,5.432643995098039,255,15.794938053804286,255,0.024569930161769483,255,0.001966528799019608,255,0.024569930161769483,255,0.001966528799019608,255,0.9985428155637255,255,0.9985428155637255,255,0.0034658394607843136,255,0.061762791053921566,255,0.010740272671568627,255,0.0058153339460784315,255,0.368442473283001,255,0.016019070294557833,255,126.94237820494409,255,49.80521257437912,255,126.66050705255246,255,0.6971585142846201,255,0.23169992056255248,255,0.10302567601788278,255,34.43877735511929,255,0.03838548847273284,255,0.09597886029411765,255,0.0,255,-10.176803630006079,255,0.17575917872143726,255,0.0,255,12.017569347456389,255,5867.357543079565,423,354.0425531914894,423,7200.0,423
16,128,2.0,encourage,8,B1_F16_L128_T200_ERencourage_S8,common_50_60m,50000000,60000000,90013696,2427.8456298236983,413,303.55495609902295,413,1.259823532782838,239,5.580384577667364,239,15.929844560982293,239,0.02474952656853039,239,0.002147211689330544,239,0.02474952656853039,239,0.002147211689330544,239,0.998702683708159,239,0.998702683708159,239,0.0038122711820083683,239,0.06193204105648536,239,0.011091543540794979,239,0.005973783995815899,239,0.38487114121350285,239,0.015195945496027938,239,127.07456357309509,239,45.96231556537261,239,126.68119859894948,239,0.7003325777572568,239,0.21398342475606807,239,0.10979443168166292,239,32.85876436911866,239,0.03736794443808839,239,0.09239343619246862,239,0.0,239,-11.5882116940231,239,0.17114193757769952,239,0.0,239,11.947921098525555,239,6160.55980795059,413,447.1864406779661,413,7200.0,413
16,128,2.0,encourage,8,B1_F16_L128_T200_ERencourage_S8,mature_80_90m,80000000,90000000,90013696,2431.689418078049,411,303.7834885497453,411,1.0803340609355638,186,5.439468876008065,186,15.43724868118122,186,0.025516108713379244,186,0.0021447622647849463,186,0.025516108713379244,186,0.0021447622647849463,186,0.9987819220430108,186,0.9987819220430108,186,0.0038563718077956988,186,0.06178857946908602,186,0.010954826108870967,186,0.0058751260080645165,186,0.3913652557999857,186,0.021352124380408434,186,126.67215954360141,186,44.1915753656818,186,125.80331699822538,186,0.7185808407363071,186,0.282673441875045,186,0.11226178801828815,186,32.6944855208038,186,0.04005087575604839,186,0.10595965641801075,186,0.0,186,-12.29776083525791,186,0.1748706427382766,186,0.0,186,12.017602566749819,186,6510.39805020149,411,520.7785888077859,411,7200.0,411
16,128,2.0,encourage,8,B1_F16_L128_T200_ERencourage_S8,terminal_10m,80013696,90013696,90013696,2427.8478460057886,413,303.7960520598848,413,1.0803583331286588,187,5.438236338569519,187,15.433238034579842,187,0.025447287191857085,187,0.0021411263368983956,187,0.025447287191857085,187,0.0021411263368983956,187,0.9987832135695187,187,0.9987832135695187,187,0.003851416276737968,187,0.061810661764705885,187,0.010961522393048128,187,0.005888097426470588,187,0.3906674178685734,187,0.02145184563562513,187,126.65615869205904,187,44.15044394661398,187,125.78109100668188,187,0.7184949252694686,187,0.28287304909949634,187,0.11225051759557927,187,32.70263352623598,187,0.040044121563753345,187,0.10595180899064172,187,0.0,187,-12.306600249387364,187,0.17447590458899098,187,0.0,187,12.017774515610965,187,6511.429342274516,413,521.2009685230024,413,7200.0,413
16,128,2.0,encourage,99,B1_F16_L128_T200_ERencourage_S99,early_5_15m,5000000,15000000,90046464,2390.965670790969,418,299.08690464439576,418,1.4259929308675445,243,5.363646958590535,243,17.47514973157718,243,0.015239197810449606,243,0.001279980066872428,243,0.015239197810449606,243,0.001279980066872428,243,0.9986537101337448,243,0.9986537101337448,243,0.0029216499485596706,243,0.05681544174382716,243,0.010511107896090536,243,0.0062411586934156375,243,0.31126430150841977,243,0.019839136934084168,243,126.83378123844602,243,54.38738558419938,243,126.28883273905687,243,0.6932089220839763,243,0.2534902462958063,243,0.09547238058023493,243,37.30402110535422,243,0.04177027572820216,243,0.1008471579218107,243,0.0,243,-11.232390046610263,243,0.13731126051488113,243,0.0,243,12.351396713727786,243,5855.939898185183,418,247.2153110047847,418,7200.0,418
16,128,2.0,encourage,99,B1_F16_L128_T200_ERencourage_S99,common_50_60m,50000000,60000000,90046464,2439.6619870076793,411,305.153080924004,411,1.334029430609483,195,5.650325520833333,195,17.170290594834547,195,0.01620718169909266,195,0.0013746995192307693,195,0.01620718169909266,195,0.0013746995192307693,195,0.9987129407051282,195,0.9987129407051282,195,0.0034405048076923076,195,0.05830578926282051,195,0.010699619391025641,195,0.005972055288461538,195,0.3594283538751113,195,0.02308404674896827,195,126.38173026060447,195,50.97114490606846,195,125.82284553723457,195,0.700553228916266,195,0.35826812531703556,195,0.10002996478325281,195,36.88398959820087,195,0.04390556139823718,195,0.09611378205128206,195,0.0,195,-13.083081817626953,195,0.1514665300742938,195,0.0,195,12.309316913898174,195,5950.230852484413,411,234.49148418491484,411,7200.0,411
