id,window,lo_m,hi_m,n,lift_mean,lift_median,fraction_gt2,fraction_gt100,spike_share,success,target_rate,density,silence,edges,sensitivity,coverage
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,early,10.000794,50.00397,1221,0.9434867119656021,0.9112567,0.015561015561015561,0.0,0.0,0.24692633813431614,0.027053420575757575,0.0268203022997543,0.0,0.19113090365274366,0.01034485202981163,57.48429362571662
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,late,50.00397,100.007941,1527,9.196259040491158,0.9836462,0.04518664047151277,0.0019646365422396855,0.8705044424203162,0.2942325649895219,0.026453843822036676,0.02434935004780616,0.0,0.15807138156647021,0.012609722536935167,37.350435836828304
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,tail,90.00794,100.007941,306,0.9764501688562092,0.9968160100000001,0.0,0.0,0.0,0.2179097918562092,0.01762120863006536,0.025069592071895425,0.0,0.14888344258169933,0.011350422187581699,31.59349012786885
00_CPD_C15_ADD_CA3_DIR_PASS_S99_20260907_035139_785467,early,7.500595,37.502975,916,1.0897628397423582,0.9732863350000001,0.07096069868995633,0.0,0.0,0.07049350404967249,0.010965538847161572,0.065625053319869,0.0,0.030281114141921393,0.03238637886353711,42.81690381768559
00_CPD_C15_ADD_CA3_DIR_PASS_S99_20260907_035139_785467,late,37.502975,75.005951,1145,630.6453572243153,0.9921316,0.20786026200873362,0.0017467248908296944,0.9976716385716138,0.07847329197292575,0.01106671328908297,0.06901578287161572,0.0,0.04776928728646288,0.057615222171179044,29.91249732867133
00_CPD_C15_ADD_CA3_DIR_PASS_S99_20260907_035139_785467,tail,65.00595,75.005951,306,2355.8976638643853,1.025575,0.2549019607843137,0.006535947712418301,0.9993105397249519,0.08214968072418301,0.010948031564705883,0.06808671143464051,0.0,0.05001361700980392,0.0674094879869281,24.20839125901639
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,early,7.500595,37.502975,916,1.213011739934498,0.97865135,0.12882096069868995,0.0,0.0,0.07267542868482532,0.011183559627838428,0.06546596867685589,0.03111353711790393,0.04566502962991266,0.02974404736353712,45.35818487991266
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,late,37.502975,75.005951,1143,353.99501678715313,1.1335596,0.2677165354330709,0.003499562554680665,0.9947241518307041,0.09012565834546807,0.011483794016054243,0.06449087811986003,0.05692257217847769,0.054483814888014,0.04411762530087489,34.63047623730297
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,tail,65.00595,75.005951,304,603.9848768246809,1.28854385,0.3125,0.006578947368421052,0.9962598588913976,0.09579550080493422,0.011770148020065789,0.06373465706907895,0.06085526315789474,0.054029605621710525,0.04503925290789473,29.98577115181518
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,early,7.500595,37.502975,916,0.9724400147489082,0.96599835,0.0,0.0,0.0,0.2512410465829695,0.03792975145851528,0.031073424521834064,0.0,0.005517649515283843,0.029603003259606988,42.36825801310044
