run_name,condition,base,seed,cell,project,training_steps,preflight_steps,design_cells,family_100k,cell_feedback,cell_history,cell_gradient,cell_predictor,policy_id,target_env_steps,actual_env_steps,window_limit,scalar_window_limit,environment,frameskip,snapshot_path,valid_sample_count_100k,in_bounds_fraction_100k,visited_cell_fraction_100k,active_unit_fraction_100k,silent_unit_fraction_100k,active_unit_mean_spatial_information_100k,active_only_map_cosine_100k,unique_active_peak_bins_100k,mean_physical_step_distance,stationary_step_fraction,path_efficiency,mean_absolute_circular_yaw_change,mono_field_unit_fraction_100k,mean_primary_secondary_peak_distance_100k,median_dominant_peak_nearest_neighbor_distance_100k,graph_available,graph_reliable_edge_count,graph_reliable_edge_density,graph_largest_weak_component_size,graph_largest_strong_component_size,graph_reachable_pair_fraction,graph_mean_reachable_shortest_path_hops,graph_median_reachable_shortest_path_hops,graph_reliable_global_efficiency,graph_undirected_clustering,graph_directed_reciprocity,graph_small_world_propensity,graph_max_total_degree_fraction,graph_degree_herfindahl,graph_spatial_endpoint_valid_fraction,graph_reliable_edge_peak_distance_mean,graph_tctrl_peak_distance_correlation,graph_tctrl_peak_distance_pair_count,graph_prospective_attempt_count,graph_prospective_success_count,graph_prospective_success_fraction,graph_grounded_controllability,family_65to75,run,window_low_m,window_high_m,n_behavior,n_spatial,train/env_steps,coverage_auc,dg_density,silent_fraction,usage_entropy,option_success,action_tv,action_sensitivity,target_num,target_count,shuffle_num,shuffle_count,correct,wrong,timeout,command_entropy,pair_coverage,candidate_pairs,candidate_sources,candidate_count,behavior_candidate_count,commanded_num,commanded_count,first_shuffle_num,first_shuffle_count,largest_scc,reachable_pairs,top3_incoming,ppo_dg_norm,encoder_dg_norm,gradient_ratio,gradient_cosine,row_conflict,env_steps,grounded_controllability,in_bounds_fraction_65to75,valid_sample_count_65to75,active_unit_fraction_65to75,silent_unit_fraction_65to75,visited_cell_fraction_65to75,active_only_map_cosine_65to75,unique_active_peak_bins_65to75,mono_field_unit_fraction_65to75,active_unit_mean_spatial_information_65to75,mean_primary_secondary_peak_distance_65to75,median_dominant_peak_nearest_neighbor_distance_65to75,hit_lift,first_lift
CPD_C15_ADD_ACT_BPTT_GOAL_S123,CPD_C15_ADD_ACT_BPTT_GOAL,C15,123,additive_ca3_action_bptt_goal,SF_IntrMotiv_CA3FeedbackPredictiveDG,75000000,5000000,27,c15_arr_first_joint_film_legacy_bn_balanced_direct,additive,ca3_action,bptt,goal,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_ca3_feedback_predictive_dg_20260907/CPD_C15_ADD_ACT_BPTT_GOAL_S123/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8781163434903048,1.0,0.0,0.1475893408060073,0.2531085964738667,15.0,31.860095977783203,0.0144012204424103,0.0617615204384564,16.883281707763672,0.0,1229.662353515625,100.0,1,12.0,0.050000000745058,12.0,1.0,0.2249999940395355,3.6111111640930176,3.0,0.0995105803012847,0.0,0.0,0.7258113026618958,0.125,0.0798611119389534,0.0,0.0,0.0,0.0,78282.0,59970.0,0.7660765051841736,0.0,ca3_feedback_predictive_dg,CPD_C15_ADD_ACT_BPTT_GOAL_S123,65,75,305,10,69992448.0,22.85132820327869,0.0677360159540983,0.0006147540983606,0.954866733081967,0.0796929342363934,0.0004271108723344,0.0375181079999999,28.80983606557377,643.5704918032787,42.3344262295082,613.7803278688525,22.665573770491804,520.1704918032787,0.1180327868852459,0.8670482240983606,1.0,,,,,22.665573770491804,542.8360655737705,37.649180327868855,542.8360655737705,6.20327868852459,0.3750409809180328,0.5237271409836066,0.3690983989180328,0.2336961214426229,1.6996133454098363,0.0097335398519672,0.4885772833770492,70483968.0,0.0,1.0,10000.0,1.0,0.0,0.516343495,0.190979564,14.8,0.0,0.151010608,1266.22141,153.204934,0.6490287732652604,0.6020203779500131
CPD_C15_ADD_ACT_BPTT_GOAL_S8,CPD_C15_ADD_ACT_BPTT_GOAL,C15,8,additive_ca3_action_bptt_goal,SF_IntrMotiv_CA3FeedbackPredictiveDG,75000000,5000000,27,c15_arr_first_joint_film_legacy_bn_balanced_direct,additive,ca3_action,bptt,goal,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_ca3_feedback_predictive_dg_20260907/CPD_C15_ADD_ACT_BPTT_GOAL_S8/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8670360110803325,1.0,0.0,0.1285792887210846,0.322846814756365,10.0,27.43776130676269,0.1476026770276043,0.1164590851120074,12.868160247802734,0.0,1549.32470703125,0.0,1,12.0,0.050000000745058,6.0,1.0,0.1208333298563957,2.068965435028076,2.0,0.0775694474577903,0.0,0.0,1.0,0.0833333358168602,0.0729166641831398,0.0,0.0,0.0,0.0,68211.0,48972.0,0.7179487347602844,0.0,ca3_feedback_predictive_dg,CPD_C15_ADD_ACT_BPTT_GOAL_S8,65,75,305,10,69992448.0,22.78498276721312,0.0581754090459016,0.0,0.9876735973114754,0.0717369857805245,0.0023229885369508,0.063607399557377,26.28852459016393,696.567213114754,33.898360655737704,667.0426229508197,21.98688524590164,460.61639344262295,0.2852459016393442,0.8990809318032787,1.0,,,,,21.98688524590164,482.6032786885246,32.97704918032787,482.6032786885246,2.672131147540984,0.3332786879934427,0.4439575024590164,0.3227334776065573,0.1785521620622951,1.932612759606557,0.0055303769511934,0.5013251366229508,70483968.0,0.0,1.0,10000.0,1.0,0.0,0.484764541,0.2792148519999999,12.7,0.0,0.12607802,1292.0536699999998,30.0,0.7426395485119062,0.6667329488964009
CPD_C15_ADD_ACT_BPTT_GOAL_S99,CPD_C15_ADD_ACT_BPTT_GOAL,C15,99,additive_ca3_action_bptt_goal,SF_IntrMotiv_CA3FeedbackPredictiveDG,75000000,5000000,27,c15_arr_first_joint_film_legacy_bn_balanced_direct,additive,ca3_action,bptt,goal,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_ca3_feedback_predictive_dg_20260907/CPD_C15_ADD_ACT_BPTT_GOAL_S99/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8725761772853186,1.0,0.0,0.1419339179992675,0.3001072193534136,11.0,25.474580764770508,0.1323026851098454,0.1097741082024835,16.874340057373047,0.0,1424.9593505859375,0.0,1,13.0,0.054166667163372,11.0,1.0,0.2458333373069763,3.813559293746948,3.0,0.1071610450744628,0.0,0.0,1.0,0.0769230797886848,0.0680473372340202,0.0,0.0,0.0,0.0,69869.0,54052.0,0.7736191749572754,0.0,ca3_feedback_predictive_dg,CPD_C15_ADD_ACT_BPTT_GOAL_S99,65,75,305,10,69992448.0,23.953237901639344,0.0635902280754098,0.0,0.9894518041967212,0.0753245296344262,0.0015659600286229,0.0480760670852459,25.868852459016395,680.9147540983606,37.45573770491804,651.5475409836066,22.30163934426229,506.51475409836064,0.1377049180327869,0.8721483446885245,1.0,,,,,22.30163934426229,528.8163934426229,35.20327868852459,528.8163934426229,2.180327868852459,0.3226092891475409,0.4599993986557377,0.5302073662295083,0.2114549808229508,2.714351076983607,-0.0073025999100327,0.5061475409836066,70483968.0,0.0,1.0,10000.0,1.0,0.0,0.483933518,0.268945391,12.7,0.0,0.14705404,1610.2282699999998,15.0,0.6608641210229054,0.6335102915153208
CPD_C15_ADD_ACT_BPTT_PASS_S123,CPD_C15_ADD_ACT_BPTT_PASS,C15,123,additive_ca3_action_bptt_passive,SF_IntrMotiv_CA3FeedbackPredictiveDG,75000000,5000000,27,c15_arr_first_joint_film_legacy_bn_balanced_direct,additive,ca3_action,bptt,passive,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_ca3_feedback_predictive_dg_20260907/CPD_C15_ADD_ACT_BPTT_PASS_S123/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8698060941828255,1.0,0.0,0.1484714448451995,0.2624358580060131,15.0,31.90239524841309,0.0154190398698128,0.059854478417497,16.88878059387207,0.0,1059.8314208984375,100.0,1,12.0,0.050000000745058,12.0,1.0,0.2541666626930237,3.7704918384552,3.0,0.1066683232784271,0.0,0.0,0.4490077197551727,0.125,0.0833333358168602,0.0,0.0,0.0,0.0,80602.0,61310.0,0.7606511116027832,0.0,ca3_feedback_predictive_dg,CPD_C15_ADD_ACT_BPTT_PASS_S123,65,75,305,10,69992448.0,25.853813396721318,0.0662879818426229,0.0139344262295081,0.9528111567540984,0.0745233320209836,0.0005269773868704,0.044610618557377,27.852459016393443,618.3475409836066,35.63934426229508,587.9704918032787,23.08852459016393,476.5311475409836,0.1081967213114754,0.8853973715409837,1.0,,,,,23.08852459016393,499.6196721311475,33.75409836065574,499.6196721311475,7.531147540983606,0.4250136643606557,0.5156439872459017,0.3134875919344262,0.2267422753442622,1.433059804557377,0.0178709201557377,0.5009153032459017,70483968.0,0.0,1.0,10000.0,1.0,0.0,0.587811636,0.1991319979999999,14.8,0.0125,0.1470517629999999,1109.52631,155.612088,0.7431162049579438,0.6840213695968917
CPD_C15_ADD_ACT_BPTT_PASS_S8,CPD_C15_ADD_ACT_BPTT_PASS,C15,8,additive_ca3_action_bptt_passive,SF_IntrMotiv_CA3FeedbackPredictiveDG,75000000,5000000,27,c15_arr_first_joint_film_legacy_bn_balanced_direct,additive,ca3_action,bptt,passive,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_ca3_feedback_predictive_dg_20260907/CPD_C15_ADD_ACT_BPTT_PASS_S8/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8725761772853186,1.0,0.0,0.1543880701065063,0.2540883369126444,13.0,31.89825820922852,0.0149616550377346,0.0658360759893931,16.875890731811523,0.0,1133.9139404296875,211.80340576171875,1,14.0,0.058333333581686,15.0,1.0,0.3333333432674408,4.275000095367432,4.0,0.1297951191663742,0.0,0.0,0.2928932309150696,0.1071428582072258,0.0739795938134193,0.0,0.0,0.0,0.0,65386.0,45735.0,0.6994616389274597,0.0,ca3_feedback_predictive_dg,CPD_C15_ADD_ACT_BPTT_PASS_S8,65,75,305,10,69992448.0,29.10481443278689,0.0659965137311475,0.0,0.9793733430491802,0.0754078278085246,0.0008284718943213,0.0418339851081967,28.67540983606557,558.1344262295082,32.25573770491803,527.4295081967213,24.0655737704918,426.35737704918034,0.0655737704918032,0.9116863770491804,1.0,,,,,24.0655737704918,450.4229508196721,30.37377049180328,450.4229508196721,1.4360655737704917,0.1904781419606557,0.5489452623606557,0.4963177146885245,0.3211778772131147,1.553808480327869,0.0203091559163934,0.4995901639344262,70483968.0,0.0,1.0,10000.0,1.0,0.0,0.620775624,0.190799542,14.9,0.0,0.15922534,1176.778886,177.393544,0.8400947437710857,0.7923143350604491
CPD_C15_ADD_ACT_BPTT_PASS_S99,CPD_C15_ADD_ACT_BPTT_PASS,C15,99,additive_ca3_action_bptt_passive,SF_IntrMotiv_CA3FeedbackPredictiveDG,75000000,5000000,27,c15_arr_first_joint_film_legacy_bn_balanced_direct,additive,ca3_action,bptt,passive,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_ca3_feedback_predictive_dg_20260907/CPD_C15_ADD_ACT_BPTT_PASS_S99/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8781163434903048,1.0,0.0,0.162748783826828,0.2688950642263931,14.0,32.21257781982422,0.0142399430402278,0.0684952741891,16.87451171875,0.0625,934.1567993164062,150.0,1,13.0,0.054166667163372,14.0,1.0,0.3291666805744171,4.265822887420654,4.0,0.1259988248348236,0.0,0.0,0.2928932309150696,0.1153846159577369,0.0798816531896591,0.0,0.0,0.0,0.0,75831.0,55475.0,0.7315609455108643,0.0,ca3_feedback_predictive_dg,CPD_C15_ADD_ACT_BPTT_PASS_S99,65,75,305,10,69992448.0,27.73746986557377,0.0657415671442623,0.0,0.9722253195081968,0.0785465254921311,0.0006551681688688,0.0413568076918032,27.878688524590164,584.1016393442623,35.77377049180328,553.744262295082,23.445901639344264,455.1311475409836,0.0721311475409836,0.8957527939672131,1.0,,,,,23.445901639344264,478.5770491803279,34.514754098360655,478.5770491803279,1.2918032786885243,0.2256557378622951,0.5446240280327869,0.3955062447213114,0.2879147550491803,1.428497067803279,-0.0177003359240327,0.4995901639344262,70483968.0,0.0,1.0,10000.0,1.0,0.0,0.601662048,0.190545696,14.3,0.05625,0.167607911,1029.227875,116.213204,0.7388026378838001,0.679300845445046
CPD_C15_ADD_ACT_BPTT_S123,CPD_C15_ADD_ACT_BPTT,C15,123,additive_ca3_action_bptt_none,SF_IntrMotiv_CA3FeedbackPredictiveDG,75000000,5000000,27,c15_arr_first_joint_film_legacy_bn_balanced_direct,additive,ca3_action,bptt,none,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_ca3_feedback_predictive_dg_20260907/CPD_C15_ADD_ACT_BPTT_S123/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.1518399119377136,0.2645526099817761,13.0,32.96160888671875,0.0141690315624586,0.0699686256032858,16.826051712036133,0.0,1093.67431640625,0.0,1,8.0,0.0333333350718021,5.0,1.0,0.0625,1.7333333492279053,1.0,0.0454861111938953,0.0,0.0,1.0,0.125,0.09375,0.0,0.0,0.0,0.0,40216.0,25326.0,0.6297493577003479,0.0,ca3_feedback_predictive_dg,CPD_C15_ADD_ACT_BPTT_S123,65,75,305,10,69992448.0,35.137516832786886,0.0530595623442623,0.0,0.9877940681967212,0.0696819457934426,0.0008537443124786,0.0305020033967213,26.25245901639344,616.4950819672131,28.557377049180328,586.5344262295082,23.242622950819676,397.3081967213115,0.0524590163934426,0.9360503833442624,1.0,,,,,23.242622950819676,420.5508196721311,28.52786885245901,420.5508196721311,1.0,0.0747814211639344,0.6295340282295082,0.4279371308852459,0.1954675711803278,2.163009372655738,0.0115182162935081,0.4883196721311475,70483968.0,0.0,1.0,10000.0,1.0,0.0,0.7180055450000001,0.169083709,15.4,0.0,0.163857827,1229.609516,158.00563,0.8746122682056952,0.8147339386277439
CPD_C15_ADD_ACT_BPTT_S8,CPD_C15_ADD_ACT_BPTT,C15,8,additive_ca3_action_bptt_none,SF_IntrMotiv_CA3FeedbackPredictiveDG,75000000,5000000,27,c15_arr_first_joint_film_legacy_bn_balanced_direct,additive,ca3_action,bptt,none,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_ca3_feedback_predictive_dg_20260907/CPD_C15_ADD_ACT_BPTT_S8/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8781163434903048,1.0,0.0,0.136629045009613,0.306807032510167,15.0,32.061065673828125,0.0169150180542135,0.0648438337187052,16.690288543701172,0.0,1117.25634765625,161.80340576171875,1,8.0,0.0333333350718021,6.0,1.0,0.0791666656732559,1.894736886024475,2.0,0.0524305552244186,0.0,0.0,0.909830629825592,0.1875,0.1171875,0.0,0.0,0.0,0.0,60301.0,42040.0,0.6971691846847534,0.0,ca3_feedback_predictive_dg,CPD_C15_ADD_ACT_BPTT_S8,65,75,305,10,69992448.0,35.01720295409836,0.0593421810721311,0.0,0.9821386305573772,0.0772616755177049,0.0018561789312262,0.0395571149868852,26.58688524590164,565.8885245901639,29.498360655737702,535.6065573770492,23.76065573770492,407.1508196721312,0.1540983606557377,0.9227354728196722,1.0,,,,,23.76065573770492,430.911475409836,29.56393442622951,430.911475409836,1.2360655737704918,0.1381830606131147,0.5694498780983607,0.4935314765245902,0.1575048501081967,3.096953967868852,-0.0199153268486885,0.4915983606557377,70483968.0,0.0,1.0,10000.0,1.0,0.0,0.716897505,0.207100769,15.2,0.0,0.143011579,1063.7900960000002,179.142136,0.8530698209282813,0.8037041144504824
CPD_C15_ADD_ACT_BPTT_S99,CPD_C15_ADD_ACT_BPTT,C15,99,additive_ca3_action_bptt_none,SF_IntrMotiv_CA3FeedbackPredictiveDG,75000000,5000000,27,c15_arr_first_joint_film_legacy_bn_balanced_direct,additive,ca3_action,bptt,none,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_ca3_feedback_predictive_dg_20260907/CPD_C15_ADD_ACT_BPTT_S99/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.1219564229249954,0.3038031765520502,13.0,31.990367889404297,0.0163053981751787,0.0673178834212252,16.870737075805664,0.0,1036.485595703125,223.60679626464844,1,10.0,0.0416666679084301,8.0,1.0,0.1333333402872085,2.78125,2.0,0.0718452408909797,0.0,0.0,1.0,0.1000000014901161,0.0850000008940696,0.0,0.0,0.0,0.0,49298.0,36590.0,0.7422207593917847,0.0,ca3_feedback_predictive_dg,CPD_C15_ADD_ACT_BPTT_S99,65,75,305,10,69992448.0,27.73174735409836,0.0590895355934426,0.0002049180327868,0.975880302032787,0.075199049344918,0.0006062605018567,0.0363112294688524,26.091803278688523,549.1016393442623,29.21639344262295,518.4098360655738,23.940983606557374,417.288524590164,0.0786885245901639,0.9137443816721312,1.0,,,,,23.940983606557374,441.2295081967213,28.86229508196721,441.2295081967213,1.0,0.1331147537114754,0.6050953386885245,0.3561685095737704,0.1713096486459016,2.075305194065574,-0.0283576101000983,0.4957923497377049,70483968.0,0.0,1.0,10000.0,1.0,0.0,0.5858725739999999,0.197526625,15.3,0.0125,0.131323071,1061.773494,192.36068,0.8431366810319308,0.8294899466091105
CPD_C15_ADD_ACT_DIR_GOAL_S123,CPD_C15_ADD_ACT_DIR_GOAL,C15,123,additive_ca3_action_direct_goal,SF_IntrMotiv_CA3FeedbackPredictiveDG,75000000,5000000,27,c15_arr_first_joint_film_legacy_bn_balanced_direct,additive,ca3_action,direct,goal,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_ca3_feedback_predictive_dg_20260907/CPD_C15_ADD_ACT_DIR_GOAL_S123/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8753462603878116,1.0,0.0,0.168222889304161,0.2624412162223298,13.0,32.01368713378906,0.017250498392937,0.0600102291605085,16.875028610229492,0.0,1116.1888427734375,200.0,1,11.0,0.045833334326744,12.0,1.0,0.2750000059604645,4.333333492279053,4.0,0.1051605343818664,0.0,0.0,0.2928932309150696,0.0909090936183929,0.0867768600583076,0.0,0.0,0.0,0.0,72991.0,53920.0,0.7387211918830872,0.0,ca3_feedback_predictive_dg,CPD_C15_ADD_ACT_DIR_GOAL_S123,65,75,305,10,69992448.0,24.10537778688525,0.0667944734426229,0.0,0.975652686295082,0.0791869316232786,0.0007663886480491,0.0430035705836065,28.554098360655736,602.8491803278689,36.08196721311475,572.7245901639344,23.32131147540984,461.5081967213115,0.0590163934426229,0.8940669538032787,1.0,,,,,23.32131147540984,484.8295081967213,32.390163934426226,484.8295081967213,4.819672131147541,0.3647814173770492,0.4796578284590164,0.3575742525245902,0.2779972918688524,1.3329099825573771,-0.0083987651911803,0.5088114754098361,70483968.0,0.0,1.0,10000.0,1.0,0.0,0.5955678719999999,0.192250515,15.3,0.0,0.17853154,1168.231946,182.250032,0.7518226388530982,0.7200121469784391
