goal,outcome,seed,metric,delta,scale
legacy,first_distinct,8,mono_field_unit_fraction,12.5,100
legacy,first_distinct,99,mono_field_unit_fraction,25.0,100
legacy,first_distinct,123,mono_field_unit_fraction,12.5,100
legacy,target_hit,8,mono_field_unit_fraction,0.0,100
legacy,target_hit,99,mono_field_unit_fraction,-6.25,100
legacy,target_hit,123,mono_field_unit_fraction,31.25,100
legacy,first_distinct,8,active_only_map_cosine,-0.05748663957665001,1
legacy,first_distinct,99,active_only_map_cosine,-0.009571818888168507,1
legacy,first_distinct,123,active_only_map_cosine,-0.04889884888034081,1
legacy,target_hit,8,active_only_map_cosine,-0.06067292873578939,1
legacy,target_hit,99,active_only_map_cosine,-0.022579271318898114,1
legacy,target_hit,123,active_only_map_cosine,-0.016164819902979397,1
target_id_film,first_distinct,8,mono_field_unit_fraction,-6.25,100
target_id_film,first_distinct,99,mono_field_unit_fraction,-6.25,100
target_id_film,first_distinct,123,mono_field_unit_fraction,0.0,100
target_id_film,target_hit,8,mono_field_unit_fraction,0.0,100
target_id_film,target_hit,99,mono_field_unit_fraction,12.5,100
target_id_film,target_hit,123,mono_field_unit_fraction,0.0,100
target_id_film,first_distinct,8,active_only_map_cosine,0.003410374064366284,1
target_id_film,first_distinct,99,active_only_map_cosine,0.056942776339719225,1
target_id_film,first_distinct,123,active_only_map_cosine,0.021961493161468004,1
target_id_film,target_hit,8,active_only_map_cosine,0.02789128989865411,1
target_id_film,target_hit,99,active_only_map_cosine,-0.004330300349492999,1
target_id_film,target_hit,123,active_only_map_cosine,0.06727637809900888,1
