contrast,metric,n_pairs,mean_delta,positive_pairs,negative_pairs
FILM-LEG,coverage_auc,27,3.3550464986411366,16,11
FILM-LEG,dg_density,27,0.00027326223503150725,15,12
FILM-LEG,dg_silent_fraction,27,0.012579249048547299,7,2
FILM-LEG,dg_usage_entropy,27,-0.0053147273919067935,12,15
FILM-LEG,unit_duty_cycle_max,27,0.0008271460200690761,16,11
FILM-LEG,option_success,27,0.00989751575146254,17,10
FILM-LEG,action_sensitivity,27,0.01267528934659742,22,5
FILM-LEG,target_hit_rate,27,7.671125722123665e-05,16,11
FILM-LEG,target_hit_lift,27,0.9824117961214801,13,14
FILM-LEG,largest_scc,27,0.7722197870574402,10,6
FILM-LEG,reachable_pair_fraction,27,0.04447981232988891,16,7
FILM-LEG,outgoing_node_fraction,27,0.056685416529632486,17,5
FILM-LEG,top3_incoming_share,27,0.08478874885671911,11,12
FILM-LEG,attempt_coverage,27,0.0015090661410021855,16,10
FILM-LEG,fully_tested_count,27,0.7904344759821869,7,2
FILM-LEG,zero_outdegree_count,27,-0.9028168499024171,5,17
FILM-LEG,predictive_eligible_count,27,-0.7510568262361178,8,6
FILM-LEG,behavior_replay_mismatch,27,0.0,0,0
FILM-LEG,recruitment_total,27,-0.2222222222222222,1,4
FILM-LEG,repeat_total,27,-0.07407407407407407,0,1
DIR-MON,coverage_auc,18,2.5388406476061167,11,7
DIR-MON,dg_density,18,0.0004116387121061797,8,10
DIR-MON,dg_silent_fraction,18,0.002903656711222502,4,2
DIR-MON,dg_usage_entropy,18,0.001544754742244408,8,10
DIR-MON,unit_duty_cycle_max,18,0.0005052143910108738,8,10
DIR-MON,option_success,18,-0.013810828271121966,6,12
DIR-MON,action_sensitivity,18,-0.0047521909878309,6,12
DIR-MON,target_hit_rate,18,-0.002139723732542186,5,13
DIR-MON,target_hit_lift,18,-2.7988440175184097,10,8
DIR-MON,largest_scc,18,0.15241228070175447,6,5
DIR-MON,reachable_pair_fraction,18,0.006462434861511324,9,8
DIR-MON,outgoing_node_fraction,18,0.006864326989751798,7,8
DIR-MON,top3_incoming_share,18,-0.0587216316329017,6,11
DIR-MON,attempt_coverage,18,0.00524122560352697,9,9
DIR-MON,fully_tested_count,18,0.12500000000000006,2,4
DIR-MON,zero_outdegree_count,18,-0.10999283528910588,7,7
DIR-MON,predictive_eligible_count,18,-1.8910286201154096,0,14
DIR-MON,behavior_replay_mismatch,18,0.0,0,0
DIR-MON,recruitment_total,18,0.05555555555555555,1,0
DIR-MON,repeat_total,18,0.0,0,0
PRED-MON,coverage_auc,18,6.509696851568941,10,8
PRED-MON,dg_density,18,-0.0005165284858253555,7,11
PRED-MON,dg_silent_fraction,18,0.0029252819548872206,3,3
PRED-MON,dg_usage_entropy,18,-0.0026206333014048965,8,10
PRED-MON,unit_duty_cycle_max,18,-0.0020069613561276376,4,14
PRED-MON,option_success,18,0.004083274308745509,8,10
PRED-MON,action_sensitivity,18,-0.0006392144347948924,10,8
PRED-MON,target_hit_rate,18,0.00037653256428005335,5,13
PRED-MON,target_hit_lift,18,-2.485031073051578,10,8
PRED-MON,largest_scc,18,0.09053618892048831,6,4
PRED-MON,reachable_pair_fraction,18,0.00693955249698909,9,8
PRED-MON,outgoing_node_fraction,18,0.027204529347498008,8,7
PRED-MON,top3_incoming_share,18,-0.08432610233957323,5,12
PRED-MON,attempt_coverage,18,-0.015706642746337554,6,12
PRED-MON,fully_tested_count,18,-0.14329565444777248,3,3
PRED-MON,zero_outdegree_count,18,-0.43711354712159717,6,8
PRED-MON,predictive_eligible_count,18,0.08086791734710037,4,10
PRED-MON,behavior_replay_mismatch,18,0.0,0,0
PRED-MON,recruitment_total,18,0.9444444444444444,8,0
PRED-MON,repeat_total,18,0.1111111111111111,1,0
