contrast,metric,n_pairs,mean_delta,positive_pairs,negative_pairs
X1-X0,coverage_auc,24,18.91505149073169,22,2
X1-X0,dg_density,24,-0.01408694283242177,0,24
X1-X0,dg_silent_fraction,24,0.13425925925925927,24,0
X1-X0,dg_usage_entropy,24,-0.18686211181426668,0,24
X1-X0,option_success,24,-0.06773080707885061,0,12
X1-X0,action_sensitivity,24,-0.017178232650613818,0,12
X1-X0,free_mode_fraction,24,-0.006043143644935532,8,15
X1-X0,goal_mode_fraction,24,-0.08772842195848633,1,11
X1-X0,probe_mode_fraction,24,0.08172397705316191,7,5
X1-X0,probe_success_rate,24,-0.028232046552155,0,12
X1-X0,probe_timeout_rate,24,0.028232046085365087,12,0
X1-X0,promotion_rate,24,0.0009710185187034886,9,3
X1-X0,edge_reliability,24,-0.03522348673363505,0,12
X1-X0,largest_scc,24,-0.5537710698314413,3,6
X1-X0,reachable_pair_fraction,24,-0.024687065466961932,4,8
X1-X0,outgoing_node_fraction,24,-0.08286694383528265,5,7
X1-X0,top3_incoming_share,24,0.04985759321438552,8,4
X1-X0,goal_loop_fraction,24,-0.21168905316321596,1,11
X1-X0,goal_straightness,24,-0.02412119352871302,1,5
X1-X0,probe_loop_fraction,24,-0.0020157256462489856,2,4
X1-X0,probe_straightness,24,-0.0024435777192444927,4,2
X1-X0,behavior_replay_mismatch,24,0.0,0,0
X1-X0,recruitment_total,24,83.41666666666667,24,0
X1-X0,repeat_total,24,67.70833333333333,24,0
SEP-SH,coverage_auc,24,2.3605861680012388,14,10
SEP-SH,dg_density,24,0.0002590432340132697,13,11
SEP-SH,dg_silent_fraction,24,0.005446623093681917,8,4
SEP-SH,dg_usage_entropy,24,-0.0021826812767953515,12,12
SEP-SH,option_success,24,-0.0258806818982879,4,8
SEP-SH,action_sensitivity,24,-0.0028445994748168943,6,6
SEP-SH,free_mode_fraction,24,-0.0002844857833365296,9,14
SEP-SH,goal_mode_fraction,24,-0.05867533411558629,4,8
SEP-SH,probe_mode_fraction,24,0.058694398360530586,8,4
SEP-SH,probe_success_rate,24,0.0017351533106366765,6,6
SEP-SH,probe_timeout_rate,24,-0.0017351531060980825,6,6
SEP-SH,promotion_rate,24,-0.0002499696455286808,4,8
SEP-SH,edge_reliability,24,-0.014983324660693291,5,7
SEP-SH,largest_scc,24,-0.4227224515537209,3,7
SEP-SH,reachable_pair_fraction,24,-0.019728488531314498,5,7
SEP-SH,outgoing_node_fraction,24,-0.06886562876246989,5,7
SEP-SH,top3_incoming_share,24,0.010330501690549379,6,6
SEP-SH,goal_loop_fraction,24,-0.05454542195625143,5,6
SEP-SH,goal_straightness,24,-0.011331115976970105,2,4
SEP-SH,probe_loop_fraction,24,-0.00428551567405544,2,4
SEP-SH,probe_straightness,24,0.002193924466643025,4,2
SEP-SH,behavior_replay_mismatch,24,0.0,0,0
SEP-SH,recruitment_total,24,-5.0,7,5
SEP-SH,repeat_total,24,-5.041666666666667,6,5
EDGE-NODE,coverage_auc,24,8.224385669294927,19,5
EDGE-NODE,dg_density,24,0.00035160627406042645,16,8
EDGE-NODE,dg_silent_fraction,24,-0.002791394335511983,6,6
EDGE-NODE,dg_usage_entropy,24,0.001615479068802897,10,14
EDGE-NODE,option_success,24,0.1655531967885456,24,0
EDGE-NODE,action_sensitivity,24,0.03796531954489486,24,0
EDGE-NODE,free_mode_fraction,24,-0.9929660670212798,0,24
EDGE-NODE,goal_mode_fraction,24,0.10787959767667805,24,0
EDGE-NODE,probe_mode_fraction,24,0.8855141060786464,24,0
EDGE-NODE,probe_success_rate,24,0.12401178943886525,24,0
EDGE-NODE,probe_timeout_rate,24,0.8759882117087526,24,0
EDGE-NODE,promotion_rate,24,0.001508390983638559,24,0
EDGE-NODE,edge_reliability,24,0.1932779016851601,24,0
EDGE-NODE,largest_scc,24,0.5722895883499598,14,0
EDGE-NODE,reachable_pair_fraction,24,0.03369441879266999,24,0
EDGE-NODE,outgoing_node_fraction,24,0.1972800701969384,24,0
EDGE-NODE,top3_incoming_share,24,0.7130468775154619,24,0
EDGE-NODE,goal_loop_fraction,24,0.4684254119704055,24,0
EDGE-NODE,goal_straightness,24,0.06420821068557576,12,0
EDGE-NODE,probe_loop_fraction,24,0.8372315079665104,24,0
EDGE-NODE,probe_straightness,24,0.12809904297523578,12,0
EDGE-NODE,behavior_replay_mismatch,24,0.0,0,0
EDGE-NODE,recruitment_total,24,12.083333333333334,7,6
EDGE-NODE,repeat_total,24,12.291666666666666,6,6
G1-G0,coverage_auc,24,2.0623210666295475,11,13
G1-G0,dg_density,24,-7.478366964385143e-05,9,15
G1-G0,dg_silent_fraction,24,-0.012050653594771242,1,11
G1-G0,dg_usage_entropy,24,0.010412494212827412,14,10
G1-G0,option_success,24,-0.03415727299609778,0,12
G1-G0,action_sensitivity,24,-0.0039933166084526565,6,6
G1-G0,free_mode_fraction,24,-0.001367947286884396,12,11
G1-G0,goal_mode_fraction,24,-0.034332809978487984,7,5
G1-G0,probe_mode_fraction,24,0.03282309797604204,5,7
G1-G0,probe_success_rate,24,-0.0179187350498581,2,10
G1-G0,probe_timeout_rate,24,0.017918734725895086,10,2
G1-G0,promotion_rate,24,0.000288594974239802,7,5
G1-G0,edge_reliability,24,-0.01536561412950421,1,11
G1-G0,largest_scc,24,-0.24884617589725955,5,5
G1-G0,reachable_pair_fraction,24,-0.015594728567147548,3,9
G1-G0,outgoing_node_fraction,24,-0.05829420812550166,3,9
G1-G0,top3_incoming_share,24,-0.06362670224839825,4,8
G1-G0,goal_loop_fraction,24,-0.12089920676597794,3,9
G1-G0,goal_straightness,24,0.06420821068557576,12,0
G1-G0,probe_loop_fraction,24,-0.16276849203348956,0,12
G1-G0,probe_straightness,24,0.12809904297523578,12,0
G1-G0,behavior_replay_mismatch,24,0.0,0,0
G1-G0,recruitment_total,24,19.083333333333332,10,2
G1-G0,repeat_total,24,18.791666666666668,9,2
