contrast,metric,n_pairs,mean_delta,sd_delta,positive_pairs,negative_pairs
SRC-ARR,coverage_auc,18,9.751728033333336,14.55081740554465,14,4
SRC-ARR,dg_density,18,0.00018276648888888896,0.002441841885515047,10,8
SRC-ARR,dg_silent_fraction,18,0.0,0.0,0,0
SRC-ARR,dg_usage_entropy,18,6.839499999998654e-05,0.0036627890339423603,5,13
SRC-ARR,spatial_information,18,-0.026509532777777782,0.04961045882750864,6,12
SRC-ARR,active_map_cosine,18,0.06632455161111112,0.06662565343351577,15,3
SRC-ARR,mono_field_fraction,18,-0.04606481444444444,0.14368851548916003,3,6
SRC-ARR,active_unit_fraction,18,0.0,0.0,0,0
SRC-ARR,unique_peak_bins,18,0.16666666666666666,1.2485285456935957,4,5
SRC-ARR,path_efficiency,18,0.051981188111111104,0.0786158460633704,14,4
SRC-ARR,option_success,18,0.05658524099999995,0.10308890928030548,11,7
SRC-ARR,action_probability_tv,18,0.0009915406996111112,0.001802970998971308,14,4
SRC-ARR,action_sensitivity,18,0.004235318610777778,0.007161695089988687,14,4
SRC-ARR,target_hit_rate_aggregated,18,0.0046874158497003,0.005407718097980287,13,5
SRC-ARR,shuffled_hit_rate_aggregated,18,0.004530595958184159,0.005413222950228181,13,5
SRC-ARR,target_hit_rate_delta,18,0.00015681989151614098,0.00045030786636577144,9,9
SRC-ARR,target_hit_advantage,18,0.011048362218827077,0.025024865949496926,9,9
SRC-ARR,largest_scc,18,0.7777777777777781,1.3193383170253346,12,5
SRC-ARR,reachable_pair_fraction,18,0.046712966444444455,0.07847946243293122,12,6
SRC-ARR,outgoing_node_fraction,18,0.004166666666666664,0.008574929257125432,6,1
SRC-ARR,top3_incoming_share,18,0.0006238508888888791,0.0901502102706561,11,7
SRC-ARR,reliable_global_efficiency,18,0.0413934072222222,0.05102710581099172,12,6
SRC-ARR,grounded_controllability,18,-0.01170584888777778,0.03452198371632293,2,6
SRC-ARR,attempt_coverage,18,0.0018518494444444361,0.019777269029224286,10,8
SRC-ARR,fully_tested_count,18,0.3222222222222221,2.339571493081977,10,6
SRC-ARR,predictive_gap,18,-0.1142176637777778,0.11896115376912143,4,14
SRC-ARR,credit_replay_match,18,0.0011724056666666354,0.0071988413634753775,9,9
SRC-ARR,behavior_replay_mismatch,18,0.0,0.0,0,0
SRC-ARR,stale_generation_fraction,18,0.003472222222222222,0.01473139127471974,1,0
SRC-ARR,recruitment_total,18,0.05555555555555555,0.23570226039551584,1,0
SRC-ARR,repeat_total,18,0.0,0.0,0,0
SRC-ARR,goal_adapter_reset_total,18,0.0,0.0,0,0
SRC-ARR,dropped_rollouts_total,18,477.8333333333333,2027.275141661832,1,0
