contrast,metric,n_pairs,mean_delta,positive_pairs,negative_pairs
source-arrival,active_unit_mean_spatial_information,15,-0.03618412464857103,4,11
source-arrival,active_only_map_cosine,15,0.09821023508514563,14,1
source-arrival,mono_field_unit_fraction,15,-0.047222222222222214,3,6
source-arrival,graph_reliable_edge_count,15,12.333333333333334,12,2
source-arrival,graph_largest_strong_component_size,15,1.3333333333333333,10,4
source-arrival,graph_reachable_pair_fraction,15,0.0763888955116272,10,4
source-arrival,graph_prospective_success_fraction,15,-0.0063826262950897215,6,9
source-arrival,graph_grounded_controllability,15,-0.02669144769509634,3,3
source-arrival,path_efficiency,15,0.041184689875653456,12,3
dir_open-dir_silent,active_unit_mean_spatial_information,6,-0.021899341295162845,2,4
dir_open-dir_silent,active_only_map_cosine,6,0.01402462508186624,4,2
dir_open-dir_silent,mono_field_unit_fraction,6,-0.052083333333333336,3,1
dir_open-dir_silent,graph_reliable_edge_count,6,-3.1666666666666665,3,3
dir_open-dir_silent,graph_largest_strong_component_size,6,-0.6666666666666666,1,3
dir_open-dir_silent,graph_reachable_pair_fraction,6,-0.03611111640930176,1,3
dir_open-dir_silent,graph_prospective_success_fraction,6,-0.006094187498092642,3,3
dir_open-dir_silent,graph_grounded_controllability,6,-0.05835718420955041,2,1
dir_open-dir_silent,path_efficiency,6,-0.04037030981621836,2,4
pred_open-pred_silent,active_unit_mean_spatial_information,6,-0.0001766433318455806,2,4
pred_open-pred_silent,active_only_map_cosine,6,-0.01198851915947089,4,2
pred_open-pred_silent,mono_field_unit_fraction,6,-0.03125,0,2
pred_open-pred_silent,graph_reliable_edge_count,6,4.666666666666667,3,3
pred_open-pred_silent,graph_largest_strong_component_size,6,0.5,2,3
pred_open-pred_silent,graph_reachable_pair_fraction,6,0.02916666865348816,2,3
pred_open-pred_silent,graph_prospective_success_fraction,6,0.005905747413635244,4,2
pred_open-pred_silent,graph_grounded_controllability,6,-0.0010041634086519334,0,1
pred_open-pred_silent,path_efficiency,6,0.002837782653222746,4,2
