run_name,condition,base,seed,encoder_credit,retirement,project,training_steps,preflight_steps,family,policy_id,target_env_steps,actual_env_steps,window_limit,scalar_window_limit,environment,frameskip,snapshot_path,valid_sample_count,in_bounds_fraction,visited_cell_fraction,active_unit_fraction,silent_unit_fraction,active_unit_mean_spatial_information,active_only_map_cosine,unique_active_peak_bins,mean_physical_step_distance,stationary_step_fraction,path_efficiency,mean_absolute_circular_yaw_change,mono_field_unit_fraction,mean_primary_secondary_peak_distance,median_dominant_peak_nearest_neighbor_distance,graph_available,graph_reliable_edge_count,graph_reliable_edge_density,graph_largest_weak_component_size,graph_largest_strong_component_size,graph_reachable_pair_fraction,graph_mean_reachable_shortest_path_hops,graph_median_reachable_shortest_path_hops,graph_reliable_global_efficiency,graph_undirected_clustering,graph_directed_reciprocity,graph_small_world_propensity,graph_max_total_degree_fraction,graph_degree_herfindahl,graph_spatial_endpoint_valid_fraction,graph_reliable_edge_peak_distance_mean,graph_tctrl_peak_distance_correlation,graph_tctrl_peak_distance_pair_count,graph_prospective_attempt_count,graph_prospective_success_count,graph_prospective_success_fraction,graph_grounded_controllability
SCR_C15_ARR_DIRO_S123,SCR_C15_ARR_DIRO,C15,123,arrival,dir_open,SF_IntrMotiv_SourceCreditRetirement,75000000,5000000,c15_ucb_direct_immediate_film,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_source_credit_retirement_20260904/SCR_C15_ARR_DIRO_S123/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8781163434903048,1.0,0.0,0.1344110369682312,0.1448195460137298,15.0,34.4220085144043,0.0140464009276117,0.0896587306400117,15.62308406829834,0.0625,1228.870849609375,120.71067810058594,1,59.0,0.2458333373069763,16.0,13.0,0.8208333253860474,2.1928935050964355,2.0,0.4788888990879059,0.5369009375572205,0.2711864411830902,0.7008286714553833,0.1525423675775528,0.0761275514960289,0.0,0.0,0.0,0.0,28483.0,13113.0,0.4603798687458038,0.0
SCR_C15_ARR_DIRO_S8,SCR_C15_ARR_DIRO,C15,8,arrival,dir_open,SF_IntrMotiv_SourceCreditRetirement,75000000,5000000,c15_ucb_direct_immediate_film,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_source_credit_retirement_20260904/SCR_C15_ARR_DIRO_S8/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.1470853388309478,0.152085137579262,14.0,34.006500244140625,0.017617739802665,0.1097040683841683,16.650741577148438,0.0625,1376.9049072265625,50.0,1,75.0,0.3125,16.0,12.0,0.7749999761581421,1.827957034111023,2.0,0.5168055295944214,0.5971680879592896,0.3466666638851166,0.7110602855682373,0.1000000014901161,0.0703111141920089,0.0,0.0,0.0,0.0,20721.0,9125.0,0.440374493598938,0.0
SCR_C15_ARR_DIRO_S99,SCR_C15_ARR_DIRO,C15,99,arrival,dir_open,SF_IntrMotiv_SourceCreditRetirement,75000000,5000000,c15_ucb_direct_immediate_film,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_source_credit_retirement_20260904/SCR_C15_ARR_DIRO_S99/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.1338976770639419,0.1719649142279197,16.0,34.32742691040039,0.015228426395939,0.1089951827083813,16.558603286743164,0.125,1224.622802734375,223.60679626464844,1,49.0,0.2041666656732559,16.0,12.0,0.7708333134651184,2.394594669342041,2.0,0.4197222292423248,0.4340773820877075,0.2040816396474838,0.5073979496955872,0.1020408198237419,0.0697626024484634,0.0204081628471612,100.0,0.0,1.0,27429.0,11882.0,0.4331911504268646,0.0088406354188919
SCR_C15_ARR_DIRS_S123,SCR_C15_ARR_DIRS,C15,123,arrival,dir_silent,SF_IntrMotiv_SourceCreditRetirement,75000000,5000000,c15_ucb_direct_immediate_film,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_source_credit_retirement_20260904/SCR_C15_ARR_DIRS_S123/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.2418007552623748,0.0604656049974433,13.0,38.00962829589844,0.0068351726593093,0.0941577274551228,15.579581260681152,0.6875,1263.3126220703125,100.0,1,66.0,0.2750000059604645,16.0,14.0,0.8833333253860474,2.264150857925415,2.0,0.5161111354827881,0.6145653128623962,0.4242424368858337,0.2909697890281677,0.1060606092214584,0.0720844790339469,0.7878788113594055,256.8138122558594,-0.0499340184032917,52.0,27550.0,13711.0,0.4976769387722015,0.3921091258525848
SCR_C15_ARR_DIRS_S8,SCR_C15_ARR_DIRS,C15,8,arrival,dir_silent,SF_IntrMotiv_SourceCreditRetirement,75000000,5000000,c15_ucb_direct_immediate_film,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_source_credit_retirement_20260904/SCR_C15_ARR_DIRS_S8/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8781163434903048,1.0,0.0,0.1459800601005554,0.147073281389198,13.0,33.129207611083984,0.0138953878705267,0.0794007400549471,16.778608322143555,0.0,1178.7607421875,50.0,1,60.0,0.25,16.0,13.0,0.8208333253860474,1.923857927322388,2.0,0.5062500238418579,0.5097222328186035,0.1666666716337204,0.5094075202941895,0.1000000014901161,0.0704166665673255,0.0,0.0,0.0,0.0,28712.0,13037.0,0.4540610313415527,0.0
SCR_C15_ARR_DIRS_S99,SCR_C15_ARR_DIRS,C15,99,arrival,dir_silent,SF_IntrMotiv_SourceCreditRetirement,75000000,5000000,c15_ucb_direct_immediate_film,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_source_credit_retirement_20260904/SCR_C15_ARR_DIRS_S99/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.1366349756717682,0.2107915241786706,16.0,32.3043327331543,0.0783230584549024,0.2751091367976647,16.83308982849121,0.0625,1476.0968017578125,120.71067810058594,1,87.0,0.3625000119209289,16.0,16.0,1.0,1.7166666984558103,2.0,0.668055534362793,0.6221590638160706,0.4367816150188446,0.2430116385221481,0.0919540226459503,0.0670498088002204,0.0,0.0,0.0,0.0,32105.0,13684.0,0.4262264370918274,0.0
SCR_C15_ARR_MON_S123,SCR_C15_ARR_MON,C15,123,arrival,monitor,SF_IntrMotiv_SourceCreditRetirement,75000000,5000000,c15_ucb_direct_immediate_film,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_source_credit_retirement_20260904/SCR_C15_ARR_MON_S123/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8781163434903048,1.0,0.0,0.1343422681093216,0.172940590550079,16.0,34.29371643066406,0.0183512369791666,0.0967718392953312,16.656572341918945,0.0,944.0687866210938,100.0,1,65.0,0.2708333432674408,16.0,12.0,0.7749999761581421,1.8709677457809448,2.0,0.4958333373069763,0.5505005121231079,0.3076923191547394,0.6683078408241272,0.0923076942563057,0.0689940825104713,0.0,0.0,0.0,0.0,27972.0,12227.0,0.4371156990528106,0.0
SCR_C15_ARR_MON_S8,SCR_C15_ARR_MON,C15,8,arrival,monitor,SF_IntrMotiv_SourceCreditRetirement,75000000,5000000,c15_ucb_direct_immediate_film,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_source_credit_retirement_20260904/SCR_C15_ARR_MON_S8/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.2241869121789932,0.0608370107820961,15.0,35.16691970825195,0.0243093697872167,0.1615486384069633,16.83172607421875,0.3333333333333333,1611.5399169921875,100.0,1,84.0,0.3499999940395355,16.0,15.0,0.9375,1.808888912200928,2.0,0.6166666746139526,0.7029609084129333,0.3333333432674408,1.0,0.1071428582072258,0.0710742622613906,0.1071428582072258,636.0655517578125,0.0402665771543979,9.0,42341.0,21149.0,0.4994922280311584,0.0535170249640941
SCR_C15_ARR_MON_S99,SCR_C15_ARR_MON,C15,99,arrival,monitor,SF_IntrMotiv_SourceCreditRetirement,75000000,5000000,c15_ucb_direct_immediate_film,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_source_credit_retirement_20260904/SCR_C15_ARR_MON_S99/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.1079485043883323,0.2505013018505394,13.0,32.613521575927734,0.0326423078488017,0.2476892568585246,16.662260055541992,0.0,999.3993530273438,100.0,1,70.0,0.2916666567325592,16.0,16.0,1.0,2.075000047683716,2.0,0.5905555486679077,0.5577831864356995,0.342857152223587,0.1967690736055374,0.0928571447730064,0.0687755122780799,0.0,0.0,0.0,0.0,31771.0,14345.0,0.4515123963356018,0.0
SCR_C15_ARR_PREDO_S123,SCR_C15_ARR_PREDO,C15,123,arrival,pred_open,SF_IntrMotiv_SourceCreditRetirement,75000000,5000000,c15_ucb_direct_immediate_film,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_source_credit_retirement_20260904/SCR_C15_ARR_PREDO_S123/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.1577991098165512,0.1386621721310702,15.0,37.69344329833984,0.0094802156443901,0.1313175635009866,16.78600311279297,0.0,950.9740600585938,170.71067810058594,1,94.0,0.3916666805744171,16.0,16.0,1.0,1.7999999523162842,2.0,0.6649305820465088,0.6667041182518005,0.3829787373542785,0.974839985370636,0.1010638326406478,0.0668288841843605,0.0,0.0,0.0,0.0,34183.0,15294.0,0.4474153816699981,0.0
