encoder_credit,retirement,active_unit_mean_spatial_information_mean,active_only_map_cosine_mean,mono_field_unit_fraction_mean,graph_reliable_edge_count_mean,graph_largest_strong_component_size_mean,graph_reachable_pair_fraction_mean,graph_prospective_success_fraction_mean,graph_grounded_controllability_mean,path_efficiency_mean,active_unit_mean_spatial_information_sd,active_only_map_cosine_sd,mono_field_unit_fraction_sd,graph_reliable_edge_count_sd,graph_largest_strong_component_size_sd,graph_reachable_pair_fraction_sd,graph_prospective_success_fraction_sd,graph_grounded_controllability_sd,path_efficiency_sd
arrival,dir_open,0.13846468428770697,0.15628986594030383,0.08333333333333333,61.0,12.333333333333334,0.7888888716697693,0.44464850425720215,0.0029468784729639666,0.10278599391085376,0.007470117011349756,0.014052670896082354,0.036084391824351615,13.114877048604,0.5773502691896258,0.02774304168477085,0.014089250380587023,0.005104143238904578,0.011374067454601863
arrival,dir_silent,0.1748052636782328,0.1394434701884373,0.25,71.0,14.333333333333334,0.9013888835906982,0.4593214690685272,0.1307030419508616,0.14955586810257818,0.05820764185393462,0.07545283963271136,0.3801726581436387,14.177446878757825,1.5275252316519465,0.09093776283600036,0.036014548468692724,0.22638430936269865,0.108982382196838
arrival,monitor,0.15549256155888236,0.16142630106090483,0.1111111111111111,73.0,14.333333333333334,0.9041666587193807,0.4627067744731903,0.0178390083213647,0.16866991152027302,0.06093720576280876,0.09535496826832977,0.19245008972987526,9.848857801796104,2.0816659994661326,0.11614467879720893,0.03266027278303342,0.030898068769247652,0.07571031058615188
arrival,pred_open,0.149839848279953,0.14493122721515536,0.0,75.0,15.666666666666666,0.9791666666666666,0.44285322229067486,0.0,0.10921888752942788,0.008485694406660197,0.008256017618344415,0.0,17.05872210923198,0.5773502691896255,0.036084391824351594,0.012753083780838684,0.0,0.023191281550332253
arrival,pred_silent,0.14771545926729837,0.16256601184721495,0.020833333333333332,57.666666666666664,14.0,0.8791666626930237,0.43740837772687274,0.0,0.08924011706699249,0.01620593974795616,0.048311221421219304,0.036084391824351615,4.932882862316248,2.0,0.1188048177647204,0.006633750856842428,0.0,0.018864077059084924
source,dir_open,0.11988883465528483,0.24225977834185097,0.10416666666666667,82.0,16.0,1.0,0.4463987449804942,0.012768365442752833,0.17718503713215694,0.029506485362047846,0.08769282770512316,0.18042195912175804,13.076696830622021,0.0,0.0,0.015635017458205155,0.022115457676454592,0.06894017691773223
source,dir_silent,0.1273469378550847,0.23105692392998503,0.041666666666666664,78.33333333333333,15.333333333333334,0.9597222208976746,0.44391415516535443,0.0017265703839560332,0.21115578257286924,0.03616044185993088,0.06606081235146656,0.07216878364870323,13.316656236958783,1.1547005383792517,0.06976315982126363,0.008151062680556345,0.002990507627855554,0.09287225152776767
source,monitor,0.12227614472309746,0.22920018791434482,0.041666666666666664,85.0,15.333333333333334,0.9583333333333334,0.45034507910410565,0.0015284276256958334,0.15147290942496658,0.01540434464973761,0.03991948705992429,0.07216878364870323,13.892443989449804,0.5773502691896258,0.036084391824351615,0.011126009852089874,0.00264731430339705,0.06910913785546191
source,pred_open,0.10670380045970278,0.2734244539023407,0.0,73.0,15.0,0.9375,0.4403669436772664,0.0,0.13563864661120503,0.009186650821787592,0.032642444897659245,0.0,5.196152422706632,1.0,0.0625,0.005108362223054102,0.0,0.029735168188073077
source,pred_silent,0.10918147613604856,0.2797667075892229,0.041666666666666664,81.0,15.666666666666666,0.9791666666666666,0.43400029341379803,0.002008326817303867,0.1499418517671949,0.016266543745484963,0.10334868693585912,0.07216878364870323,9.539392014169456,0.5773502691896258,0.036084391824351615,0.008689875469094234,0.0034785240857733955,0.07602813443620621
