condition,theta,n_seeds,mean_unit_temporal_density_mean,mean_unit_temporal_density_std,median_active_unit_temporal_density_mean,median_active_unit_temporal_density_std,std_unit_temporal_density_mean,std_unit_temporal_density_std,mean_population_density_mean,mean_population_density_std,std_population_density_mean,std_population_density_std,unit_coverage_mean,unit_coverage_std,zero_activity_time_fraction_mean,zero_activity_time_fraction_std,mean_field_width_mean,mean_field_width_std,mean_total_activation_mean,mean_total_activation_std,mean_lifetime_hoyer_sparsity_mean,mean_lifetime_hoyer_sparsity_std,mean_active_unit_lifetime_hoyer_sparsity_mean,mean_active_unit_lifetime_hoyer_sparsity_std,mean_population_hoyer_sparsity_mean,mean_population_hoyer_sparsity_std,mean_lifetime_kurtosis_mean,mean_lifetime_kurtosis_std,mean_active_unit_lifetime_kurtosis_mean,mean_active_unit_lifetime_kurtosis_std,best_corr_to_latent_probs_mean,best_corr_to_latent_probs_std,best_corr_to_latent_values_mean,best_corr_to_latent_values_std,best_corr_to_latent_samples_mean,best_corr_to_latent_samples_std,best_weight_alignment_to_latent_vectors_mean,best_weight_alignment_to_latent_vectors_std,mean_weight_row_entropy_to_latents_mean,mean_weight_row_entropy_to_latents_std,mean_weight_row_effective_latents_mean,mean_weight_row_effective_latents_std,mean_weight_row_participation_latents_mean,mean_weight_row_participation_latents_std,mean_weight_col_entropy_over_rows_mean,mean_weight_col_entropy_over_rows_std,mean_weight_col_effective_rows_mean,mean_weight_col_effective_rows_std,mean_weight_col_participation_rows_mean,mean_weight_col_participation_rows_std
encourage,0.5,10,0.3404296875,0.023989024752232684,0.3533203125,0.03896423186392995,0.046947563437788636,0.02070390122790535,2.7234375,0.19191219801786147,2.296204530278147,0.4160673286570569,1.0,0.0,0.2583984375,0.08901644402653314,2.255710334129283,0.21762464288926375,1.5948311966472217,0.049591836209447585,0.5225924723829024,0.02078183676242287,0.5225924723829024,0.02078183676242287,0.7066931350294778,0.024106115533733947,4.188224493493381,0.4650979585600847,4.188224493493381,0.4650979585600847,0.5113441882171862,0.06176711723382798,0.6186502820274944,0.020090944978672736,0.6064168773914467,0.05676851467759403,0.8223920917593521,0.027184511803054017,0.8263471441858774,0.01825340815548632,5.592483773693838,0.2157095942362882,4.647148641098108,0.19064877490611404,0.9011312960840815,0.032258867199063394,6.717154608414259,0.33842439524604706,6.223824745788269,0.4466114841327584
no_learning,0.5,10,0.3162841796875,0.009260141586720784,0.31572265625,0.010307708551895533,0.022058552505078842,0.00656573363045927,2.5302734375,0.07408113269376627,1.386351770666273,0.23498515427837594,1.0,0.0,0.0603515625,0.04470438178174799,1.851055571319452,0.11183576793774198,1.6028057257395236,0.05329815204797496,0.5787012460232375,0.008075095235594361,0.5787012460232375,0.008075095235594361,0.7881249217944648,0.008621727999407263,9.048675546854806,0.9913818565961584,9.048675546854806,0.9913818565961584,0.36341605481372874,0.04526064810225956,0.42848905474406607,0.03201373172671644,0.403267888713945,0.03931949090893201,0.3681527156922904,0.027371620034616444,0.8781872034881717,0.016027636709638114,6.2428977313071545,0.19997299150228934,5.45373904082947,0.26113860450379334,0.8855803082711631,0.015551017165234573,6.336413838006873,0.19293954660549528,5.599935894912427,0.253982424971855
punish,0.5,10,0.2841796875,0.0014689071246573558,0.2841796875,0.0015128841196122723,0.003983016756162725,0.0013110864688750288,2.2734375,0.011751256997258847,3.5427679359768924,0.007814625184004957,1.0,0.0,0.6953125,0.0040027151429529685,1.487930144969794,0.00700549960042373,1.734875190598758,0.0007342328378796814,0.618590858855454,0.0004861660057337782,0.618590858855454,0.0004861660057337782,0.7258107524452051,0.001374494342356884,10.1921979682398,0.043860544404329904,10.1921979682398,0.043860544404329904,0.18136988167048385,0.003564864809798894,0.26593769399904477,0.00413666866456255,0.2442581689887465,0.0043855952190653144,0.46069215986207224,0.0015270356351482523,0.9101314272712597,0.0019186994075091972,6.636506311483858,0.02645713995304006,6.125361898337865,0.020666413173882164,0.9990564216437287,0.0009380340306672184,7.984534550915354,0.015131451642336759,7.972600939095782,0.023447894533078984
encourage,1.0,10,0.1824462890625,0.00790808379727906,0.1802734375,0.011373494813703647,0.02004447143175345,0.005073992570162486,1.4595703125,0.06326467037823248,1.428242228268032,0.2826265809200412,1.0,0.0,0.3390625,0.10703837795608054,1.7625207963552234,0.15738070486024314,0.7199810196569105,0.10870095986095984,0.663024497511648,0.00940423800628701,0.663024497511648,0.00940423800628701,0.872033352494206,0.02048389233933848,9.161269990653286,1.115718131606019,9.161269990653286,1.115718131606019,0.5225287535199391,0.06342941373037954,0.6624940955808327,0.055664212467660484,0.6040964518416727,0.0927372902675356,0.8032645640988768,0.04152774588819397,0.8395309919837819,0.01123406039250043,5.749356690506554,0.13855281081478565,4.693811284585685,0.17953272949670931,0.8885373329304574,0.02604278817311931,6.448410938983305,0.29881475069969815,5.714308369087446,0.38230322290492497
no_learning,1.0,10,0.16474609375,0.005495930293078411,0.16533203125,0.005131369006023301,0.014871892529364666,0.004685526505510971,1.31796875,0.04396744234462729,1.1464440046114954,0.16120873837192265,1.0,0.0,0.27109375,0.048292373314142475,1.4487194453238983,0.0569704822646911,0.6542304506963095,0.06012230949699289,0.7167391383336724,0.008551809772269124,0.7167391383336724,0.008551809772269124,0.9192594845631905,0.010289128113243498,20.687285261692036,2.7625555308884735,20.687285261692036,2.7625555308884735,0.334609466246945,0.034285638330310425,0.4144201095752571,0.04236711013832711,0.3726924828335899,0.04650346075719858,0.3681527156922904,0.027371620034616444,0.8781872034881717,0.016027636709638114,6.2428977313071545,0.19997299150228934,5.45373904082947,0.26113860450379334,0.8855803082711631,0.015551017165234573,6.336413838006873,0.19293954660549528,5.599935894912427,0.253982424971855
punish,1.0,10,0.1653564453125,0.002232385349725806,0.16513671875,0.002525882257104993,0.007307107605971185,0.0020672862053785616,1.3228515625,0.017859082797806448,2.5832069512298457,0.0398914949674219,1.0,0.0,0.7267578125,0.010090305744601163,1.2874541793747587,0.01168720795913187,0.8088469507302722,0.006182498971121711,0.7251408802191096,0.0020787867459734475,0.7251408802191096,0.0020787867459734475,0.8663025529691918,0.002222369516508969,19.70123125060048,0.9065580213979149,19.70123125060048,0.9065580213979149,0.15982334720533217,0.006667577683381544,0.22540016015508843,0.0038939894294222057,0.22392496685999735,0.00570040610773943,0.42959752453566014,0.00591932276632867,0.9169915062329768,0.007449026737658771,6.737265199138091,0.1038147551298198,6.160923065740955,0.10193120294067734,0.9829000792768019,0.006730408185443749,7.742186695039453,0.09184914004344065,7.5971149760583145,0.12545813536881295
encourage,1.5,10,0.0814453125,0.011665835123854738,0.0828125,0.01770139071933156,0.02737990080997481,0.005699570273939214,0.6515625,0.0933266809908379,0.9341243917443179,0.2546982233100433,1.0,0.0,0.5736328125,0.053602874246083176,1.449667257083194,0.12107499916959738,0.27396153303785564,0.07134406520144587,0.8037536217370151,0.022550097132309287,0.8037536217370151,0.022550097132309287,0.9657949214611815,0.018804727137099225,39.51403232675446,11.44879692829684,39.51403232675446,11.44879692829684,0.3957916712595878,0.07656096768730548,0.532744683497485,0.09337238505141973,0.45200586338436705,0.08844703645096173,0.644081223033897,0.07008159814180774,0.8372442874581839,0.031497271942233486,5.7701450664542735,0.3657374642889188,4.8327054960226,0.4255764413547086,0.8637236485241001,0.02031505012245625,6.085692225112816,0.25701353056087894,5.278664126637405,0.29696119551884076
no_learning,1.5,10,0.0645263671875,0.007184581993542563,0.0638671875,0.007516359923786663,0.014942961096732248,0.0022651255669997616,0.5162109375,0.057476655948340505,0.7660469604399092,0.12591939456312273,1.0,0.0,0.619921875,0.031568204156585705,1.2119810765695676,0.045715659470165176,0.21365464085611743,0.038250638602774056,0.8441964007432181,0.012055202798924981,0.8441964007432181,0.012055202798924981,0.9821660478321134,0.007378667822863501,58.59251014522134,12.307075267610589,58.59251014522134,12.307075267610589,0.24597187744026244,0.03475586173210905,0.32266717920719434,0.04814977610473474,0.2748044842515844,0.04656649331071642,0.3681527156922904,0.027371620034616444,0.8781872034881717,0.016027636709638114,6.2428977313071545,0.19997299150228934,5.45373904082947,0.26113860450379334,0.8855803082711631,0.015551017165234573,6.336413838006873,0.19293954660549528,5.599935894912427,0.253982424971855
punish,1.5,10,0.0669677734375,0.004697471185893253,0.06923828125,0.005339037864389314,0.012532445874577674,0.00383101336360421,0.5357421875,0.037579769487146024,1.0548815285943907,0.10718368620442885,1.0,0.0,0.7076171875,0.010735082877860387,1.134426731063674,0.028685686172965706,0.24287221068444467,0.03000570415415367,0.8449254707726561,0.008681202563268877,0.8449254707726561,0.008681202563268877,0.9673421794300626,0.0044167650808524545,61.20036966831096,11.659737076375393,61.20036966831096,11.659737076375393,0.14659841369336207,0.01427946849201848,0.19189809604946723,0.013036450285338425,0.18842306442132717,0.01570440617936765,0.34530802290246576,0.02923279918093463,0.8654683919534181,0.015528856326163144,6.090097445605976,0.18983570456070323,5.309790075056056,0.23874042648441196,0.8869501224293987,0.013241189334296221,6.381897742712414,0.16546654802592847,5.678773134410289,0.22854995671275943
encourage,2.0,10,0.0248291015625,0.0066315083474071685,0.019921875,0.007875720763146856,0.017339909087564248,0.005788004299258459,0.1986328125,0.05305206677925735,0.48861337480208383,0.13126172889805854,0.975,0.049999999999999996,0.839453125,0.02546263826208166,1.18730193566858,0.07996644415167685,0.07119608032625449,0.022221172167049934,0.9238077040510595,0.01794267181663434,0.9213090406324957,0.020079525981991093,0.9945426494829193,0.005319316837891253,169.44846465308336,55.86593847545051,172.50751485748566,52.71976421403986,0.20195081225977946,0.05867461960297334,0.2830526510830591,0.0870208455343442,0.23185347041328125,0.06802522349072451,0.4509156918736717,0.031010085091674366,0.8623090922430394,0.01979641634056166,6.060463488333206,0.23835862864596338,5.218566067249943,0.28054239448353263,0.8764445080215941,0.020541178829855903,6.221447569700154,0.25452868388493655,5.46458394612656,0.29105902951687174
