condition,theta,seed,mean_unit_temporal_density,median_active_unit_temporal_density,std_unit_temporal_density,mean_population_density,std_population_density,unit_coverage,zero_activity_time_fraction,mean_field_width,mean_total_activation,mean_lifetime_hoyer_sparsity,mean_active_unit_lifetime_hoyer_sparsity,mean_population_hoyer_sparsity,mean_lifetime_kurtosis,mean_active_unit_lifetime_kurtosis,best_corr_to_latent_probs,best_corr_to_latent_values,best_corr_to_latent_samples,best_weight_alignment_to_latent_vectors,mean_weight_row_entropy_to_latents,mean_weight_row_effective_latents,mean_weight_row_participation_latents,mean_weight_col_entropy_over_rows,mean_weight_col_effective_rows,mean_weight_col_participation_rows
no_learning,0.5,0,0.323486328125,0.3271484375,0.021349396211542193,2.587890625,1.6081123213373838,1.0,0.072265625,1.825068870523416,1.6077160351749136,0.572713626515304,0.572713626515304,0.7806578852333406,8.454242162216367,8.454242162216367,0.36441587357517746,0.40100592744504227,0.39753163935373204,0.3333846769519655,0.8994030282055496,6.507844337177997,5.872643650754575,0.9042892528198263,6.5811317637756295,5.979040874415422
encourage,0.5,0,0.344970703125,0.3720703125,0.04954490978682787,2.759765625,2.238447412844081,1.0,0.15625,2.1506849315068495,1.5683438734084838,0.518183894347934,0.518183894347934,0.7254533535538923,4.1681267095140715,4.1681267095140715,0.4971256181614443,0.6178667353605084,0.59479034172212,0.8174604765990707,0.8155546109578607,5.462926257327098,4.570161387134205,0.8545848884477927,6.348038307540291,5.722483069316122
punish,0.5,0,0.28369140625,0.2841796875,0.004114330943933769,2.26953125,3.5401725459747633,1.0,0.693359375,1.4897435897435898,1.7362771073045833,0.6196158522508267,0.6196158522508267,0.7265640363855759,10.196373540757751,10.196373540757751,0.17499135527677445,0.2608087019398166,0.23694789707080438,0.45868786264780037,0.9088176091749132,6.618336793683579,6.11101113541466,0.9990365221860842,7.984094079513104,7.969802475358357
no_learning,0.5,1,0.301513671875,0.3017578125,0.02015454425543498,2.412109375,1.887481851048404,1.0,0.177734375,1.8188512518409425,1.6940976528006715,0.586176221479878,0.586176221479878,0.7953352681451458,8.229315303173955,8.229315303173955,0.405174185325455,0.4749659009311604,0.4684467192084425,0.3513158254044144,0.874400619741885,6.186375268899777,5.464308848649427,0.8829198890793893,6.321488022673208,5.611985606243479
encourage,0.5,1,0.3154296875,0.3056640625,0.06906720589877705,2.5234375,1.8570593511231002,1.0,0.234375,2.5185185185185186,1.6473270188470344,0.5402713673909597,0.5402713673909597,0.7159500634621158,4.445712602524097,4.445712602524097,0.5811576799073086,0.620760558733983,0.6690084973155587,0.8239930386409182,0.8427275559232805,5.783538686216683,4.756305576458652,0.9286934374146633,6.985341535769817,6.600058658256212
punish,0.5,1,0.285888671875,0.2841796875,0.0046770615382490275,2.287109375,3.5462334006361043,1.0,0.69140625,1.503209242618742,1.7337045142579508,0.6185526339344285,0.6185526339344285,0.7260782394999135,10.127721505519222,10.127721505519222,0.18431199803627346,0.2664886272826335,0.2446670349034521,0.46135457761281384,0.9087225469394931,6.616997934417533,6.112723482787294,0.9996614295390038,7.9943815800215265,7.989033698382361
no_learning,0.5,2,0.315185546875,0.3154296875,0.015032006131701312,2.521484375,1.38191702776645,1.0,0.0625,1.9384384384384385,1.5628051076271685,0.5759706248130496,0.5759706248130496,0.7931367632536142,8.431163276026393,8.431163276026393,0.38584132136958416,0.4515901766558432,0.4362102018516164,0.3678558992000701,0.8608087849158435,6.036047780616844,5.159506036889731,0.8783309748424382,6.241163721894184,5.468286449338152
encourage,0.5,2,0.326904296875,0.369140625,0.06067226101509115,2.615234375,1.9690977727930017,1.0,0.2421875,2.416967509025271,1.6085361099775284,0.5340803247644097,0.5340803247644097,0.7061687475556944,4.3564801015834815,4.3564801015834815,0.5768001471119326,0.6352779056399882,0.6684358263809496,0.8472409808822685,0.8365588184069136,5.708369753062726,4.710304469738318,0.9132376728514559,6.870189794938332,6.520665130901047
punish,0.5,2,0.284912109375,0.2861328125,0.004305466818493261,2.279296875,3.5441028668219032,1.0,0.6953125,1.4809644670050761,1.7339563692738704,0.6190955375517861,0.6190955375517861,0.7252111862531534,10.167994352876192,10.167994352876192,0.17841521655703013,0.2584529677795562,0.2388780476226796,0.46028029928382264,0.9107942773041451,6.64556256514707,6.143415306074582,0.9994780295900254,7.991348979491273,7.983043894669967
no_learning,0.5,3,0.32470703125,0.3193359375,0.018105953337635896,2.59765625,1.4624981219939865,1.0,0.048828125,2.1044303797468356,1.6240963284058008,0.5677551222088789,0.5677551222088789,0.77547236692651,8.288309854332544,8.288309854332544,0.43916500502959827,0.46833029156653494,0.450950127769016,0.39865431182173505,0.8683421168510053,6.107996151663319,5.236479543750497,0.872637347970775,6.16395689899332,5.351842437925228
