condition,theta,seed,mean_unit_temporal_density,median_active_unit_temporal_density,std_unit_temporal_density,mean_population_density,std_population_density,unit_coverage,zero_activity_time_fraction,mean_field_width,mean_total_activation,mean_lifetime_hoyer_sparsity,mean_active_unit_lifetime_hoyer_sparsity,mean_population_hoyer_sparsity,mean_lifetime_kurtosis,mean_active_unit_lifetime_kurtosis,best_corr_to_latent_probs,best_corr_to_latent_values,best_corr_to_latent_samples,best_weight_alignment_to_latent_vectors,mean_weight_row_entropy_to_latents,mean_weight_row_effective_latents,mean_weight_row_participation_latents,mean_weight_col_entropy_over_rows,mean_weight_col_effective_rows,mean_weight_col_participation_rows
no_learning,0.5,0,0.3017578125,0.302734375,0.026021313661082478,2.4140625,1.3878791359818585,1.0,0.087890625,1.4190585533869116,1.5893722967936634,0.5917068516544336,0.5917068516544336,0.7948259738118091,9.099482821687847,9.099482821687847,0.06816918450327422,0.45681473036954706,0.2400971607380301,0.31585452801616054,0.9005312612050915,6.556862753706719,5.87528093649786,0.9046779015401218,6.566530208756292,5.821237322704761
encourage,0.5,0,0.3642578125,0.3662109375,0.0107421875,2.9140625,3.2823565842384874,1.0,0.453125,1.5557872784150157,1.0839696503100904,0.5135925276746036,0.5135925276746036,0.6918327878689716,4.491341238237846,4.491341238237846,0.0906614880376174,0.38722471619366694,0.22239457291858686,0.659309916103022,0.9036506715526385,6.549515142067726,5.9915892994106645,0.9841114541904084,7.749516018648103,7.63671440573719
punish,0.5,0,0.26953125,0.26953125,0.0,2.15625,3.549730403495454,1.0,0.73046875,1.3269230769230769,1.7406015766109326,0.6422850074841602,0.6422850074841602,0.7305085138748124,17.37179540309091,17.37179540309091,0.05751262070389884,0.22375580418290195,0.2662284705185146,0.5401399293989044,0.9525013131300343,7.247603041194875,6.788489720234987,0.9999999869941977,7.999999783641561,7.999999567276101
no_learning,0.5,1,0.317138671875,0.3212890625,0.019796477954378486,2.537109375,1.624576219906936,1.0,0.095703125,1.4369469026548674,1.5845296771006714,0.5821080583180991,0.5821080583180991,0.7849977716568489,9.084804126947713,9.084804126947713,0.0893587222593552,0.47105610577278845,0.29712610007228507,0.35501408091033165,0.8684321353335283,6.15165573483724,5.458496553388497,0.849012362972893,5.930342897916898,5.050783208301232
encourage,0.5,1,0.358154296875,0.3603515625,0.005604609513305174,2.865234375,3.1367594905122003,1.0,0.404296875,1.526534859521332,1.1048544761891934,0.5144553463874026,0.5144553463874026,0.7063353160840293,4.315624383606302,4.315624383606302,0.08074993117201562,0.37313106010025143,0.22651211495658213,0.6472351918469134,0.9025644873595605,6.536149034488668,5.99658407195367,0.966423046174527,7.524720875806995,7.255393262517429
punish,0.5,1,0.265625,0.265625,0.0,2.125,3.5333235062756425,1.0,0.734375,1.3076923076923077,1.7361186134111843,0.6436478649488636,0.6436478649488636,0.7343974670743785,17.60292162776836,17.60292162776836,0.05770925983382893,0.22036371379891928,0.270341922845173,0.5426403000392119,0.9523435654654804,7.245226023575606,6.785099136141062,0.9999999934357009,7.999999890799389,7.999999781600708
no_learning,0.5,2,0.3203125,0.3232421875,0.01547165968530748,2.5625,1.3707320124663318,1.0,0.041015625,1.4577777777777778,1.5970757155806303,0.5678876245982647,0.5678876245982647,0.7860236811398311,7.677878758066586,7.677878758066586,0.06958062616548599,0.4728827871583567,0.2759012629334069,0.3464471505003178,0.9014122748125949,6.5434954666880785,5.805926126682756,0.8933402410362778,6.4333409735870255,5.687303479216079
encourage,0.5,2,0.365966796875,0.3671875,0.009157714518315943,2.927734375,3.1475207790328183,1.0,0.408203125,1.5729275970619097,1.1061827095904784,0.5093574747082799,0.5093574747082799,0.6956251451385673,4.277997450306213,4.277997450306213,0.09213132690380908,0.4086342678107956,0.22772913875887404,0.6658550213476215,0.897757883204094,6.468507878131633,5.914556789661355,0.9696856499564046,7.536474964641733,7.274380659026498
punish,0.5,2,0.268798828125,0.26953125,0.0009455525747576702,2.150390625,3.54254827559373,1.0,0.73046875,1.3233173076923077,1.7360185860742332,0.6441139642396767,0.6441139642396767,0.7318534029323271,17.643555281293125,17.643555281293125,0.05903487387914068,0.22266526046220306,0.2669967072598103,0.5426982427398671,0.9519145293451245,7.238765037827527,6.776603592020921,0.9999999875509961,7.999999792904196,7.999999585834507
no_learning,0.5,3,0.309326171875,0.3076171875,0.009261267938667314,2.474609375,1.1385211092299121,1.0,0.04296875,1.448,1.6356295048062515,0.5828262352605634,0.5828262352605634,0.7929220771092094,8.398142836075085,8.398142836075085,0.07945767669870407,0.44579941932389033,0.25111646952302946,0.30030160440124715,0.8656816320953375,6.095469901153047,5.438641850004787,0.8624328749557011,6.080561574291433,5.426027501347685
