condition,theta,n_seeds,mean_unit_temporal_density_mean,mean_unit_temporal_density_std,median_active_unit_temporal_density_mean,median_active_unit_temporal_density_std,std_unit_temporal_density_mean,std_unit_temporal_density_std,mean_population_density_mean,mean_population_density_std,std_population_density_mean,std_population_density_std,unit_coverage_mean,unit_coverage_std,zero_activity_time_fraction_mean,zero_activity_time_fraction_std,mean_field_width_mean,mean_field_width_std,mean_total_activation_mean,mean_total_activation_std,mean_lifetime_hoyer_sparsity_mean,mean_lifetime_hoyer_sparsity_std,mean_active_unit_lifetime_hoyer_sparsity_mean,mean_active_unit_lifetime_hoyer_sparsity_std,mean_population_hoyer_sparsity_mean,mean_population_hoyer_sparsity_std,mean_lifetime_kurtosis_mean,mean_lifetime_kurtosis_std,mean_active_unit_lifetime_kurtosis_mean,mean_active_unit_lifetime_kurtosis_std,best_corr_to_latent_probs_mean,best_corr_to_latent_probs_std,best_corr_to_latent_values_mean,best_corr_to_latent_values_std,best_corr_to_latent_samples_mean,best_corr_to_latent_samples_std,best_weight_alignment_to_latent_vectors_mean,best_weight_alignment_to_latent_vectors_std,mean_weight_row_entropy_to_latents_mean,mean_weight_row_entropy_to_latents_std,mean_weight_row_effective_latents_mean,mean_weight_row_effective_latents_std,mean_weight_row_participation_latents_mean,mean_weight_row_participation_latents_std,mean_weight_col_entropy_over_rows_mean,mean_weight_col_entropy_over_rows_std,mean_weight_col_effective_rows_mean,mean_weight_col_effective_rows_std,mean_weight_col_participation_rows_mean,mean_weight_col_participation_rows_std
encourage,0.5,10,0.36533203125,0.0019659005995309956,0.36689453125,0.002622211246503428,0.007795221389583285,0.001280853843034879,2.92265625,0.015727204796247965,3.166624127777932,0.08298935317186631,1.0,0.0,0.4158203125,0.02062281741529346,1.5890233254480237,0.022979318313752953,1.1189484506760525,0.01794769847143201,0.5139032346584255,0.0034167669985696136,0.5139032346584255,0.0034167669985696136,0.697445146997641,0.004961586144375241,4.75184654988406,0.14993321861868553,4.75184654988406,0.14993321861868553,0.08262585834891248,0.008430252531530642,0.3690994863563969,0.0175246004380376,0.22354165118371302,0.006960950210287413,0.6539277985355207,0.012637337960228702,0.9004493695463444,0.008401606113407036,6.51305522710013,0.11075597692806068,5.98272094019463,0.09221219278573929,0.9735240866367402,0.010395312727518214,7.603234075875318,0.13314065521235127,7.381090766083162,0.1740041431314568
no_learning,0.5,10,0.3121337890625,0.008168501673734972,0.3111328125,0.007427013024152946,0.01749210293881558,0.002814653719113405,2.4970703125,0.06534801338987978,1.3898021464374952,0.19392923409037396,1.0,0.0,0.065234375,0.03488611494025954,1.4384931436285986,0.030167856845594428,1.623583688452183,0.04053314466861735,0.5844180323037041,0.00988933301736819,0.5844180323037041,0.00988933301736819,0.7930480896233655,0.006095152823450346,8.826927725854517,0.8774628499959111,8.826927725854517,0.8774628499959111,0.07736575491048274,0.0077249729065906525,0.4838993877016783,0.011671351353810873,0.24710899437113473,0.0155606466979936,0.3518689981270055,0.023717584733102672,0.8897100562116534,0.011531887157400285,6.398950938643471,0.13721059309367586,5.673726558306557,0.13124481394156054,0.8900046333706056,0.011996352738444254,6.396561182327354,0.1514615186353108,5.654265557017728,0.19382816368273498
punish,0.5,10,0.2963134765625,0.0008174154806046488,0.2962890625,0.0008950343154210626,0.00014916633120611194,0.0003016591299923652,2.3705078125,0.00653932384483719,3.652532025156259,0.0033639007168356975,1.0,0.0,0.703515625,0.00078125,1.4919597778976743,0.0026471941064256923,1.6741467718849,0.00098716471286313,0.636945671411653,0.0008403903732554527,0.636945671411653,0.0008403903732554527,0.703845250232362,0.0008652759598899369,18.416994564195527,0.068910687929244,18.416994564195527,0.068910687929244,0.09333885506105391,0.0020735658322917926,0.2019891598202724,0.002155152819307944,0.25390545539286885,0.0008437557827036275,0.48751285980064074,0.0014626015339664073,0.9417300143848282,0.0006897564458763742,7.087080948939414,0.010164676083167718,6.671467924099429,0.011106160489261191,0.9999999902358659,2.3179511483528855e-09,7.999999837568431,3.856034949112915e-08,7.999999675148641,7.711275475090076e-08
encourage,1.0,10,0.1568603515625,0.006468805211518042,0.15751953125,0.006766528203640629,0.013732166229154125,0.004448321862928986,1.2548828125,0.051750441692144336,1.2357975083040629,0.12297194658224887,1.0,0.0,0.34140625,0.037353228399631004,1.1736323951258967,0.012551402394045341,0.38650438380406793,0.0419539095321299,0.7077207558564587,0.007674264570065372,0.7077207558564587,0.007674264570065372,0.9154024282073749,0.008916146169893464,14.079671714400032,0.7787662105669216,14.079671714400032,0.7787662105669216,0.06977702121638693,0.006327905214882776,0.38415568467332417,0.023710405953444487,0.1578253862533627,0.008019459806651388,0.6273026500096741,0.033362576076364656,0.9060199622871409,0.01344269945932249,6.602243775762206,0.1795520703238612,6.004958682247941,0.2144494561781224,0.9304433263827312,0.010869427800462872,6.9722179267654685,0.14475927051855506,6.462130514956263,0.16431047936251886
no_learning,1.0,10,0.1645751953125,0.003134997588039608,0.16357421875,0.00428465057978131,0.010040117568571984,0.001298547611963614,1.3166015625,0.025079980704316863,1.1480926918920242,0.12945965979622795,1.0,0.0,0.2787109375,0.05588156519473377,1.1843051637634276,0.014414606933754733,0.6876620610797748,0.05659253127931714,0.7150127954506719,0.005786406380451383,0.7150127954506719,0.005786406380451383,0.9168239016922268,0.008518279099602104,18.612306889457717,1.5979936281273044,18.612306889457717,1.5979936281273044,0.07089794565915367,0.0062317171040660105,0.4057509822865186,0.011925324938431712,0.2455678601970955,0.019716948174904478,0.3518689981270055,0.023717584733102672,0.8897100562116534,0.011531887157400285,6.398950938643471,0.13721059309367586,5.673726558306557,0.13124481394156054,0.8900046333706056,0.011996352738444254,6.396561182327354,0.1514615186353108,5.654265557017728,0.19382816368273498
punish,1.0,10,0.146630859375,0.0017304731588544287,0.1466796875,0.0019918044974971813,0.0031531425919656443,0.0008801175633671955,1.173046875,0.01384378527083543,2.763840478197152,0.013768251197798427,1.0,0.0,0.8345703125,0.004458090707231768,1.2282069183770832,0.008925534747843274,0.7598263695792087,0.0029943967664437274,0.7595861662234913,0.0004537687660790667,0.7595861662234913,0.0004537687660790667,0.8608277637185238,0.0012454853426714218,36.01493177494083,0.3170121143237373,36.01493177494083,0.3170121143237373,0.07369080943624826,0.003628371827299684,0.20999582033336442,0.0061719387798980134,0.2336865414745218,0.0029203735359276065,0.45861230662066166,0.003109925220724955,0.9510579166031634,0.0005058415819774137,7.225891782257989,0.007603167435650897,6.837740998913118,0.008405335775860896,0.9999433707093892,2.5031422773153896e-05,7.999058079676459,0.00041627124093541605,7.998122287342291,0.0008337521423948906
encourage,1.5,10,0.0568115234375,0.005399924839344419,0.0568359375,0.00604838381531329,0.01103664971655783,0.002568783617517833,0.4544921875,0.04319939871475535,0.6738715778893865,0.07239611498566106,1.0,0.0,0.64140625,0.01698657414465539,1.0561788623053607,0.01625043423609972,0.14082489309688925,0.02476703254091743,0.8498728473930504,0.011524797447017215,0.8498728473930504,0.011524797447017215,0.9855355381105975,0.00571679529669117,49.57534787999336,7.894013565782734,49.57534787999336,7.894013565782734,0.06890077513752843,0.006981139733477743,0.28257658030239197,0.023923070346568976,0.16291425236323825,0.015296225626145483,0.5423394044365558,0.02444834767152515,0.8714431586612139,0.01839931829262176,6.166741619235983,0.21931579025384998,5.382353531319774,0.24922009045056162,0.8802886924626672,0.015501420820807719,6.2781373760459855,0.1979959549619525,5.549763224099978,0.22455025596989048
no_learning,1.5,10,0.069873046875,0.007252086207706971,0.069921875,0.0070583246092158795,0.011534958065626261,0.0021686395341611055,0.558984375,0.05801668966165577,0.8284811173476889,0.11412250183415856,1.0,0.0,0.6134765625,0.018803837096475314,1.071602763814599,0.021154495805505456,0.23721233740442366,0.0441019167650584,0.8336167361336315,0.010754766247255852,0.8336167361336315,0.010754766247255852,0.9755763389233921,0.00844649786579055,48.72080375747826,6.16024715359886,48.72080375747826,6.16024715359886,0.06658204244635178,0.0055991550396558565,0.295771875117196,0.019199216426341613,0.2174570156550915,0.019808880607872115,0.3518689981270055,0.023717584733102672,0.8897100562116534,0.011531887157400285,6.398950938643471,0.13721059309367586,5.673726558306557,0.13124481394156054,0.8900046333706056,0.011996352738444254,6.396561182327354,0.1514615186353108,5.654265557017728,0.19382816368273498
punish,1.5,10,0.0703125,0.002759977101770035,0.07099609375,0.0028985980624327795,0.006618565827558748,0.0011877162594167493,0.5625,0.02207981681416028,1.5301171751965283,0.15452802936053292,1.0,0.0,0.812890625,0.034196982231623894,1.08224057601145,0.010421168283065494,0.2975041093702672,0.019280545444301085,0.849617522558708,0.005932451060153812,0.849617522558708,0.005932451060153812,0.951330004697069,0.005041464106246743,68.5501861245147,6.827792486637224,68.5501861245147,6.827792486637224,0.07220028716400195,0.007197735475196224,0.221369735061591,0.014381999104173936,0.2438509844034868,0.012263196051568784,0.3861542087660109,0.024773632826681723,0.9330771876018475,0.015747646760162777,6.988323707748028,0.20529700019790284,6.504016173956122,0.2595665535146459,0.9657406052958548,0.02127426528098714,7.466601541082403,0.3238595389361799,7.214925279219689,0.4463078750438842
encourage,2.0,10,0.018896484375,0.0044110475219020845,0.019140625,0.004788144793801274,0.007302404803065288,0.0014014822816651455,0.151171875,0.035288380175216676,0.4167639718527151,0.06451907624217111,0.9875,0.0375,0.8724609375,0.023291373899891162,1.0263615680261482,0.027269548006181095,0.048276499347015805,0.013960157668677706,0.9361029464851501,0.014120496925729436,0.9351442639014202,0.014622456047892132,0.9966784053672532,0.0018587313601117841,174.73718467171804,53.89217375784048,176.55656347840338,52.55236320444827,0.07507063094480024,0.007874233293436622,0.18135387859399657,0.026388326712458433,0.16305168971755596,0.018655460652462652,0.4110812882896117,0.03282293574197057,0.8790476807082335,0.015354852440136723,6.248717823578715,0.19506718009350682,5.45723916905089,0.2595434042476472,0.884140904593071,0.01106646896648756,6.319452686949967,0.14356164508493896,5.558018392635885,0.2133102721191698
